"행정구역별",독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구)
"행정구역별",2015,2016,2017,2018,2019,2020,2021,2015,2016,2017,2018,2019,2020,2021,2015,2016,2017,2018,2019,2020,2021
"전국",6.4,6.7,7.0,7.2,7.5,7.9,8.5,1223169,1294453,1370962,1444588,1532847,1660711,1824434,19111030,19367696,19673875,19979188,20343188,20926710,21448463
"서울특별시",4.9,5.2,5.5,5.8,6.1,6.5,7.1,186131,196456,209240,220988,238088,259733,285384,3784490,3784705,3813260,3839766,3896389,3982290,4046799
"부산광역시",7.3,7.7,8.1,8.6,9.1,9.7,10.4,97051,102877,109391,116589,124735,135957,148148,1335900,1344170,1354401,1363608,1377030,1405037,1431365
"대구광역시",6.2,6.7,7.1,7.5,7.9,8.5,9.1,57723,62394,67025,71359,76077,83459,91357,928528,935753,948030,957516,968620,985816,1000931
"인천광역시",4.8,5.1,5.4,5.8,6.1,6.7,7.2,50650,54272,58824,63031,68648,76298,84850,1045417,1062828,1080285,1094749,1120576,1147200,1183610
"광주광역시",5.5,5.8,6.1,6.4,6.6,7.0,7.6,31000,33006,35005,36782,38907,42224,46895,567157,569372,575732,578559,587159,599217,615693
"대전광역시",4.9,5.2,5.5,5.8,6.2,6.6,7.2,28258,30503,32917,34946,37723,41614,46266,582504,590698,597736,602175,609043,631208,640085
"울산광역시",4.2,4.5,4.9,5.2,5.7,6.2,6.9,17953,19323,21004,22582,24752,27387,30976,423412,426027,428720,431391,437094,444087,451432
"세종특별자치시",4.4,4.0,3.9,3.8,3.9,4.1,4.4,3324,3602,4078,4544,5107,5640,6372,75219,90413,104325,119029,129664,139106,145295
"경기도",4.4,4.7,5.0,5.2,5.5,5.8,6.2,195059,211633,227890,245480,268019,296821,330371,4384742,4484424,4602950,4751497,4907660,5098431,5290662
"강원특별자치도",8.7,9.0,9.4,9.8,10.2,10.6,11.4,52670,55212,58379,61599,64894,70244,76928,606117,616346,620729,628484,633942,661039,674728
"충청북도",7.8,8.0,8.3,8.5,8.8,9.1,9.8,46729,49483,52180,54792,57589,62016,68176,601856,617914,629073,640978,654713,678922,695611
"충청남도",8.2,8.5,8.7,8.9,9.2,9.5,10.1,65466,68899,72498,75698,79162,84471,92406,796185,813730,834986,851124,864102,892222,915634
"전라북도",10.2,10.5,10.7,10.9,11.2,11.5,12.2,72820,75848,78121,80084,82834,86753,94315,717311,724678,728871,732980,738307,755575,772471
"전라남도",12.9,13.2,13.4,13.5,13.6,13.8,14.4,93197,95844,98156,99832,100769,105114,111885,720612,727197,733757,737406,741026,761518,777358
"경상북도",10.1,10.4,10.8,11.1,11.3,11.7,12.4,107177,111776,116968,121493,124876,132074,143877,1062724,1076581,1087807,1094534,1102934,1131819,1156645
"경상남도",8.3,8.6,8.8,9.1,9.4,9.8,10.6,104241,108935,114010,118767,123835,132723,145671,1258487,1273523,1292998,1306394,1321213,1350155,1378982
"제주특별자치도",6.2,6.3,6.4,6.4,6.6,6.9,7.6,13720,14390,15276,16022,16832,18183,20557,220369,229337,240215,248998,253716,263068,271162
