"특성별(1)",특성별(2),2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),독립적 이동가능 (%),기어서 보장구 착용 이동 (%),보조기구·타인 도움 필요 (%),거동 불가능 (%)
"전체",소계,1059394,17.6,7.8,58.1,16.6
"성별",남성,293215,20.6,6.5,56.9,15.9
"성별",여성,766179,16.4,8.3,58.5,16.8
"연령별",65세 미만,29954,18.8,6.2,49.4,25.5
"연령별",65~69세,47736,11.7,6.1,61,21.2
"연령별",70~74세,83908,20.5,7.6,58.2,13.7
"연령별",75~79세,151556,21,6,55.1,18
"연령별",80~84세,278080,21,6.8,57.3,14.9
"연령별",85~89세,283142,16.1,9.2,59.6,15
"연령별",90세 이상,185018,11.8,9.3,59.9,19
"지역별",대도시,375081,15.2,6,60.9,17.9
"지역별",중소도시,346547,16.9,7.8,57.2,18.1
"지역별",농어촌,337766,20.9,9.7,55.8,13.6
"장기요양인정등급별",1등급,49560,0,0.3,20.8,78.8
"장기요양인정등급별",2등급,97125,1.6,2.8,52.8,42.8
"장기요양인정등급별",3등급,290239,10,7.9,64.9,17.3
"장기요양인정등급별",4등급,484423,18.9,9.8,63.4,7.9
"장기요양인정등급별",5등급,115723,44.6,6.7,43.9,4.9
"장기요양인정등급별",인지지원등급,22324,57,6.4,32.7,4
"급여유형별",방문요양,436678,14.6,9.1,63.4,13
"급여유형별",방문목욕,75609,15.4,15.1,56.4,13.1
"급여유형별",방문간호,11046,8.8,7,49.2,35
"급여유형별",주야간보호,119740,35.3,7,55.5,2.2
"급여유형별",단기보호,613,12.1,6.9,59.1,21.8
"급여유형별",노인요양공동생활가정,13742,11.4,4.9,58.6,25
"급여유형별",노인요양시설(10~29명),47921,9.3,2.1,63.5,25.1
"급여유형별",노인요양시설(30~49명),35968,11.9,2.7,60.4,25
"급여유형별",노인요양시설(50명 이상),79565,9.6,2.9,60.9,26.5
"급여유형별",미이용,238512,20.8,7.2,48.2,23.8
"치매여부별",예,576808,19.3,6,54.5,20.2
"치매여부별",아니오,482586,15.6,9.9,62.3,12.2
