"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),없음(0원) (%),5만원 미만 (%),5~10만원 미만 (%),10~20만원 미만 (%),20만원 이상 (%),월평균 금액 (만원),응답자수 (명),없음(0원) (%),5만원 미만 (%),5~10만원 미만 (%),10~20만원 미만 (%),20만원 이상 (%),월평균 금액 (만원)
"전체",소계,384416,20.1,5.4,21.5,39.3,13.6,11.1,643686,16.6,6.1,21.2,37,19,12.3
"성별",남성,106340,20.6,7.5,21.4,37.5,13,10.9,175488,15.7,7.7,21.4,37.7,17.5,12.1
"성별",여성,278075,20,4.6,21.6,40,13.9,11.2,468198,17,5.5,21.2,36.8,19.5,12.4
"연령별",65세 미만,12650,37.8,8.8,25,21.7,6.6,7.3,13336,29.2,1.2,30.9,23.8,14.9,9.9
"연령별",65~69세,20168,28.7,2.5,16.9,41.4,10.5,9.6,31572,28,7.2,25.5,25.6,13.6,10.1
"연령별",70~74세,33437,25.2,3,24.1,35.8,11.8,10.4,49352,30.5,6.9,16.8,33.3,12.6,10
"연령별",75~79세,69300,20.8,6.6,19.1,40.2,13.3,10.8,91821,20.5,4.6,15.7,41.3,17.9,12.3
"연령별",80~84세,100475,20.3,4.4,20.3,41.2,13.8,11.6,177877,13.5,5.5,19.4,39.3,22.3,13.4
"연령별",85~89세,90834,14.8,5.9,23.4,40,15.9,12.1,173526,14,7.3,21.8,37.8,19.1,12.4
"연령별",90세 이상,57549,17.7,6.6,22.9,39,13.8,11.1,106203,11.4,6.5,27.9,35.1,19.1,12.5
"지역별",대도시,143517,24,4.8,18.5,39.5,13.1,10.9,233358,20.4,5.7,19.3,37.7,17,11.8
"지역별",중소도시,116669,16.6,4.3,21.2,40.3,17.6,12.4,197376,16.4,6.3,21,31.8,24.5,13.2
"지역별",농어촌,124229,19,7.1,25.4,38.1,10.4,10.2,212952,12.7,6.4,23.6,41.2,16.1,12.2
"장기요양인정등급별",1등급,9604,20.2,5.7,13,35.7,25.4,12,17947,13.9,6.8,21.2,28.5,29.6,14.1
"장기요양인정등급별",2등급,26847,16,4.2,21.3,51.1,7.4,12.2,40299,12.1,7.5,19.5,37.1,23.9,13.4
"장기요양인정등급별",3등급,113467,18.1,5.8,19.6,43.6,12.8,11.6,161057,17.3,5,20.6,37.5,19.5,12.4
"장기요양인정등급별",4등급,193647,22,5.6,24.2,36.7,11.5,10.3,340596,17.5,6.1,22.6,38.7,15,11.7
"장기요양인정등급별",5등급,38910,20.5,4.1,16,32.2,27.2,12.9,79234,14.9,7.3,16.8,31.7,29.3,13.7
"장기요양인정등급별",인지지원등급,1945,5.1,5.1,20.5,43.7,25.6,14.3,4553,4.3,11.2,34.5,22.7,27.4,13
"급여유형별(재가급여)",방문요양,265843,22,4.1,26.1,42.5,5.3,9.6,436678,19.6,5,24.7,41.6,9.2,10.5
"급여유형별(재가급여)",방문목욕,43939,23.9,19.2,19.5,34.8,2.6,7.6,75609,18.9,18.4,26.6,27.7,8.4,8.5
"급여유형별(재가급여)",방문간호,7039,23.5,10.2,23.5,36.6,6.1,8.5,11046,22.6,11.5,18.3,35.9,11.8,9.6
"급여유형별(재가급여)",주야간보호,66367,10,0.9,4.8,30,54.3,19.5,119740,3.8,2,5.8,26.8,61.6,21.5
"급여유형별(재가급여)",단기보호,1228,12.9,3.1,4.6,17.1,62.3,29.3,613,5.1,0.9,4.1,8.1,81.8,39.7
"치매여부별",예,178779,17,4.9,18.5,38.3,21.3,12.9,307395,13.1,6.5,20.6,33.1,26.6,13.8
"치매여부별",아니오,205636,22.9,5.8,24.2,40.2,6.9,9.6,336291,19.8,5.8,21.8,40.6,12,11
