"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),식사준비 (%),식사 (%),가사 활동 (%),세안 화장실 이용 (%),목욕 (%),외출 (%),통증 (%),심리 정서적문제 (%),기타 (%),어려움없음 (%)
"전체",소계,603129,18.8,5.4,7.8,5.7,6,12.3,9.8,14.1,1.5,18.5
"성별",남성,168310,14.3,3.9,5.9,7.5,7.4,14.3,9,17.1,1.7,18.8
"성별",여성,434819,20.5,6,8.5,5,5.5,11.5,10.2,13,1.5,18.4
"연령별",65세 미만,11945,10.3,3.8,3.9,3,15.5,20.1,11.8,10.5,3.9,17.3
"연령별",65~69세,29561,19.4,4.4,11.4,3.1,5.9,11.9,10.6,16.1,4,13.2
"연령별",70~74세,46963,23.2,3.5,8.1,2.8,6.4,14.6,10.7,10.6,1.5,18.6
"연령별",75~79세,87036,18.3,5.2,6.6,7.5,8.3,14.8,13.4,10.9,0.5,14.6
"연령별",80~84세,167456,20.7,4.8,9,4.9,4.3,12.3,8,16.1,2.8,17.1
"연령별",85~89세,162812,16.7,6.9,7.9,6.7,5.4,9.3,9.8,13.7,0.5,23.1
"연령별",90세 이상,97357,18,5.3,6,6.6,6.8,12.9,8.8,15.9,1.1,18.6
"지역별",대도시,220765,17.5,5.5,8.1,5.1,8,12.1,9.1,16.5,1.6,16.6
"지역별",중소도시,181512,18.4,5.8,6.3,5.1,5.1,14,8.6,13.5,2.2,21
"지역별",농어촌,200852,20.6,4.9,8.9,7,4.7,10.9,11.8,12,0.9,18.4
"장기요양인정등급별",1등급,14962,9.2,6.4,5.4,9.9,11.2,21.5,3.6,16.1,4.6,12.2
"장기요양인정등급별",2등급,39117,9.1,8,7.8,10.3,9.6,8.6,13.4,12,1.6,19.6
"장기요양인정등급별",3등급,152446,17.7,4.2,5.5,7.2,6.2,13.9,8.4,15.4,1.7,19.6
"장기요양인정등급별",4등급,319879,19.4,5.3,8.4,4.8,6.2,12.9,11.4,13.7,1.4,16.6
"장기요양인정등급별",5등급,73015,25.1,6.6,10.8,3.6,2.4,6.8,5.5,13.4,0.9,25
"장기요양인정등급별",인지지원등급,3709,23.9,4.5,4.6,0,0,0,5.3,28.4,4.9,28.4
"급여유형별(재가급여)",방문요양,413825,17.1,5.9,7.5,5.4,6.2,12.7,11.4,14,1.7,18.2
"급여유형별(재가급여)",방문목욕,72647,21.6,5.4,9.7,9.6,2.4,13.5,9.2,11.4,0.4,16.8
"급여유형별(재가급여)",방문간호,10655,15.2,3.5,7.4,6.9,7.7,13.9,11.4,14.8,0.8,18.5
"급여유형별(재가급여)",주야간보호,105618,23.8,3.3,7.7,4.4,7.7,9.7,4,16.3,2,21
"급여유형별(재가급여)",단기보호,384,26.4,6.3,4.8,6.8,8.2,4.5,2.9,14.3,3.2,22.6
"치매여부별",예,280530,19,6.1,7.4,5.4,7.7,10.8,7.2,16.5,1.3,18.4
"치매여부별",아니오,322599,18.6,4.7,8.1,6,4.6,13.5,12.1,12,1.8,18.6
