시군구,이용급여 유형,연령,1등급,2등급,3등급,4등급,5등급,인지지원등급
서울특별시 종로구,방문요양,65-69세,3,10,17,22,1,0
서울특별시 종로구,방문요양,70-74세,4,10,19,40,5,0
서울특별시 종로구,방문요양,75-79세,7,19,52,80,9,0
서울특별시 종로구,방문요양,80-84세,29,34,93,165,9,0
서울특별시 종로구,방문요양,85-89세,18,29,110,125,17,0
서울특별시 종로구,방문요양,90-94세,15,25,73,68,1,0
서울특별시 종로구,방문요양,95세이상,2,5,16,5,2,0
서울특별시 종로구,방문목욕,65-69세,0,1,1,1,0,0
서울특별시 종로구,방문목욕,70-74세,0,1,1,1,0,0
서울특별시 종로구,방문목욕,75-79세,0,1,0,2,0,0
서울특별시 종로구,방문목욕,80-84세,2,1,2,5,0,0
서울특별시 종로구,방문목욕,85-89세,0,3,0,2,0,0
서울특별시 종로구,방문목욕,90-94세,0,1,2,2,0,0
서울특별시 종로구,방문목욕,95세이상,0,1,1,0,0,0
서울특별시 종로구,방문간호,65-69세,1,0,0,0,0,0
서울특별시 종로구,방문간호,70-74세,2,0,0,1,0,0
서울특별시 종로구,방문간호,75-79세,1,0,1,0,0,0
서울특별시 종로구,방문간호,80-84세,2,0,1,3,0,0
서울특별시 종로구,방문간호,85-89세,1,0,2,1,0,0
서울특별시 종로구,방문간호,90-94세,4,0,0,0,0,0
서울특별시 종로구,방문간호,95세이상,0,0,1,0,0,0
서울특별시 종로구,주야간보호,65-69세,1,0,2,3,1,0
서울특별시 종로구,주야간보호,70-74세,0,0,4,5,3,1
서울특별시 종로구,주야간보호,75-79세,0,4,12,17,6,2
서울특별시 종로구,주야간보호,80-84세,1,4,18,34,23,4
서울특별시 종로구,주야간보호,85-89세,1,1,22,31,15,1
서울특별시 종로구,주야간보호,90-94세,1,1,16,13,2,0
서울특별시 종로구,주야간보호,95세이상,0,0,3,3,1,0
서울특별시 종로구,단기보호,65-69세,0,0,0,0,0,0
서울특별시 종로구,단기보호,70-74세,0,0,0,0,0,0
서울특별시 종로구,단기보호,75-79세,0,0,0,0,0,0
서울특별시 종로구,단기보호,80-84세,0,0,0,0,0,0
서울특별시 종로구,단기보호,85-89세,0,0,0,0,0,0
서울특별시 종로구,단기보호,90-94세,0,0,0,1,0,0
서울특별시 종로구,단기보호,95세이상,0,0,0,0,0,0
서울특별시 중구,방문요양,65-69세,5,4,16,40,6,0
서울특별시 중구,방문요양,70-74세,5,10,40,53,7,0
서울특별시 중구,방문요양,75-79세,9,18,49,77,21,0
서울특별시 중구,방문요양,80-84세,14,34,114,161,29,0
서울특별시 중구,방문요양,85-89세,18,44,113,120,17,0
서울특별시 중구,방문요양,90-94세,15,24,66,56,3,0
서울특별시 중구,방문요양,95세이상,6,12,16,10,0,0
서울특별시 중구,방문목욕,65-69세,1,0,3,1,0,0
서울특별시 중구,방문목욕,70-74세,0,0,1,1,1,0
서울특별시 중구,방문목욕,75-79세,0,1,1,1,0,0
서울특별시 중구,방문목욕,80-84세,2,2,3,3,0,0
서울특별시 중구,방문목욕,85-89세,3,3,5,4,0,0
서울특별시 중구,방문목욕,90-94세,1,1,4,1,0,0
서울특별시 중구,방문목욕,95세이상,0,0,1,0,0,0
서울특별시 중구,방문간호,65-69세,1,0,0,1,0,0
서울특별시 중구,방문간호,70-74세,0,0,0,2,0,0
서울특별시 중구,방문간호,75-79세,1,2,0,0,0,0
서울특별시 중구,방문간호,80-84세,0,2,0,1,0,0
서울특별시 중구,방문간호,85-89세,1,3,0,3,0,0
서울특별시 중구,방문간호,90-94세,2,2,1,0,0,0
서울특별시 중구,방문간호,95세이상,0,0,0,0,0,0
서울특별시 중구,주야간보호,65-69세,0,0,5,0,2,0
서울특별시 중구,주야간보호,70-74세,0,0,6,7,3,1
서울특별시 중구,주야간보호,75-79세,0,2,12,17,10,3
서울특별시 중구,주야간보호,80-84세,0,7,19,34,20,1
서울특별시 중구,주야간보호,85-89세,0,3,18,33,18,4
서울특별시 중구,주야간보호,90-94세,0,0,7,15,8,0
서울특별시 중구,주야간보호,95세이상,0,2,1,1,0,0
서울특별시 중구,단기보호,65-69세,0,0,0,0,0,0
서울특별시 중구,단기보호,70-74세,0,0,0,0,0,0
서울특별시 중구,단기보호,75-79세,0,0,0,1,0,0
서울특별시 중구,단기보호,80-84세,1,0,0,1,0,0
서울특별시 중구,단기보호,85-89세,0,0,1,1,0,0
서울특별시 중구,단기보호,90-94세,0,0,2,0,0,0
서울특별시 중구,단기보호,95세이상,0,0,0,0,0,0
서울특별시 용산구,방문요양,65-69세,5,6,23,44,4,0
서울특별시 용산구,방문요양,70-74세,5,8,45,49,4,0
서울특별시 용산구,방문요양,75-79세,11,28,69,113,11,0
서울특별시 용산구,방문요양,80-84세,15,47,139,233,26,0
서울특별시 용산구,방문요양,85-89세,38,62,159,247,15,0
서울특별시 용산구,방문요양,90-94세,17,47,84,97,4,0
서울특별시 용산구,방문요양,95세이상,5,16,35,19,0,0
서울특별시 용산구,방문목욕,65-69세,1,0,1,0,0,0
서울특별시 용산구,방문목욕,70-74세,0,0,1,0,0,0
서울특별시 용산구,방문목욕,75-79세,1,2,3,1,0,0
서울특별시 용산구,방문목욕,80-84세,0,3,7,5,0,0
서울특별시 용산구,방문목욕,85-89세,5,0,4,11,0,0
서울특별시 용산구,방문목욕,90-94세,1,1,2,3,0,0
서울특별시 용산구,방문목욕,95세이상,1,2,2,0,0,0
서울특별시 용산구,방문간호,65-69세,1,1,0,1,0,0
서울특별시 용산구,방문간호,70-74세,2,1,1,1,0,0
서울특별시 용산구,방문간호,75-79세,2,1,3,2,0,0
서울특별시 용산구,방문간호,80-84세,1,1,3,3,0,0
서울특별시 용산구,방문간호,85-89세,5,6,4,1,0,0
서울특별시 용산구,방문간호,90-94세,0,3,1,1,0,0
서울특별시 용산구,방문간호,95세이상,0,2,1,0,0,0
서울특별시 용산구,주야간보호,65-69세,1,0,3,3,1,0
서울특별시 용산구,주야간보호,70-74세,1,2,3,7,3,1
서울특별시 용산구,주야간보호,75-79세,0,2,11,17,12,2
서울특별시 용산구,주야간보호,80-84세,0,4,24,43,22,7
서울특별시 용산구,주야간보호,85-89세,1,1,25,47,14,0
서울특별시 용산구,주야간보호,90-94세,2,0,7,25,3,0
서울특별시 용산구,주야간보호,95세이상,0,1,5,5,0,0
서울특별시 용산구,단기보호,65-69세,0,0,0,0,0,0
서울특별시 용산구,단기보호,70-74세,0,0,0,0,0,0
서울특별시 용산구,단기보호,75-79세,0,0,0,0,0,0
서울특별시 용산구,단기보호,80-84세,0,0,0,0,0,0
서울특별시 용산구,단기보호,85-89세,0,0,0,2,0,0
서울특별시 용산구,단기보호,90-94세,0,0,0,0,0,0
서울특별시 용산구,단기보호,95세이상,0,0,0,0,0,0
서울특별시 성동구,방문요양,65-69세,8,8,41,52,11,0
서울특별시 성동구,방문요양,70-74세,7,22,48,68,11,1
서울특별시 성동구,방문요양,75-79세,15,29,102,163,37,0
서울특별시 성동구,방문요양,80-84세,13,40,138,281,60,0
서울특별시 성동구,방문요양,85-89세,14,40,130,220,40,0
서울특별시 성동구,방문요양,90-94세,10,24,72,89,13,0
서울특별시 성동구,방문요양,95세이상,5,10,20,19,1,0
서울특별시 성동구,방문목욕,65-69세,1,0,4,0,0,0
서울특별시 성동구,방문목욕,70-74세,1,0,2,0,2,0
서울특별시 성동구,방문목욕,75-79세,1,0,4,3,1,0
서울특별시 성동구,방문목욕,80-84세,3,7,6,5,1,0
서울특별시 성동구,방문목욕,85-89세,1,6,7,2,1,0
서울특별시 성동구,방문목욕,90-94세,0,0,2,1,0,0
서울특별시 성동구,방문목욕,95세이상,0,1,2,0,0,0
서울특별시 성동구,방문간호,65-69세,0,0,1,5,0,0
서울특별시 성동구,방문간호,70-74세,0,3,0,3,0,0
서울특별시 성동구,방문간호,75-79세,4,2,4,3,0,0
서울특별시 성동구,방문간호,80-84세,6,4,3,3,0,0
서울특별시 성동구,방문간호,85-89세,5,2,0,2,0,0
서울특별시 성동구,방문간호,90-94세,1,1,2,0,0,0
서울특별시 성동구,방문간호,95세이상,1,0,0,0,0,0
서울특별시 성동구,주야간보호,65-69세,0,0,3,8,0,0
서울특별시 성동구,주야간보호,70-74세,0,1,7,21,8,1
서울특별시 성동구,주야간보호,75-79세,0,3,16,31,31,8
서울특별시 성동구,주야간보호,80-84세,1,4,28,55,66,7
서울특별시 성동구,주야간보호,85-89세,0,4,33,63,36,1
서울특별시 성동구,주야간보호,90-94세,0,1,14,29,18,1
서울특별시 성동구,주야간보호,95세이상,0,1,5,6,0,0
서울특별시 성동구,단기보호,65-69세,0,0,1,1,0,0
서울특별시 성동구,단기보호,70-74세,0,1,0,1,0,0
서울특별시 성동구,단기보호,75-79세,1,0,1,0,0,0
서울특별시 성동구,단기보호,80-84세,1,0,1,3,2,0
서울특별시 성동구,단기보호,85-89세,0,0,1,3,1,0
서울특별시 성동구,단기보호,90-94세,0,0,1,2,0,0
서울특별시 성동구,단기보호,95세이상,0,1,0,0,0,0
서울특별시 광진구,방문요양,65-69세,9,10,44,60,5,0
서울특별시 광진구,방문요양,70-74세,14,18,82,112,12,0
서울특별시 광진구,방문요양,75-79세,25,24,120,178,20,0
서울특별시 광진구,방문요양,80-84세,24,59,236,306,48,0
서울특별시 광진구,방문요양,85-89세,20,53,222,284,18,0
서울특별시 광진구,방문요양,90-94세,15,29,105,108,5,0
서울특별시 광진구,방문요양,95세이상,4,21,18,18,0,0
서울특별시 광진구,방문목욕,65-69세,1,0,1,0,0,0
서울특별시 광진구,방문목욕,70-74세,5,2,5,2,0,0
서울특별시 광진구,방문목욕,75-79세,3,2,3,4,0,0
서울특별시 광진구,방문목욕,80-84세,1,5,8,8,1,0
서울특별시 광진구,방문목욕,85-89세,1,7,16,5,1,0
서울특별시 광진구,방문목욕,90-94세,1,2,5,3,0,0
서울특별시 광진구,방문목욕,95세이상,0,0,0,0,0,0
서울특별시 광진구,방문간호,65-69세,1,0,1,0,0,0
서울특별시 광진구,방문간호,70-74세,2,1,1,1,0,0
서울특별시 광진구,방문간호,75-79세,4,1,1,2,0,0
서울특별시 광진구,방문간호,80-84세,1,0,3,0,1,0
서울특별시 광진구,방문간호,85-89세,1,2,3,0,0,0
서울특별시 광진구,방문간호,90-94세,2,1,0,1,0,0
서울특별시 광진구,방문간호,95세이상,0,0,0,0,0,0
서울특별시 광진구,주야간보호,65-69세,0,3,8,7,2,0
서울특별시 광진구,주야간보호,70-74세,1,3,17,20,8,4
서울특별시 광진구,주야간보호,75-79세,2,4,36,53,27,3
서울특별시 광진구,주야간보호,80-84세,1,12,65,92,48,6
서울특별시 광진구,주야간보호,85-89세,3,8,62,75,16,2
서울특별시 광진구,주야간보호,90-94세,0,4,21,19,9,0
서울특별시 광진구,주야간보호,95세이상,0,2,2,3,0,0
서울특별시 광진구,단기보호,65-69세,0,0,3,0,0,0
서울특별시 광진구,단기보호,70-74세,1,1,1,2,0,0
서울특별시 광진구,단기보호,75-79세,1,1,5,1,0,0
서울특별시 광진구,단기보호,80-84세,1,3,2,2,0,0
서울특별시 광진구,단기보호,85-89세,1,3,4,1,1,0
서울특별시 광진구,단기보호,90-94세,0,5,5,2,1,0
서울특별시 광진구,단기보호,95세이상,0,0,0,1,1,0
서울특별시 동대문구,방문요양,65-69세,12,14,46,79,14,1
서울특별시 동대문구,방문요양,70-74세,19,22,96,137,15,0
서울특별시 동대문구,방문요양,75-79세,21,36,162,310,45,0
서울특별시 동대문구,방문요양,80-84세,22,65,231,479,74,0
서울특별시 동대문구,방문요양,85-89세,20,45,196,340,53,2
서울특별시 동대문구,방문요양,90-94세,10,24,68,135,23,0
서울특별시 동대문구,방문요양,95세이상,7,8,27,26,2,0
서울특별시 동대문구,방문목욕,65-69세,3,0,1,4,0,0
서울특별시 동대문구,방문목욕,70-74세,5,1,5,5,0,0
서울특별시 동대문구,방문목욕,75-79세,1,3,7,10,0,0
서울특별시 동대문구,방문목욕,80-84세,2,3,11,12,1,0
서울특별시 동대문구,방문목욕,85-89세,1,6,13,5,1,0
서울특별시 동대문구,방문목욕,90-94세,2,1,2,5,0,0
서울특별시 동대문구,방문목욕,95세이상,3,1,3,0,0,0
서울특별시 동대문구,방문간호,65-69세,1,1,0,2,0,0
서울특별시 동대문구,방문간호,70-74세,3,4,4,1,0,0
서울특별시 동대문구,방문간호,75-79세,1,3,4,1,0,0
서울특별시 동대문구,방문간호,80-84세,3,2,2,5,0,0
서울특별시 동대문구,방문간호,85-89세,3,3,1,1,0,0
서울특별시 동대문구,방문간호,90-94세,2,0,1,0,0,0
서울특별시 동대문구,방문간호,95세이상,0,0,0,0,0,0
서울특별시 동대문구,주야간보호,65-69세,0,0,7,10,5,1
서울특별시 동대문구,주야간보호,70-74세,2,2,20,27,20,8
서울특별시 동대문구,주야간보호,75-79세,2,7,24,68,48,11
서울특별시 동대문구,주야간보호,80-84세,1,7,50,108,58,8
서울특별시 동대문구,주야간보호,85-89세,3,2,52,89,66,15
서울특별시 동대문구,주야간보호,90-94세,0,3,17,38,16,1
서울특별시 동대문구,주야간보호,95세이상,0,0,4,8,2,0
서울특별시 동대문구,단기보호,65-69세,1,0,1,0,1,0
