"시·군·구별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","계","기관수[개]","개","15704","16543","18002","19398","20377","21290","24953","25384","26547","27484",
"합계","계","정원[명]","명","167915","184050","201443","223573","243235","265748","315397","351333","383150","413432",
"합계","재가","기관수[개]","개","11056","11672","12917","14211","15073","15970","19410","19621","20559","21334",
"합계","재가","정원[명]","명","27896","33434","42075","55217","68692","85320","123698","146136","162900","178988",
"합계","방문요양","기관수[개]","개","8620","9073","10077","11072","11662","12335","15305","15412","16214","16850",
"합계","방문목욕","기관수[개]","개","7146","7479","8253","8957","9357","9665","11121","11086","11506","11789",
"합계","방문간호","기관수[개]","개","597","586","574","598","650","682","795","774","801","828",
"합계","주야간보호","기관수[개]","개","1427","1688","2018","2410","2795","3211","4179","4587","4832","5090",
"합계","주야간보호","정원[명]","명","24286","30512","39270","52666","66607","83674","122252","144822","161678","177842",
"합계","단기보호","기관수[개]","개","368","322","299","267","218","179","162","148","137","126",
"합계","단기보호","정원[명]","명","3610","2922","2805","2551","2085","1646","1446","1314","1222","1146",
"합계","복지용구","기관수[개]","개","1574","1599","1700","1823","1892","1920","1975","1941","1954","1977",
"합계","통합재가서비스","기관수[개]","개","","","","","","","","","11","31",
"합계","시설","기관수[개]","개","4648","4871","5085","5187","5304","5320","5543","5763","5988","6150",
"합계","시설","정원[명]","명","140019","150616","159368","168356","174543","180428","191699","205197","220250","234444",
"합계","노인요양시설","기관수[개]","개","2494","2714","2935","3137","3289","3389","3604","3850","4132","4373",
"합계","노인요양시설","정원[명]","명","121286","131958","140788","150395","156862","163484","174634","188302","203852","218737",
"합계","노인전문요양시설","기관수[개]","개","2","","","","","","","","","",
"합계","노인전문요양시설","정원[명]","명","38","","","","","","","","","",
"합계","노인요양시설(구법)","기관수[개]","개","1","","","","","","","","","",
"합계","노인요양시설(구법)","정원[명]","명","25","","","","","","","","","",
"합계","노인요양공동생활가정","기관수[개]","개","2150","2157","2150","2050","2015","1931","1939","1913","1856","1777",
"합계","노인요양공동생활가정","정원[명]","명","18670","18658","18580","17961","17681","16944","17065","16895","16398","15707",
"합계","노인요양시설(단기보호전환)","기관수[개]","개","1","","","","","","","","","",
"합계","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"서울","계","기관수[개]","개","2434","2586","2807","2957","3040","3121","3504","3517","3621","3646",
"서울","계","정원[명]","명","18806","20595","22226","23073","23958","25878","27951","30430","31524","32385",
"서울","재가","기관수[개]","개","1913","2047","2254","2426","2516","2606","2990","3005","3110","3144",
"서울","재가","정원[명]","명","5783","6389","7145","8244","9338","10984","12897","14965","15690","16260",
"서울","방문요양","기관수[개]","개","1379","1485","1653","1788","1852","1938","2308","2318","2412","2460",
"서울","방문목욕","기관수[개]","개","1178","1288","1442","1553","1613","1672","1913","1918","1978","1989",
"서울","방문간호","기관수[개]","개","130","131","126","126","130","129","139","144","145","135",
"서울","주야간보호","기관수[개]","개","234","258","288","314","346","392","444","475","488","498",
"서울","주야간보호","정원[명]","명","4605","5316","6098","7261","8519","10333","12327","14409","15168","15779",
"서울","단기보호","기관수[개]","개","97","90","87","85","68","55","50","46","44","41",
"서울","단기보호","정원[명]","명","1178","1073","1047","983","819","651","570","556","522","481",
"서울","복지용구","기관수[개]","개","284","287","306","333","340","332","324","313","312","307",
"서울","통합재가서비스","기관수[개]","개","","","","","","","","","1","3",
"서울","시설","기관수[개]","개","521","539","553","531","524","515","514","512","511","502",
"서울","시설","정원[명]","명","13023","14206","15081","14829","14620","14894","15054","15465","15834","16125",
"서울","노인요양시설","기관수[개]","개","163","179","190","195","201","203","204","212","221","228",
"서울","노인요양시설","정원[명]","명","9902","11067","11912","11868","11771","12174","12328","12819","13269","13696",
"서울","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"서울","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"서울","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"서울","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"서울","노인요양공동생활가정","기관수[개]","개","358","360","363","336","323","312","310","300","290","274",
"서울","노인요양공동생활가정","정원[명]","명","3121","3139","3169","2961","2849","2720","2726","2646","2565","2429",
"서울","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
