"시·군·구별","등급별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","계","계","급여이용수급자[명]","명","399591","433779","475382","520043","578867","648792","732181","807067","899113","999451",
"합계","계","계","급여제공기관[개]","개","15315","16001","16937","18373","19361","20139","22103","23574","24858","26266",
"합계","계","계","급여제공일수[일]","일","85851626","92230169","100847166","109971992","122924601","135930530","154337049","173327116","192243301","215782169",
"합계","계","계","급여비용[천원]","천원","3523434481","3984856108","4522613197","5005162125","5759993829","7067041243","8565317455","9824758566","11114605137","12574181026",
"합계","계","계","공단부담금[천원]","천원","3082993241","3498139433","3981617681","4417672705","5093694005","6299189004","7736306333","8882675047","10095748016","11444191434",
"합계","계","방문요양","급여이용수급자[명]","명","224233","240392","260252","284232","317195","357575","409526","463995","533318","598641",
"합계","계","방문요양","급여제공기관[개]","개","7882","8248","8796","9845","10395","10809","12243","13220","14029","14959",
"합계","계","방문요양","급여제공일수[일]","일","39555697","42245649","45920758","49773985","56687474","63305247","73366860","85048740","97756594","111198522",
"합계","계","방문요양","급여비용[천원]","천원","1324847626","1476904614","1663192555","1801210685","2110510344","2698705404","3299617063","3931590849","4604228519","5253922344",
"합계","계","방문요양","공단부담금[천원]","천원","1173568116","1311916817","1480933572","1607612408","1891638253","2436414696","3007063657","3588911733","4214504428","4809494852",
"합계","계","방문목욕","급여이용수급자[명]","명","65509","62017","60285","61812","68590","74801","81345","91139","103388","115687",
"합계","계","방문목욕","급여제공기관[개]","개","4930","4846","4681","4777","4859","4858","4760","4426","4297","4302",
"합계","계","방문목욕","급여제공일수[일]","일","1656644","1508929","1469017","1479623","1653251","1766288","1951098","2177475","2523389","2829014",
"합계","계","방문목욕","급여비용[천원]","천원","83302093","80365346","81539918","84818685","99850591","111542301","127865898","149653391","178695028","208506728",
"합계","계","방문목욕","공단부담금[천원]","천원","73560888","71098031","72252419","75351438","89199490","100322911","116238833","136178404","163095419","190476437",
"합계","계","방문간호","급여이용수급자[명]","명","7634","7660","8613","9077","11485","14270","15727","16951","18717","19928",
"합계","계","방문간호","급여제공기관[개]","개","349","388","374","381","429","469","552","549","559","588",
"합계","계","방문간호","급여제공일수[일]","일","201885","202930","232637","255163","322660","412540","495945","571967","675416","726037",
"합계","계","방문간호","급여비용[천원]","천원","8297214","8512045","9967969","10808622","14799535","19721126","24388996","28793887","34750883","38128557",
"합계","계","방문간호","공단부담금[천원]","천원","7316789","7538395","8854381","9630661","13244023","17743377","22147755","26127988","31539216","34625765",
"합계","계","주야간보호","급여이용수급자[명]","명","28051","35089","45006","57165","74081","94399","116529","138521","160250","183056",
"합계","계","주야간보호","급여제공기관[개]","개","1387","1633","2007","2373","2831","3270","4018","4627","4882","5213",
"합계","계","주야간보호","급여제공일수[일]","일","4187356","4749106","6428320","8551566","11523296","14843683","19314538","23910389","28361396","32307570",
"합계","계","주야간보호","급여비용[천원]","천원","144855730","196248630","286362746","400975052","571176212","817000970","1147551575","1398542718","1682365969","1949741666",
"합계","계","주야간보호","공단부담금[천원]","천원","127887940","174468891","256344729","360771693","511931186","736130821","1044355595","1272579664","1536560380","1783102311",
"합계","계","단기보호","급여이용수급자[명]","명","7264","7021","6436","5866","5421","4685","3905","2490","2021","2061",
"합계","계","단기보호","급여제공기관[개]","개","402","364","335","291","233","177","139","112","91","86",
"합계","계","단기보호","급여제공일수[일]","일","456572","478188","432369","383331","354663","289660","239975","174205","140250","125927",
"합계","계","단기보호","급여비용[천원]","천원","17181024","18634863","17521269","15441713","15219580","13835401","12332878","9708669","7952565","7341612",
"합계","계","단기보호","공단부담금[천원]","천원","14974168","16336359","15448099","13607290","13444555","12341979","11177085","8799536","7259557","6738762",
"합계","계","복지용구","급여이용수급자[명]","명","154883","169896","194139","216803","246960","275900","338421","382273","442580","498759",
"합계","계","복지용구","급여제공기관[개]","개","1352","1380","1407","1452","1510","1480","1532","1536","1554","1633",
"합계","계","복지용구","급여제공일수[일]","일","0","0","0","0","","","-","0","0","-",
"합계","계","복지용구","급여비용[천원]","천원","100317479","104943836","116568062","126263063","137001262","146464761","186416797","217380946","261091028","294075718",
"합계","계","복지용구","공단부담금[천원]","천원","89112224","93411003","103733916","112510918","122283685","131455929","169184883","197594413","237719771","267724470",
