"시·군·구별","성별","등급별","자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","합계","계","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","502518","551659","595974","645269","712279","792037","886101","962568","1051781","1114976",
"합계","합계","계","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","339153","367792","393546","425852","469488","420793","468264","510891","532232","548917",
"합계","합계","계","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","62208","75301","85665","95173","110021","226488","260368","281267","339147","376465",
"합계","합계","계","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","6596","7241","7727","8216","9052","9911","10950","11704","12329","12502",
"합계","합계","계","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","94561","101325","109036","116028","123718","134845","146519","158706","168073","177092",
"합계","합계","1등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","32676","33174","33513","36303","38760","40470","40009","38495","43274","45682",
"합계","합계","1등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","22516","22655","22676","24813","26024","20872","20609","19894","21021","21801",
"합계","합계","1등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","5068","5431","5706","5941","7049","13610","13617","12752","15538","16699",
"합계","합계","1등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","405","392","388","424","461","461","462","468","537","553",
"합계","합계","1등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","4687","4696","4743","5125","5226","5527","5321","5381","6178","6629",
"합계","합계","2등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","67785","68185","67421","70584","75949","80778","82447","82749","88330","90253",
"합계","합계","2등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","46141","45719","44376","46559","49263","39189","39836","40699","40978","40704",
"합계","합계","2등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","11409","12371","12897","13234","15381","29447","30302","29573","33940","35682",
"합계","합계","2등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","803","804","786","840","951","1008","1035","995","1025","1093",
"합계","합계","2등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","9432","9291","9362","9951","10354","11134","11274","11482","12387","12774",
"합계","합계","3등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","253467","160124","166116","175560","185778","200473","214624","227024","249510","267158",
"합계","합계","3등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","168389","106568","109591","115527","121971","99413","106198","114063","118969","123842",
"합계","합계","3등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","41936","28825","30909","33266","36332","71534","77169","79415","94152","103880",
"합계","합계","3등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","3243","2046","2097","2237","2351","2512","2633","2831","3002","3110",
"합계","합계","3등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","39899","22685","23519","24530","25124","27014","28624","30715","33387","36326",
"합계","합계","4등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","127452","155434","181143","215293","255099","314632","365760","410787","446469",
"합계","합계","4등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","83232","99984","115663","138349","125253","154183","181075","193843","204301",
"합계","합계","4등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","21602","27389","32878","39077","85568","105765","120449","147170","166728",
"합계","합계","4등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1691","2041","2312","2728","3223","3991","4499","4928","5034",
"합계","합계","4등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","20927","26020","30290","35139","41055","50693","59737","64846","70406",
"합계","합계","5등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","10148","18945","29113","40928","52556","71547","89846","103721","111216",
"합계","합계","5등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","7539","13693","20482","28466","27656","37182","46833","51036","53040",
"합계","합계","5등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1476","2951","4631","6678","17310","23439","28573","36382","40777",
"합계","합계","5등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","113","233","354","514","643","853","1041","1147","1138",
"합계","합계","5등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1020","2068","3646","5270","6947","10073","13399","15156","16261",
"합계","합계","인지지원등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","10930","15151","18560","21753","22537",
"합계","합계","인지지원등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","5981","8412","10376","11619","11608",
"합계","합계","인지지원등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","3413","4586","5376","6966","7648",
"합계","합계","인지지원등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","111","151","182","185","171",
"합계","합계","인지지원등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","1425","2002","2626","2983","3110",
"합계","합계","등급외","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","152576","154545","152566","155571","151731","147691","140134","134406","131661",
"합계","합계","등급외","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","102079","103226","102808","105415","102429","101844","97951","94766","93621",
"합계","합계","등급외","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","5596","5813","5223","5504","5606","5490","5129","4999","5051",
"합계","합계","등급외","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","2195","2182","2049","2047","1953","1825","1688","1505","1403",
"합계","합계","등급외","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","42706","43324","42486","42605","41743","38532","35366","33136","31586",
"합계","합계","등급외A","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","83881","","","","","","","","","",
"합계","합계","등급외A","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","61039","","","","","","","","","",
"합계","합계","등급외A","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","2848","","","","","","","","","",
"합계","합계","등급외A","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","1223","","","","","","","","","",
"합계","합계","등급외A","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","18771","","","","","","","","","",
"합계","합계","등급외B","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","50624","","","","","","","","","",
"합계","합계","등급외B","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","32613","","","","","","","","","",
"합계","합계","등급외B","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","807","","","","","","","","","",
