"시·군·구별","성별","자격별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","계","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","51448491","51757146","52034424","52272755","52426625","52556653","52880293","52870968","52928662","52932270",
"합계","계","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","45255729","45294406","45315180","45332359","45115790","44944883","44876875","44390760","44015877","43555221",
"합계","계","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","6192762","6462740","6719244","6940396","7310835","7611770","8003418","8480208","8912785","9377049",
"합계","계","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","49989620","50316384","50490157","50763283","50940885","51071982","51391447","51344938","51412137","51409978",
"합계","계","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","44249941","44311732","44267238","44318071","44134672","43979689","43928461","43440833","43092159","42658616",
"합계","계","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","5739679","6004652","6222919","6445212","6806213","7092293","7462986","7904105","8319978","8751362",
"합계","계","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","125238","122395","118888","111526","98541","94659","96267","91036","86951","83863",
"합계","계","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","79344","77279","74443","69624","56887","54363","53939","50013","46295","43513",
"합계","계","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","45894","45116","44445","41902","41654","40296","42328","41023","40656","40350",
"합계","계","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1333633","1318367","1425379","1397946","1387199","1390012","1392579","1434994","1429574","1438429",
"합계","계","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","926444","905395","973499","944664","924231","910831","894475","899914","877423","853092",
"합계","계","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","407189","412972","451880","453282","462968","479181","498104","535080","552151","585337",
"합계","남자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","25780143","25934973","26065615","26174820","26239673","26295967","26478466","26455169","26456123","26456527",
"합계","남자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","23207267","23231799","23238383","23240653","23125311","23037109","23027488","22777226","22567919","22338246",
"합계","남자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","2572876","2703174","2827232","2934167","3114362","3258858","3450978","3677943","3888204","4118281",
"합계","남자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","25139916","25297656","25377945","25498572","25568633","25619518","25791735","25744666","25742882","25737419",
"합계","남자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","22700748","22733219","22707267","22724005","22621938","22537972","22532396","22278035","22078811","21862563",
"합계","남자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","2439168","2564437","2670678","2774567","2946695","3081546","3259339","3466631","3664071","3874856",
"합계","남자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","57793","56552","54564","50783","38550","36435","36922","34472","32733","31516",
"합계","남자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","41751","40912","39310","36558","24509","23088","22768","20915","19323","18117",
"합계","남자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","16042","15640","15254","14225","14041","13347","14154","13557","13410","13399",
"합계","남자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","582434","580765","633106","625465","632490","640014","649809","676031","680508","687592",
"합계","남자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","464768","457668","491806","480090","478864","476049","472324","478276","469785","457566",
"합계","남자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","117666","123097","141300","145375","153626","163965","177485","197755","210723","230026",
"합계","여자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","25668348","25822173","25968809","26097935","26186952","26260686","26401827","26415799","26472539","26475743",
"합계","여자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","22048462","22062607","22076797","22091706","21990479","21907774","21849387","21613534","21447958","21216975",
"합계","여자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","3619886","3759566","3892012","4006229","4196473","4352912","4552440","4802265","5024581","5258768",
"합계","여자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","24849704","25018728","25112212","25264711","25372252","25452464","25599712","25600272","25669255","25672559",
"합계","여자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","21549193","21578513","21559971","21594066","21512734","21441717","21396065","21162798","21013348","20796053",
"합계","여자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","3300511","3440215","3552241","3670645","3859518","4010747","4203647","4437474","4655907","4876506",
"합계","여자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","67445","65843","64324","60743","59991","58224","59345","56564","54218","52347",
"합계","여자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","37593","36367","35133","33066","32378","31275","31171","29098","26972","25396",
"합계","여자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","29852","29476","29191","27677","27613","26949","28174","27466","27246","26951",
"합계","여자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","751199","737602","792273","772481","754709","749998","742770","758963","749066","750837",
"합계","여자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","461676","447727","481693","464574","445367","434782","422151","421638","407638","395526",
"합계","여자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","289523","289875","310580","307907","309342","315216","320619","337325","341428","355311",
"서울","계","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","10191527","10173931","10118348","10032565","9976682","9906760","9933336","9862418","9782826","9755308",
"서울","계","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","9050397","8978903","8878204","8760424","8637078","8515662","8469905","8315338","8170880","8066254",
