"시·군·구별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"시·군·구별(1)","성별(1)",계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초
"시·군·구별(1)","성별(1)",계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상
"합계","합계",685852,40462,645390,472299,22620,449679,69256,4897,64359,8890,240,8650,135407,12705,122702,736879,42096,694783,503759,22901,480858,82806,5219,77587,9547,245,9302,140767,13731,127036,789024,43676,745348,535027,22987,512040,93638,5281,88357,10066,232,9834,150293,15176,135117,848829,45389,803440,572364,23311,549053,107039,5529,101510,10509,192,10317,158917,16357,142560,923543,47567,875976,620334,23915,596419,123085,5816,117269,11558,193,11365,168566,17643,150923,1009209,49751,959458,567476,19503,547973,247243,10867,236376,12549,169,12380,181941,19212,162729,1113093,53383,1059710,616860,20322,596538,285142,11638,273504,13789,184,13605,197302,21239,176063,1183434,55162,1128272,652584,20871,631713,306315,11576,294739,14426,187,14239,210109,22528,187581,1281244,56316,1224928,676304,20063,656241,366863,12624,354239,15257,174,15083,222820,23455,199365,1348961,56553,1292408,692435,19690,672745,405355,12534,392821,15646,175,15471,235525,24154,211371
"합계","남자",183734,23490,160244,130539,12256,118283,17292,3099,14193,2616,161,2455,33287,7974,25313,196954,24367,172587,138649,12253,126396,20081,3247,16834,2773,161,2612,35451,8706,26745,211292,25323,185969,146795,12141,134654,22243,3331,18912,2890,147,2743,39364,9704,29660,228515,26446,202069,157767,12300,145467,24907,3442,21465,2947,122,2825,42894,10582,32312,251397,27744,223653,172514,12529,159985,28598,3597,25001,3215,120,3095,47070,11498,35572,279214,29139,250075,160345,10177,150168,62974,6261,56713,3382,111,3271,52513,12590,39923,313527,31398,282129,178149,10619,167530,72397,6652,65745,3648,119,3529,59333,14008,45325,335145,32540,302605,189500,10891,178609,77503,6695,70808,3740,122,3618,64402,14832,49570,367659,33262,334397,199964,10467,189497,93871,7227,86644,3860,106,3754,69964,15462,54502,392308,33492,358816,209345,10376,198969,103214,7054,96160,3896,104,3792,75853,15958,59895
"합계","여자",502118,16972,485146,341760,10364,331396,51964,1798,50166,6274,79,6195,102120,4731,97389,539925,17729,522196,365110,10648,354462,62725,1972,60753,6774,84,6690,105316,5025,100291,577732,18353,559379,388232,10846,377386,71395,1950,69445,7176,85,7091,110929,5472,105457,620314,18943,601371,414597,11011,403586,82132,2087,80045,7562,70,7492,116023,5775,110248,672146,19823,652323,447820,11386,436434,94487,2219,92268,8343,73,8270,121496,6145,115351,729995,20612,709383,407131,9326,397805,184269,4606,179663,9167,58,9109,129428,6622,122806,799566,21985,777581,438711,9703,429008,212745,4986,207759,10141,65,10076,137969,7231,130738,848289,22622,825667,463084,9980,453104,228812,4881,223931,10686,65,10621,145707,7696,138011,913585,23054,890531,476340,9596,466744,272992,5397,267595,11397,68,11329,152856,7993,144863,956653,23061,933592,483090,9314,473776,302141,5480,296661,11750,71,11679,159672,8196,151476
"서울","합계",100723,6894,93829,73888,4284,69604,9608,886,8722,1076,41,1035,16151,1683,14468,107687,7195,100492,77802,4347,73455,11323,928,10395,1169,35,1134,17393,1885,15508,114750,7360,107390,82147,4296,77851,12329,938,11391,1193,29,1164,19081,2097,16984,122327,7474,114853,87060,4308,82752,13329,906,12423,1212,23,1189,20726,2237,18489,131515,7678,123837,93380,4351,89029,14697,916,13781,1288,23,1265,22150,2388,19762,141876,7826,134050,85666,3581,82085,30686,1650,29036,1402,23,1379,24122,2572,21550,154360,8182,146178,93569,3717,89852,32872,1679,31193,1428,21,1407,26491,2765,23726,162843,8292,154551,99420,3791,95629,33473,1594,31879,1494,22,1472,28456,2885,25571,175675,8381,167294,105538,3692,101846,38095,1654,36441,1550,23,1527,30492,3012,27480,185420,8327,177093,109549,3587,105962,42002,1634,40368,1588,20,1568,32281,3086,29195
"서울","남자",28960,4125,24835,21784,2414,19370,2667,582,2085,342,31,311,4167,1098,3069,30935,4233,26702,22916,2399,20517,3098,601,2497,369,25,344,4552,1208,3344,33270,4314,28956,24353,2337,22016,3296,604,2692,375,17,358,5246,1356,3890,35668,4427,31241,25867,2344,23523,3563,581,2982,375,15,360,5863,1487,4376,38832,4522,34310,27976,2323,25653,4029,604,3425,409,13,396,6418,1582,4836,42638,4636,38002,26353,1914,24439,8680,982,7698,425,14,411,7180,1726,5454,46987,4820,42167,29172,1967,27205,9284,985,8299,429,12,417,8102,1856,6246,49741,4876,44865,30993,1993,29000,9420,945,8475,441,12,429,8887,1926,6961,54470,4948,49522,33499,1944,31555,10775,990,9785,441,11,430,9755,2003,7752,58124,4907,53217,35207,1899,33308,11829,968,10861,464,10,454,10624,2030,8594
"서울","여자",71763,2769,68994,52104,1870,50234,6941,304,6637,734,10,724,11984,585,11399,76752,2962,73790,54886,1948,52938,8225,327,7898,800,10,790,12841,677,12164,81480,3046,78434,57794,1959,55835,9033,334,8699,818,12,806,13835,741,13094,86659,3047,83612,61193,1964,59229,9766,325,9441,837,8,829,14863,750,14113,92683,3156,89527,65404,2028,63376,10668,312,10356,879,10,869,15732,806,14926,99238,3190,96048,59313,1667,57646,22006,668,21338,977,9,968,16942,846,16096,107373,3362,104011,64397,1750,62647,23588,694,22894,999,9,990,18389,909,17480,113102,3416,109686,68427,1798,66629,24053,649,23404,1053,10,1043,19569,959,18610,121205,3433,117772,72039,1748,70291,27320,664,26656,1109,12,1097,20737,1009,19728,127296,3420,123876,74342,1688,72654,30173,666,29507,1124,10,1114,21657,1056,20601
"부산","합계",43640,3109,40531,29628,1809,27819,3381,333,3048,566,19,547,10065,948,9117,46366,3149,43217,31249,1771,29478,4149,352,3797,598,22,576,10370,1004,9366,48916,3208,45708,32631,1733,30898,4619,356,4263,610,18,592,11056,1101,9955,52955,3284,49671,34798,1729,33069,5637,374,5263,630,18,612,11890,1163,10727,58440,3445,54995,38061,1784,36277,6710,395,6315,674,15,659,12995,1251,11744,64732,3574,61158,35632,1451,34181,14002,748,13254,728,12,716,14370,1363,13007,73486,3808,69678,39737,1455,38282,16750,838,15912,797,16,781,16202,1499,14703,79198,3897,75301,42405,1453,40952,18373,836,17537,829,17,812,17591,1591,16000,87174,3868,83306,44613,1379,43234,22657,851,21806,880,13,867,19024,1625,17399,93454,3847,89607,46400,1330,45070,25741,826,24915,943,11,932,20370,1680,18690
