"시·군·구별","전문인력별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","7506","11298","13923","14682","18535","22305","26371","30268","33736","37027",
"합계","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","3828","6623","8440","9747","13188","16314","19593","22642","25509","28121",
"합계","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","3809","4817","5634","5001","5402","6052","6828","7685","8294","9000",
"합계","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1233","1324","1415","1683","2198","2210","2260","2312","2349","2368",
"합계","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","83","94","103","129","134","112","104","99","88","81",
"합계","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1194","1288","1378","1649","2161","2179","2229","2283","2322","2340",
"합계","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2627","2683","2719","2675","2791","2999","3280","3504","3645","3881",
"합계","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1262","1213","1218","1249","1371","1584","1765","1940","2100","2275",
"합계","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1498","1575","1595","1506","1485","1472","1582","1623","1594","1660",
"합계","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","7552","8241","9099","9080","9845","10726","11987","13221","14196","15118",
"합계","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1838","2073","2476","2730","3120","3671","4512","5185","5589","6035",
"합계","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","6190","6752","7303","7036","7460","7806","8300","8932","9495","9987",
"합계","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","5","4","5","7","10","7","14","12","16",
