"시도별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"시도별(1)","성별(1)",합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상,합계,65 ~ 69세,70 ~ 74세,75 ~ 79세,80 ~ 84세,85 ~ 89세,90세이상
"합계","계",6192762,1976756,1793706,1262705,702021,317658,139916,6462740,2073077,1791505,1338162,760284,351270,148442,6719244,2188480,1780147,1379194,832104,380578,158741,6940396,2238813,1770874,1449644,902153,409539,169373,7310835,2355592,1784260,1577687,961721,445241,186334,7611770,2421811,1872245,1609368,1026362,478435,203549,8003418,2572895,1967553,1615114,1097060,524884,225912,8480208,2829409,2078166,1608993,1137325,579409,246906,8912785,3082645,2123405,1605161,1201581,632199,267794,9377049,3258847,2233982,1622894,1307094,668933,285299
"합계","남자",2572876,939676,791296,499415,227236,84474,30779,2703174,992371,795170,536725,252201,93539,33168,2827232,1050271,796886,559787,284448,101033,34807,2934167,1074701,801485,595692,315440,110249,36600,3114362,1134578,815876,657402,343243,123237,40026,3258858,1165475,865654,675460,372444,136148,43677,3450978,1243006,916706,683493,405111,153480,49182,3677943,1364854,971011,687857,426037,174718,53466,3888204,1489547,992605,695465,456906,195233,58448,4118281,1580069,1047719,711705,504639,210695,63454
"합계","여자",3619886,1037080,1002410,763290,474785,233184,109137,3759566,1080706,996335,801437,508083,257731,115274,3892012,1138209,983261,819407,547656,279545,123934,4006229,1164112,969389,853952,586713,299290,132773,4196473,1221014,968384,920285,618478,322004,146308,4352912,1256336,1006591,933908,653918,342287,159872,4552440,1329889,1050847,931621,691949,371404,176730,4802265,1464555,1107155,921136,711288,404691,193440,5024581,1593098,1130800,909696,744675,436966,209346,5258768,1678778,1186263,911189,802455,458238,221845
"서울특별시","계",1141130,416141,334883,205900,108637,51650,23919,1195028,434231,340611,221987,116530,56448,25221,1240144,450106,343401,232041,127947,60249,26400,1272141,447505,345907,248405,138913,63625,27786,1339604,463723,352117,275319,150050,68154,30241,1391098,471747,367905,284812,161764,71981,32889,1463431,496505,385309,291243,175874,78282,36218,1547080,538703,401864,295057,185025,87221,39210,1611946,578154,399874,298639,198660,95102,41517,1689054,600622,415881,306464,220581,102021,43485
"서울특별시","남자",500514,198601,157911,87008,37219,13950,5825,525846,206690,160597,95636,41101,15656,6166,546883,213628,161579,101454,46881,17043,6298,561150,211948,161703,110062,52470,18453,6514,592407,219964,163121,123672,57986,20601,7063,615402,222929,170089,128169,63826,22659,7730,648535,234708,177539,131236,70896,25314,8842,685564,253282,185000,132649,75843,29152,9638,714433,270908,184055,133613,82811,32740,10306,749005,280894,191517,136294,93227,35949,11124
"서울특별시","여자",640616,217540,176972,118892,71418,37700,18094,669182,227541,180014,126351,75429,40792,19055,693261,236478,181822,130587,81066,43206,20102,710991,235557,184204,138343,86443,45172,21272,747197,243759,188996,151647,92064,47553,23178,775696,248818,197816,156643,97938,49322,25159,814896,261797,207770,160007,104978,52968,27376,861516,285421,216864,162408,109182,58069,29572,897513,307246,215819,165026,115849,62362,31211,940049,319728,224364,170170,127354,66072,32361
"부산광역시","계",461189,163551,138229,86189,45621,20166,7433,485484,172290,140682,92900,49296,22330,7986,506080,182936,138636,98130,53988,23720,8670,528756,190391,139053,105257,58729,25818,9508,558532,199141,142304,115344,63115,27823,10805,582914,202890,150046,120627,67792,29670,11889,613057,212043,158423,123228,73707,32394,13262,650439,231212,168558,122194,78425,35852,14198,682308,245341,175125,122779,84449,39087,15527,716020,255406,183580,126084,92683,41775,16492
"부산광역시","남자",196606,78506,62590,34576,14669,4763,1502,207943,82398,64164,37946,16335,5479,1621,217783,87332,63734,40580,18510,5894,1733,228182,90477,64455,44031,20666,6674,1879,242021,94610,65966,49043,22788,7521,2093,252988,95850,69508,51880,24998,8417,2335,267805,101118,73221,53513,27776,9454,2723,284118,109049,77757,53540,30089,10786,2897,298470,115477,80361,54385,32852,12118,3277,313642,120133,84224,55819,36533,13368,3565
