"시도별","설립구분별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","계","계","기관수[개]","개","15704","16543","18002","19398","20377","21290","24953","25384","26547","27484",
"합계","계","계","정원[명]","명","167915","184050","201443","223573","243235","265748","315397","351333","383150","413432",
"합계","계","재가","기관수[개]","개","11056","11672","12917","14211","15073","15970","19410","19621","20559","21334",
"합계","계","재가","정원[명]","명","27896","33434","42075","55217","68692","85320","123698","146136","162900","178988",
"합계","계","방문요양","기관수[개]","개","8620","9073","10077","11072","11662","12335","15305","15412","16214","16850",
"합계","계","방문목욕","기관수[개]","개","7146","7479","8253","8957","9357","9665","11121","11086","11506","11789",
"합계","계","방문간호","기관수[개]","개","597","586","574","598","650","682","795","774","801","828",
"합계","계","주야간보호","기관수[개]","개","1427","1688","2018","2410","2795","3211","4179","4587","4832","5090",
"합계","계","주야간보호","정원[명]","명","24286","30512","39270","52666","66607","83674","122252","144822","161678","177842",
"합계","계","단기보호","기관수[개]","개","368","322","299","267","218","179","162","148","137","126",
"합계","계","단기보호","정원[명]","명","3610","2922","2805","2551","2085","1646","1446","1314","1222","1146",
"합계","계","복지용구","기관수[개]","개","1574","1599","1700","1823","1892","1920","1975","1941","1954","1977",
"합계","계","통합재가서비스","기관수[개]","개","","","","","","","","","11","31",
"합계","계","시설","기관수[개]","개","4648","4871","5085","5187","5304","5320","5543","5763","5988","6150",
"합계","계","시설","정원[명]","명","140019","150616","159368","168356","174543","180428","191699","205197","220250","234444",
"합계","계","노인요양시설","기관수[개]","개","2494","2714","2935","3137","3289","3389","3604","3850","4132","4373",
"합계","계","노인요양시설","정원[명]","명","121286","131958","140788","150395","156862","163484","174634","188302","203852","218737",
"합계","계","노인전문요양시설","기관수[개]","개","2","","","","","","","","","",
"합계","계","노인전문요양시설","정원[명]","명","38","","","","","","","","","",
"합계","계","노인요양시설(구법)","기관수[개]","개","1","","","","","","","","","",
"합계","계","노인요양시설(구법)","정원[명]","명","25","","","","","","","","","",
"합계","계","노인요양공동생활가정","기관수[개]","개","2150","2157","2150","2050","2015","1931","1939","1913","1856","1777",
"합계","계","노인요양공동생활가정","정원[명]","명","18670","18658","18580","17961","17681","16944","17065","16895","16398","15707",
