"시도별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"시도별(1)","성별(1)",계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타
"합계","계",40462,8115,2984,223,27241,889,112,898,42096,8903,3141,261,27631,759,116,1285,43676,9644,3318,281,28022,665,125,1621,45389,10357,3516,369,28598,598,136,1815,47567,11151,3791,455,29165,547,134,2324,49751,9211,3744,548,29638,503,139,5968,53383,11048,4193,733,30978,453,146,5832,55162,12170,4389,847,31293,396,153,5914,56316,13182,4534,971,30792,344,150,6343,56553,13597,4486,1076,29982,297,158,6957
"합계","남자",23490,4365,1301,87,16719,499,49,470,24367,4795,1310,108,16989,430,51,684,25323,5159,1424,117,17323,378,59,863,26446,5587,1524,158,17802,347,64,964,27744,6066,1653,183,18206,323,59,1254,29139,5164,1648,229,18644,304,62,3088,31398,6208,1911,333,19598,275,71,3002,32540,6847,2015,395,19872,236,75,3100,33262,7361,2121,437,19695,206,75,3367,33492,7585,2102,492,19287,182,78,3766
"합계","여자",16972,3750,1683,136,10522,390,63,428,17729,4108,1831,153,10642,329,65,601,18353,4485,1894,164,10699,287,66,758,18943,4770,1992,211,10796,251,72,851,19823,5085,2138,272,10959,224,75,1070,20612,4047,2096,319,10994,199,77,2880,21985,4840,2282,400,11380,178,75,2830,22622,5323,2374,452,11421,160,78,2814,23054,5821,2413,534,11097,138,75,2976,23061,6012,2384,584,10695,115,80,3191
"서울특별시","계",6894,1406,532,47,4576,162,23,148,7195,1544,548,61,4654,130,24,234,7360,1678,571,68,4601,110,25,307,7474,1705,583,80,4642,101,25,338,7678,1790,630,85,4606,87,21,459,7826,1397,615,97,4574,80,17,1046,8182,1563,685,134,4680,68,17,1035,8292,1693,690,155,4629,59,20,1046,8381,1783,714,163,4469,51,23,1178,8327,1780,670,158,4311,46,27,1335
"서울특별시","남자",4125,752,250,19,2899,105,11,89,4233,816,232,26,2938,83,9,129,4314,878,246,29,2912,71,10,168,4427,904,254,33,2971,68,10,187,4522,966,255,33,2952,58,9,249,4636,762,260,38,2964,53,8,551,4820,863,286,55,3026,45,7,538,4876,935,287,70,2992,36,10,546,4948,979,307,68,2928,31,12,623,4907,967,306,69,2812,29,14,710
"서울특별시","여자",2769,654,282,28,1677,57,12,59,2962,728,316,35,1716,47,15,105,3046,800,325,39,1689,39,15,139,3047,801,329,47,1671,33,15,151,3156,824,375,52,1654,29,12,210,3190,635,355,59,1610,27,9,495,3362,700,399,79,1654,23,10,497,3416,758,403,85,1637,23,10,500,3433,804,407,95,1541,20,11,555,3420,813,364,89,1499,17,13,625
"부산광역시","계",3109,501,232,16,2189,62,11,98,3149,567,233,18,2125,57,11,138,3208,605,253,19,2084,46,9,192,3284,631,258,26,2123,45,9,192,3445,685,287,33,2145,42,11,242,3574,585,276,32,2168,42,11,460,3808,709,320,43,2219,41,11,465,3897,769,342,47,2214,37,10,478,3868,797,332,52,2142,29,7,509,3847,817,312,61,2048,23,10,576
"부산광역시","남자",1788,262,92,6,1339,38,2,49,1790,284,87,6,1303,33,3,74,1802,299,94,6,1271,27,4,101,1850,316,106,9,1290,26,4,99,1939,345,121,12,1298,25,5,133,2006,299,116,11,1327,24,5,224,2148,375,132,18,1367,23,5,228,2232,411,142,24,1385,21,6,243,2245,430,142,26,1353,18,5,271,2208,425,131,30,1293,15,7,307
"부산광역시","여자",1321,239,140,10,850,24,9,49,1359,283,146,12,822,24,8,64,1406,306,159,13,813,19,5,91,1434,315,152,17,833,19,5,93,1506,340,166,21,847,17,6,109,1568,286,160,21,841,18,6,236,1660,334,188,25,852,18,6,237,1665,358,200,23,829,16,4,235,1623,367,190,26,789,11,2,238,1639,392,181,31,755,8,3,269
"대구광역시","계",2071,381,145,14,1414,80,8,29,2165,422,165,16,1457,66,7,32,2185,448,167,18,1443,58,7,44,2288,494,180,19,1472,50,9,64,2366,537,173,24,1478,48,9,97,2454,440,160,31,1478,41,9,295,2614,532,200,34,1522,39,5,282,2680,573,205,35,1542,31,6,288,2711,607,224,38,1521,27,8,286,2737,614,216,40,1490,27,6,344
"대구광역시","남자",1245,236,66,3,870,50,5,15,1291,257,74,7,893,37,5,18,1290,258,76,10,889,32,5,20,1363,283,85,13,921,28,5,28,1411,307,79,12,938,28,4,43,1460,253,67,17,938,25,4,156,1559,303,91,19,974,25,3,144,1611,327,102,19,978,21,4,160,1616,329,114,21,972,18,5,157,1621,328,102,21,956,18,3,193
"대구광역시","여자",826,145,79,11,544,30,3,14,874,165,91,9,564,29,2,14,895,190,91,8,554,26,2,24,925,211,95,6,551,22,4,36,955,230,94,12,540,20,5,54,994,187,93,14,540,16,5,139,1055,229,109,15,548,14,2,138,1069,246,103,16,564,10,2,128,1095,278,110,17,549,9,3,129,1116,286,114,19,534,9,3,151
"인천광역시","계",2525,500,161,5,1669,136,11,43,2662,517,185,9,1755,117,11,68,2859,582,208,17,1860,94,13,85,3001,630,208,21,1945,78,15,104,3174,689,216,24,2023,77,14,131,3299,558,209,28,2065,67,16,356,3570,682,249,39,2176,58,15,351,3736,740,284,50,2243,54,15,350,3859,824,301,69,2243,49,14,359,3939,875,301,88,2221,44,12,398
