"시·군·구별","연령별","등급별","성별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","합계","계","계","급여이용수급자[명]","명","399591","433779","475382","520043","578867","648792","732181","807067","899113","999451",
"합계","합계","계","계","급여제공기관[개]","개","15315","16001","16937","18373","19361","20139","22103","23574","24858","26266",
"합계","합계","계","계","급여제공일수[일]","일","85851626","92230169","100847166","109971992","122924601","135930530","154337049","173327116","192243301","215782169",
"합계","합계","계","계","급여비용[천원]","천원","3523434481","3984856108","4522613197","5005162125","5759993829","7067041243","8565317455","9824758566","11114605137","12574181026",
"합계","합계","계","계","공단부담금[천원]","천원","3082993241","3498139433","3981617681","4417672705","5093694005","6299189004","7736306333","8882675047","10095748016","11444191434",
"합계","합계","계","남자","급여이용수급자[명]","명","114510","122083","132862","144022","159803","180028","204767","225775","254233","286278",
"합계","합계","계","남자","급여제공기관[개]","개","13780","14337","15154","16506","17503","18354","20071","21579","23015","24501",
"합계","합계","계","남자","급여제공일수[일]","일","22488531","23681623","25627559","27714394","30880913","34365671","39517818","44896364","50500961","57426439",
"합계","합계","계","남자","급여비용[천원]","천원","886159048","980119633","1101639545","1208416212","1389083141","1714536267","2101045808","2430931577","2780881314","3165354121",
"합계","합계","계","남자","공단부담금[천원]","천원","774341468","859699338","969649398","1067008329","1229491786","1529371170","1898327729","2199721420","2527864400","2881931648",
"합계","합계","계","여자","급여이용수급자[명]","명","285081","311696","342520","376021","419064","468764","527414","581292","644880","713173",
"합계","합계","계","여자","급여제공기관[개]","개","15184","15887","16791","18241","19193","19996","21898","23382","24699","26108",
"합계","합계","계","여자","급여제공일수[일]","일","63363095","68548546","75219607","82257598","92043688","101564859","114819231","128430752","141742340","158355730",
"합계","합계","계","여자","급여비용[천원]","천원","2637275434","3004736476","3420973652","3796745913","4370910688","5352504976","6464271647","7393826989","8333723824","9408826905",
"합계","합계","계","여자","공단부담금[천원]","천원","2308651773","2638440095","3011968284","3350664376","3864202219","4769817834","5837978604","6682953627","7567883615","8562259786",
"합계","합계","1등급","계","급여이용수급자[명]","명","45710","43973","43296","44630","46508","47067","45819","42570","46220","52854",
"합계","합계","1등급","계","급여제공기관[개]","개","11363","11409","11469","11999","12406","12747","13065","13415","14704","16177",
"합계","합계","1등급","계","급여제공일수[일]","일","8813439","8503417","8168910","8272381","8494766","8430448","8417573","8051424","8737863","9833517",
"합계","합계","1등급","계","급여비용[천원]","천원","418986590","426281553","427160636","443043857","474407580","521322986","562032219","554972540","618006405","714826098",
"합계","합계","1등급","계","공단부담금[천원]","천원","364391208","371901570","373687436","387999316","415560194","459938623","503096661","496970164","556643205","646115556",
"합계","합계","1등급","남자","급여이용수급자[명]","명","13833","13094","12696","12977","13441","13449","13227","12328","12820","14237",
"합계","합계","1등급","남자","급여제공기관[개]","개","7343","7135","7054","7209","7457","7568","7734","7649","8278","9223",
"합계","합계","1등급","남자","급여제공일수[일]","일","2281964","2141579","2002074","1995297","2004402","1955410","1951318","1911536","2037881","2240068",
"합계","합계","1등급","남자","급여비용[천원]","천원","101518333","99901312","97105478","98987128","103446002","111909962","120512697","121187866","131971969","149346782",
"합계","합계","1등급","남자","공단부담금[천원]","천원","88372675","87334256","85211235","87092621","91214866","99360826","108318960","108944173","119269582","135362842",
"합계","합계","1등급","여자","급여이용수급자[명]","명","31877","30879","30600","31653","33067","33618","32592","30242","33400","38617",
"합계","합계","1등급","여자","급여제공기관[개]","개","10132","10081","10070","10493","10817","11178","11345","11579","12906","14320",
"합계","합계","1등급","여자","급여제공일수[일]","일","6531475","6361838","6166836","6277084","6490364","6475038","6466255","6139888","6699982","7593449",
"합계","합계","1등급","여자","급여비용[천원]","천원","317468258","326380241","330055158","344056730","370961578","409413024","441519522","433784674","486034436","565479316",
"합계","합계","1등급","여자","공단부담금[천원]","천원","276018533","284567314","288476200","300906695","324345328","360577798","394777701","388025991","437373623","510752715",
"합계","합계","2등급","계","급여이용수급자[명]","명","92491","90799","87992","90448","94568","98849","99168","95070","101435","111773",
"합계","합계","2등급","계","급여제공기관[개]","개","13723","14085","14471","15390","16152","16841","17696","18528","20074","21563",
"합계","합계","2등급","계","급여제공일수[일]","일","18508925","18255450","17687892","17776523","18451130","19048133","19757263","19733867","20822361","22553000",
"합계","합계","2등급","계","급여비용[천원]","천원","828396593","862063413","870892259","894685977","965881081.8","1104261974","1234165137","1275090084","1380278778","1531159231",
"합계","합계","2등급","계","공단부담금[천원]","천원","716381531","748479022","758654080","781159714","844415775.2","973159936","1104424530","1141116478","1242329807","1384531122",
"합계","합계","2등급","남자","급여이용수급자[명]","명","26051","25163","24222","24582","25652","26682","27057","25622","26864","29716",
"합계","합계","2등급","남자","급여제공기관[개]","개","10078","10054","10200","10651","11113","11597","12070","12316","13319","14536",
"합계","합계","2등급","남자","급여제공일수[일]","일","4552234","4395984","4217808","4171567","4306187","4388584","4524518","4497550","4772699","5148016",
"합계","합계","2등급","남자","급여비용[천원]","천원","195996387","198882422","198299371","199967993","215194105.4","242479706","268694526","275197745","298417813","328688639",
"합계","합계","2등급","남자","공단부담금[천원]","천원","169253579","172476652","172686521","174665146","188239228.2","213825420","240488076","246504634","268808495","297296004",
"합계","합계","2등급","여자","급여이용수급자[명]","명","66440","65636","63770","65866","68916","72167","72111","69448","74571","82057",
"합계","합계","2등급","여자","급여제공기관[개]","개","12964","13307","13548","14354","15013","15697","16464","17093","18657","20150",
"합계","합계","2등급","여자","급여제공일수[일]","일","13956691","13859466","13470084","13604956","14144943","14659549","15232745","15236317","16049662","17404984",
"합계","합계","2등급","여자","급여비용[천원]","천원","632400206","663180991","672592889","694717984","750686976.4","861782268","965470611","999892338","1081860965","1202470592",
"합계","합계","2등급","여자","공단부담금[천원]","천원","547127952","576002370","585967559","606494568","656176546.9","759334516","863936454","894611844","973521312","1087235118",
"합계","합계","3등급","계","급여이용수급자[명]","명","294007","303573","208852","219263","227970","240057","248648","253544","278321","313009",
"합계","합계","3등급","계","급여제공기관[개]","개","15214","15805","16448","17802","18702","19476","21095","22579","23956","25392",
"합계","합계","3등급","계","급여제공일수[일]","일","58529262","53733717","41167755","42815021","45612729","47951272","51702430","54372929","58226665","65033232",
"합계","합계","3등급","계","급여비용[천원]","천원","2276051299","2206436739","1796710565","1906211089","2091096025","2447019822","2829024754","3063017843","3354379603","3780148734",
"합계","합계","3등급","계","공단부담금[천원]","천원","2002220502","1942921520","1580178983","1678865359","1843739880","2173716085","2546657963","2757721302","3034799142","3428771486",
"합계","합계","3등급","남자","급여이용수급자[명]","명","83467","84994","60500","62995","65390","69336","72648","73813","80366","90851",
"합계","합계","3등급","남자","급여제공기관[개]","개","13248","13579","13553","14694","15523","16275","17615","18632","20036","21586",
"합계","합계","3등급","남자","급여제공일수[일]","일","15654333","14159522","10928993","11308605","12014855","12692913","13771378","14528346","15609296","17466646",
"합계","합계","3등급","남자","급여비용[천원]","천원","588644328","560068148","457253553","481327325","527111650.9","619978934","719496368","777121695","851565966","955110990",
"합계","합계","3등급","남자","공단부담금[천원]","천원","516715214","492497205","401975003","423958160","465035038.4","551004375","647739456","700110538","770670264","866134905",
"합계","합계","3등급","여자","급여이용수급자[명]","명","210540","218579","148352","156268","162580","170721","176000","179731","197955","222158",
"합계","합계","3등급","여자","급여제공기관[개]","개","15042","15634","16146","17471","18303","19123","20619","22026","23455","24925",
"합계","합계","3등급","여자","급여제공일수[일]","일","42874929","39574195","30238762","31506416","33597874","35258359","37931052","39844583","42617369","47566586",
"합계","합계","3등급","여자","급여비용[천원]","천원","1687406970","1646368591","1339457012","1424883764","1563984374","1827040887","2109528386","2285896148","2502813637","2825037743",
"합계","합계","3등급","여자","공단부담금[천원]","천원","1485505288","1450424316","1178203980","1254907199","1378704841","1622711710","1898918507","2057610764","2264128878","2562636581",
"합계","합계","4등급","계","급여이용수급자[명]","명","","126730","179078","212173","244124","285180","333599","382061","439602","498325",
"합계","합계","4등급","계","급여제공기관[개]","개","","13750","16201","17758","18783","19641","21551","23097","24458","25878",
"합계","합계","4등급","계","급여제공일수[일]","일","","11507423","32046748","37949877","45046359","52671164","63535517","76481427","86790961","98002056",
"합계","합계","4등급","계","급여비용[천원]","천원","","480116921","1350687252","1619270797","1978204502","2587951293","3337014951","4115654107","4760560845","5421425744",
"합계","합계","4등급","계","공단부담금[천원]","천원","","425945009","1200026208","1442118732","1764820452","2324499714","3030540503","3739292678","4341809718","4952039384",
"합계","합계","4등급","남자","급여이용수급자[명]","명","","32808","47140","55747","64366","76407","91124","105235","122496","141540",
"합계","합계","4등급","남자","급여제공기관[개]","개","","10381","12916","14398","15479","16494","18290","19849","21396","22984",
"합계","합계","4등급","남자","급여제공일수[일]","일","","2936616","8088939","9538919","11343551","13480555","16618417","20267182","23542864","27140199",
"합계","합계","4등급","남자","급여비용[천원]","천원","","119182308","331806543","396483221","486364056","645092235","847707516","1055081370","1244832067","1437643220",
"합계","합계","4등급","남자","공단부담금[천원]","천원","","105534912","294452092","352929534","433846311","579277516","769609058","958830987","1135646252","1313050665",
"합계","합계","4등급","여자","급여이용수급자[명]","명","","93922","131938","156426","179758","208773","242475","276826","317106","356785",
"합계","합계","4등급","여자","급여제공기관[개]","개","","13313","15834","17403","18418","19324","21186","22733","24133","25581",
"합계","합계","4등급","여자","급여제공일수[일]","일","","8570807","23957809","28410958","33702808","39190609","46917100","56214245","63248097","70861857",
"합계","합계","4등급","여자","급여비용[천원]","천원","","360934613","1018880709","1222787576","1491840446","1942859057","2489307435","3060572737","3515728777","3983782524",
"합계","합계","4등급","여자","공단부담금[천원]","천원","","320410097","905574117","1089189197","1330974141","1745222198","2260931446","2780461691","3206163465","3638988719",
"합계","합계","5등급","계","급여이용수급자[명]","명","","4897","15278","25282","39027","53677","72351","90318","109079","124934",
"합계","합계","5등급","계","급여제공기관[개]","개","","2644","5226","6857","9218","11446","13712","15265","17174","19425",
"합계","합계","5등급","계","급여제공일수[일]","일","","230162","1775861","3158190","5319617","7683124","10593813","14238726","17087879","19706390",
"합계","합계","5등급","계","급여비용[천원]","천원","","9957482","77162485","141950405","250404640","398880732","584881072","791202057","968684605","1088913310",
"합계","합계","5등급","계","공단부담금[천원]","천원","","8892312","69070974","127529584","225157704","360985078","534993427","724897236","890211086","998219310",
"합계","합계","5등급","남자","급여이용수급자[명]","명","","1067","3581","5994","9504","13454","18679","23526","29050","34545",
"합계","합계","5등급","남자","급여제공기관[개]","개","","996","2621","3695","5526","7316","9391","10898","12529","14324",
"합계","합계","5등급","남자","급여제공일수[일]","일","","47922","389745","700006","1211918","1813290","2573521","3580728","4385528","5260899",
"합계","합계","5등급","남자","급여비용[천원]","천원","","2085443","17174602","31650545","56967327","93258469","140262091","196216983","245487578","284722455",
"합계","합계","5등급","남자","공단부담금[천원]","천원","","1856314","15324547","28362867","51156342","84252820","128176260","179714638","225557176","261041481",
"합계","합계","5등급","여자","급여이용수급자[명]","명","","3830","11697","19288","29523","40223","53672","66792","80029","90389",
"합계","합계","5등급","여자","급여제공기관[개]","개","","2315","4745","6296","8559","10710","12844","14380","16181","18231",
"합계","합계","5등급","여자","급여제공일수[일]","일","","182240","1386116","2458184","4107699","5869834","8020292","10657998","12702351","14445491",
"합계","합계","5등급","여자","급여비용[천원]","천원","","7872039","59987884","110299860","193437313","305622264","444618981","594985074","723197028","804190854",
"합계","합계","5등급","여자","공단부담금[천원]","천원","","7035998","53746428","99166717","174001362","276732258","406817166","545182598","664653910","737177829",
"합계","합계","인지지원등급","계","급여이용수급자[명]","명","","","","","","4191","7952","10054","12509","13351",
"합계","합계","인지지원등급","계","급여제공기관[개]","개","","","","","","2212","3296","4031","4497","4865",
"합계","합계","인지지원등급","계","급여제공일수[일]","일","","","","","","146389","330453","448743","577572","653974",
"합계","합계","인지지원등급","계","급여비용[천원]","천원","","","","","","7604437","18199322","24821935","32694902","37707910",
"합계","합계","인지지원등급","계","공단부담금[천원]","천원","","","","","","6889568","16593249","22677189","29955059","34514576",
"합계","합계","인지지원등급","남자","급여이용수급자[명]","명","","","","","","1049","2044","2591","3367","3619",
"합계","합계","인지지원등급","남자","급여제공기관[개]","개","","","","","","911","1617","2011","2411","2593",
"합계","합계","인지지원등급","남자","급여제공일수[일]","일","","","","","","34919","78666","111022","152693","170611",
"합계","합계","인지지원등급","남자","급여비용[천원]","천원","","","","","","1816962","4372610","6125917","8605921","9842035",
"합계","합계","인지지원등급","남자","공단부담금[천원]","천원","","","","","","1650214","3995919","5616450","7912632","9045751",
"합계","합계","인지지원등급","여자","급여이용수급자[명]","명","","","","","","3142","5908","7463","9142","9732",
"합계","합계","인지지원등급","여자","급여제공기관[개]","개","","","","","","1977","2937","3628","4056","4394",
"합계","합계","인지지원등급","여자","급여제공일수[일]","일","","","","","","111470","251787","337721","424879","483363",
"합계","합계","인지지원등급","여자","급여비용[천원]","천원","","","","","","5787475","13826712","18696018","24088980","27865875",
"합계","합계","인지지원등급","여자","공단부담금[천원]","천원","","","","","","5239355","12597329","17060739","22042426","25468825",
"합계","65세미만","계","계","급여이용수급자[명]","명","23211","20785","21116","24675","25653","26154","28946","29172","29435","30320",
"합계","65세미만","계","계","급여제공기관[개]","개","10018","9924","10223","11569","12102","12590","13926","14332","15076","16053",
"합계","65세미만","계","계","급여제공일수[일]","일","5048663","4421012","4500079","5286709","5506547","5591803","6319787","6531291","6544704","6829582",
"합계","65세미만","계","계","급여비용[천원]","천원","197904489","183758404","195015805","232115602","250088141","283177873","342261663","365089587","373978536","394594392",
"합계","65세미만","계","계","공단부담금[천원]","천원","178785690","167341938","178563857","212961422","230326776","263119674","321705461","343748117","353619658","373767733",
"합계","65세미만","계","남자","급여이용수급자[명]","명","13431","11988","12169","14156","14761","15032","16770","17061","17200","17782",
"합계","65세미만","계","남자","급여제공기관[개]","개","7752","7521","7704","8762","9171","9597","10677","10989","11505","12102",
"합계","65세미만","계","남자","급여제공일수[일]","일","2905963","2530319","2588202","3019897","3136376","3196399","3644052","3803771","3832217","4011766",
"합계","65세미만","계","남자","급여비용[천원]","천원","109247266","101285593","108132340","127960877","138031288","156982260","191461726","206389649","212797689","224465625",
"합계","65세미만","계","남자","공단부담금[천원]","천원","99328278","93074162","99939290","118544147","128423582","147235458","181493280","196041948","202877975","214403293",
"합계","65세미만","계","여자","급여이용수급자[명]","명","9780","8797","8947","10519","10892","11122","12176","12111","12235","12538",
"합계","65세미만","계","여자","급여제공기관[개]","개","7086","6849","7032","8137","8453","8713","9579","9546","10005","10550",
"합계","65세미만","계","여자","급여제공일수[일]","일","2142700","1890693","1911877","2266812","2370171","2395404","2675735","2727520","2712487","2817816",
"합계","65세미만","계","여자","급여비용[천원]","천원","88657223","82472811","86883465","104154724","112056853","126195613","150799937","158699939","161180847","170128767",
"합계","65세미만","계","여자","공단부담금[천원]","천원","79457412","74267776","78624567","94417275","101903195","115884216","140212180","147706169","150741684","159364440",
"합계","65세미만","1등급","계","급여이용수급자[명]","명","4582","3846","3651","4173","4094","3903","3755","3620","3548","3601",
"합계","65세미만","1등급","계","급여제공기관[개]","개","4023","3582","3329","3710","3715","3596","3580","3488","3531","3706",
"합계","65세미만","1등급","계","급여제공일수[일]","일","919857","758370","699538","816884","779027","746758","729725","726700","719410","730594",
"합계","65세미만","1등급","계","급여비용[천원]","천원","41117507","36119597","34860083","41098653","41202202","43438731","46137177","47591698","48507978","50807982",
"합계","65세미만","1등급","계","공단부담금[천원]","천원","36800906","32603844","31653369","37250138","37451057","39858545","42913463","44224144","45282463","47426481",
"합계","65세미만","1등급","남자","급여이용수급자[명]","명","2620","2170","2063","2303","2257","2115","1984","1903","1869","1815",
"합계","65세미만","1등급","남자","급여제공기관[개]","개","2679","2336","2137","2343","2338","2230","2187","2099","2116","2126",
"합계","65세미만","1등급","남자","급여제공일수[일]","일","495166","403284","372777","427910","403214","381873","365199","359371","355287","351825",
"합계","65세미만","1등급","남자","급여비용[천원]","천원","21097825","18393455","17751911","20527524","20364064","21177659","21909210","22302218","22847714","23218115",
"합계","65세미만","1등급","남자","공단부담금[천원]","천원","19035279","16764398","16307314","18854299","18815718","19705666","20642152","20961923","21545707","21866266",
