"연령별(1)","성별(1)","항목",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)","성별(1)","항목",계,계,계,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,기초,기초,기초
"연령별(1)","성별(1)","항목",계,방문요양,방문목욕,방문간호,주야간보호,단기보호,복지용구,노인요양시설,노인요양공동생활가정,통합재가서비스,계,방문요양,방문목욕,방문간호,주야간보호,단기보호,복지용구,노인요양시설,노인요양공동생활가정,통합재가서비스,계,방문요양,방문목욕,방문간호,주야간보호,단기보호,복지용구,노인요양시설,노인요양공동생활가정,통합재가서비스,계,방문요양,방문목욕,방문간호,주야간보호,단기보호,복지용구,노인요양시설,노인요양공동생활가정,통합재가서비스,계,방문요양,방문목욕,방문간호,주야간보호,단기보호,복지용구,노인요양시설,노인요양공동생활가정,통합재가서비스
"계","계","급여이용수급자 (명)",999451,598641,115687,19928,183056,2061,498759,234280,20753,887,515325,311284,52325,9908,104421,979,245936,101428,8069,541,425801,240773,53477,7945,79371,906,190647,112731,10394,383,10963,6969,1625,243,1859,19,5685,2285,189,0,160375,100993,18761,3352,16965,256,86605,42994,4274,0
"계","계","급여제공기관 (개)",26266,14959,4302,588,5213,86,1633,4533,1943,32,25869,14582,3611,566,5188,81,1616,4518,1904,31,25685,14359,3448,547,5171,83,1597,4522,1925,31,9516,5123,963,170,1603,15,1052,1631,187,0,23773,12958,2368,470,4640,62,1519,4432,1687,0
"계","계","급여제공일수 (일)",215782169,111198522,2829014,726037,32307570,125927,0,63519901,4985861,89337,92763379,50189772,1105039,331322,16397026,57437,0,23041390,1589808,51585,84337299,40119178,1223866,274047,12711998,54731,0,27632082,2283645,37752,2286196,1272553,39247,8083,323756,980,0,599872,41705,0,36395295,19617019,460862,112585,2874790,12779,0,12246557,1070703,0
"계","계","급여비용 (천원)",12574181026,5253922344,208506728,38128557,1949741666,7341612,294075718,4472759761,343615834,6088807,5297075233,2349775226,81086288,17610210,984581999,3332648,126038022,1621618557,109550890,3481393,4928344568,1837509816,90819341,14339082,771868962,3205390,103497170,1946983066,157514328,2607414,131502290,60135697,2872649,415997,19460964,63848,3402210,42255885,2895040,0,2217258936,1006501604,33728450,5763267,173829742,739727,61138317,861902252,73655576,0
"계","계","공단부담금 (천원)",11444191434,4809494852,190476437,34625765,1783102311,6738762,267724470,4032920217,313610772,5497849,4519514141,2026530417,69309580,15099119,863539793,2921381,107135743,1340375351,91561567,3041191,4583695365,1719635470,84732810,13371246,727229003,3016814,96252198,1791312927,145688240,2456658,123722993,56827361,2705597,392133,18503772,60841,3198213,39329688,2705389,0,2217258936,1006501604,33728450,5763267,173829742,739727,61138317,861902252,73655576,0
"계","남자","급여이용수급자 (명)",286278,175861,37006,6680,49285,481,145554,58172,3737,231,154327,94982,18529,3606,29527,240,75837,25963,1439,147,111908,66328,15702,2453,19583,205,51515,25121,1630,92,2665,1816,459,52,361,3,1452,467,20,0,47079,29949,5491,1034,4501,56,24953,12152,990,0
"계","남자","급여제공기관 (개)",24501,14069,3365,544,5003,69,1596,4318,1289,29,22980,13270,2822,501,4779,62,1556,4072,869,26,22423,12619,2590,455,4592,58,1531,4138,958,25,3444,1878,404,50,386,2,645,414,22,0,17813,10113,1618,348,2794,27,1385,3522,671,0
"계","남자","급여제공일수 (일)",57426439,33287206,890323,249990,8087607,27450,0,14063508,797585,22770,26221838,15889001,392814,124514,4370870,13808,0,5165994,250003,14834,20476914,11355935,354697,86677,2941923,10871,0,5411392,307483,7936,515873,331315,10734,1721,57520,51,0,110722,3810,0,10211814,5710955,132078,37078,717294,2720,0,3375400,236289,0
"계","남자","급여비용 (천원)",3165354121,1480815739,64414628,13199243,486700387,1587097,85471406,977264800,54351011,1549808,1403253296,690666955,28254299,6657157,261814199,785798,39025525,358056385,16998872,994105,1115610580,481089351,25722624,4551160,178233535,640525,27805581,376065162,20946938,555703,28244896,15033893,776621,91016,3445234,3884,871613,7769955,252680,0,618245348,294025541,9661083,1899910,43207420,156890,17768687,235373297,16152521,0
"계","남자","공단부담금 (천원)",2881931648,1353435906,58479624,11936091,443858306,1451790,77583044,883852089,49945641,1389157,1199879540,595553000,24143794,5709692,229641722,688270,33172746,295899422,14203977,866915,1037214103,449650317,23943388,4240631,167732980,602898,25822260,345346340,19353047,522242,26592657,14207048,731359,85857,3276185,3732,819351,7233030,236096,0,618245348,294025541,9661083,1899910,43207420,156890,17768687,235373297,16152521,0
"계","여자","급여이용수급자 (명)",713173,422780,78681,13248,133771,1580,353205,176108,17016,656,360998,216302,33796,6302,74894,739,170099,75465,6630,394,313893,174445,37775,5492,59788,701,139132,87610,8764,291,8298,5153,1166,191,1498,16,4233,1818,169,0,113296,71044,13270,2318,12464,200,61652,30842,3284,0
"계","여자","급여제공기관 (개)",26108,14800,3815,574,5203,84,1625,4531,1938,31,25563,14324,3099,541,5161,77,1603,4503,1859,31,25405,14102,3012,530,5136,82,1584,4519,1904,29,8145,4265,816,143,1377,14,964,1388,169,0,22902,12437,2170,446,4362,60,1496,4379,1572,0
"계","여자","급여제공일수 (일)",158355730,77911316,1938691,476047,24219963,98477,0,49456393,4188276,66567,66541541,34300771,712225,206808,12026156,43629,0,17875396,1339805,36751,63860385,28763243,869169,187370,9770075,43860,0,22220690,1976162,29816,1770323,941238,28513,6362,266236,929,0,489150,37895,0,26183481,13906064,328784,75507,2157496,10059,0,8871157,834414,0
"계","여자","급여비용 (천원)",9408826905,3773106604,144092100,24929313,1463041279,5754516,208604312,3495494960,289264823,4538998,3893821936,1659108272,52831989,10953053,722767800,2546849,87012497,1263562172,92552018,2487288,3812733988,1356420466,65096717,9787922,593635427,2564865,75691588,1570917903,136567390,2051711,103257394,45101804,2096028,324981,16015729,59964,2530597,34485930,2642360,0,1599013587,712476063,24067367,3863357,130622322,582838,43369630,626528955,57503056,0
"계","여자","공단부담금 (천원)",8562259786,3456058946,131996813,22689674,1339244005,5286972,190141426,3149068129,263665131,4108692,3319634602,1430977417,45165786,9389427,633898071,2233110,73962996,1044475929,77357589,2174276,3546481262,1269985154,60789421,9130614,559496024,2413916,70429938,1445966587,126335193,1934416,97130336,42620313,1974239,306275,15227588,57108,2378862,32096658,2469293,0,1599013587,712476063,24067367,3863357,130622322,582838,43369630,626528955,57503056,0
"65세미만","계","급여이용수급자 (명)",30320,18581,2338,663,3557,54,15312,7159,667,6,9482,6304,496,225,1358,12,4505,1517,124,3,10685,6717,781,233,1509,20,5111,2115,189,3,69,38,5,1,10,1,39,17,2,0,13324,7503,1204,260,1057,23,6598,4139,408,0
"65세미만","계","급여제공기관 (개)",16053,8935,1400,305,2526,35,1380,3136,576,6,8333,4820,461,166,1248,11,999,1244,126,3,9146,4992,678,161,1373,18,1072,1644,193,3,124,49,5,1,10,1,39,21,3,0,10093,5355,845,169,985,18,1118,2307,371,0
"65세미만","계","급여제공일수 (일)",6829582,3816192,68118,30398,618288,2890,0,2122714,170082,900,1635070,1065119,12851,9660,193432,703,0,331619,21431,255,2039325,1208901,22241,9944,236432,1243,0,523527,36392,645,14026,7030,168,1,1297,27,0,5244,259,0,3141161,1535142,32858,10793,187127,917,0,1262324,112000,0
"65세미만","계","급여비용 (천원)",394594392,177517998,4564986,1636795,37847196,168021,10051088,151011529,11732753,64025,88164585,47273560,797523,533458,11843408,44979,2290081,23850091,1516469,15016,110826361,51495471,1465968,536027,14518059,67252,2875213,37387172,2432190,49009,803788,288714,11989,57,80391,2020,23024,381142,16451,0,194799657,78460254,2289505,567254,11405337,53769,4862770,89393125,7767642,0
"65세미만","계","공단부담금 (천원)",373767733,167628605,4350307,1522356,35520890,158454,9500482,143744950,11283035,58655,75268538,40783973,682671,457048,10383320,39607,1946634,19697332,1264919,13034,102945316,48111497,1366859,498000,13655749,63137,2669434,34299971,2235048,45621,754221,272881,11271,54,76483,1941,21643,354522,15426,0,194799657,78460254,2289505,567254,11405337,53769,4862770,89393125,7767642,0
"65세미만","남자","급여이용수급자 (명)",17782,10806,1523,376,1867,36,8916,4395,358,0,4753,3169,291,122,628,6,2217,755,58,0,6035,3816,490,127,778,16,2852,1219,93,0,44,25,2,0,4,1,25,9,1,0,8714,4903,828,159,643,14,4329,2743,232,0
"65세미만","남자","급여제공기관 (개)",12102,6751,1061,223,1582,26,1252,2394,328,0,5002,2830,295,99,634,6,779,697,59,0,6086,3264,454,107,773,15,884,1069,96,0,73,32,2,0,4,1,23,10,2,0,7648,3989,643,115,640,10,1007,1761,225,0
"65세미만","남자","급여제공일수 (일)",4011766,2250762,45952,18333,321590,2015,0,1280961,92153,0,803491,533553,8197,5788,85757,435,0,158227,11534,0,1170345,710275,15249,5538,122915,1111,0,297428,17829,0,8226,4999,31,0,437,27,0,2659,73,0,2029704,1001935,22475,7007,112481,442,0,822647,62717,0
"65세미만","남자","급여비용 (천원)",224465625,98236031,3051091,990788,19654029,114661,5927745,90167961,6323319,0,39514922,20354661,483379,319397,5238849,25611,1111804,11180047,801174,0,59635708,26952178,973249,303739,7547993,60370,1602437,21020639,1175102,0,425946,187873,1406,0,26710,2020,16094,187299,4544,0,124889048,50741319,1593057,367651,6840476,26660,3197410,57779975,4342499,0
"65세미만","남자","공단부담금 (천원)",214403293,93670064,2916510,924072,18569714,107749,5646587,86476238,6092358,0,33697740,17552164,413856,273422,4593798,22356,945065,9230556,666523,0,55416381,25199017,908275,282999,7110013,56791,1488984,19291186,1079115,0,400124,177564,1322,0,25427,1941,15129,174520,4220,0,124889048,50741319,1593057,367651,6840476,26660,3197410,57779975,4342499,0
"65세미만","여자","급여이용수급자 (명)",12538,7775,815,287,1690,18,6396,2764,309,6,4729,3135,205,103,730,6,2288,762,66,3,4650,2901,291,106,731,4,2259,896,96,3,25,13,3,1,6,0,14,8,1,0,4610,2600,376,101,414,9,2269,1396,176,0
"65세미만","여자","급여제공기관 (개)",10550,5801,686,189,1501,16,1129,1960,302,6,5183,2921,208,94,742,6,749,719,67,3,5201,2731,281,92,748,4,805,830,99,3,51,17,3,1,6,0,16,11,1,0,5136,2568,365,84,425,9,773,1146,174,0
"65세미만","여자","급여제공일수 (일)",2817816,1565430,22166,12065,296698,875,0,841753,77929,900,831579,531566,4654,3872,107675,268,0,173392,9897,255,868980,498626,6992,4406,113517,132,0,226099,18563,645,5800,2031,137,1,860,0,0,2585,186,0,1111457,533207,10383,3786,74646,475,0,439677,49283,0
"65세미만","여자","급여비용 (천원)",170128767,79281967,1513895,646008,18193167,53360,4123343,60843569,5409434,64025,48649663,26918898,314145,214061,6604559,19369,1178277,12670043,715295,15016,51190653,24543293,492719,232287,6970066,6883,1272776,16366533,1257088,49009,377841,100840,10583,57,53680,0,6930,193843,11907,0,69910609,27718935,696448,199602,4564861,27109,1665361,31613150,3425143,0
"65세미만","여자","공단부담금 (천원)",159364440,73958541,1433797,598283,16951176,50705,3853895,57268712,5190677,58655,41570798,23231808,268815,183626,5789522,17251,1001569,10466776,598396,13034,47528935,22912480,458584,215001,6545736,6345,1180450,15008784,1155932,45621,354098,95317,9950,54,51056,0,6514,180002,11205,0,69910609,27718935,696448,199602,4564861,27109,1665361,31613150,3425143,0
