"연령별(1)","성별(1)",2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"연령별(1)","성별(1)",희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환
"연령별(1)","성별(1)",진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"계","계",589455,16438524,163139555,2898693741,2584893773,631417,20089172,175057002,3163867233,2820442640,680712,21861035,188789853,3509785831,3130617824,707926,22862676,195718583,3854154730,3435228078,743082,24355463,210185642,4241001146,3774905410,767969,25415683,223364389,4608370888,4098716878,833219,27003740,245504061,5057752874,4491794783,884261,28520026,265929693,5605294002,4972915144,868801,27862289,265857144,5834215392,5176701490,931621,29106434,287207218,6320328957,5609724175,985843,29481846,301424826,6670619099,5927852099
"0세","계",3171,23651,129579,4552186,4097048,3541,33538,136785,5891843,5305379,4328,43717,169074,7908062,7119279,5045,51361,197589,10318078,9278780,5621,58894,233703,12119181,10887939,4764,42039,175205,8547574,7658280,4415,33708,164180,4614620,4153785,3866,29137,145867,4353868,3903625,2282,14100,92854,1796751,1607445,2355,15555,90053,2071347,1846440,2260,13116,78049,1874184,1674401
"1 - 4세","계",8170,205979,989764,19667956,17672676,9789,275401,1081178,27016311,24343073,11698,330597,1274228,32003015,28803106,13126,379005,1453416,43501415,39007157,15410,440647,1700140,54393330,48768061,16428,427961,1719467,54319176,48776447,16066,333311,1546257,32571840,29388967,15597,331679,1553730,34186357,30769926,10013,168967,1131369,21521380,19254335,8996,172518,1065045,22221120,19898283,8871,165193,1051477,22463089,20139393
"5 - 9세","계",6079,134421,1093807,30389204,27596375,6389,160438,1136257,27374174,24785777,7318,187446,1223681,29912105,27016677,7478,184982,1272624,34149370,30805361,8939,212909,1454766,40735279,36635191,9669,227569,1559733,42764506,38456953,10459,203589,1597517,33699765,30438504,11123,213533,1742497,36084528,32524797,11122,189055,1747838,35589456,32054843,11885,216874,1887886,42432823,38207896,11992,220354,1955880,41438377,37311333
"10 - 14세","계",7018,118795,1360664,42397707,38423707,7246,148400,1450829,47111200,42626788,7775,158883,1512980,48787979,44174760,7409,148100,1452804,47152110,42618422,8136,154123,1569216,51874111,46842174,8552,155936,1664700,55146901,49839206,8834,135332,1660819,44273307,40105309,9395,142975,1768240,47555016,42969413,9590,132764,1858592,47573070,42979844,11228,165112,2156096,50585109,45672518,12235,179256,2334669,55322732,49940389
"15 - 19세","계",12245,183050,2476706,57874837,52156133,12611,223292,2601313,60849261,54869349,13152,228219,2751220,67555834,60968113,13157,228163,2809005,72334029,65270263,13758,232806,2894176,79843122,71957648,13239,226195,2911787,83829377,75504733,13382,217412,2922020,83458176,75097567,13705,222028,2995539,90530014,81441801,13157,202484,2968084,87616465,78642482,14139,222445,3207490,97679558,87557281,15272,232099,3500590,100271172,89887957
"20 - 24세","계",18561,318545,3935864,76418591,68416929,19615,398055,4156426,82154625,73543877,21252,418659,4546425,91547864,81997080,21867,425923,4788114,102243894,91628932,22360,414775,4991750,105877722,94902812,21863,398711,5123095,111106363,99653436,22594,400285,5370469,120538015,107886996,23019,402627,5531729,132344348,118099800,23092,384652,5609105,139217740,124262193,25153,412300,5990904,151250122,134886163,25747,400504,6048731,160753009,143470444
