"가정별","성별","연령별",2021,2022
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","계",51769539,51672569
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","0 - 4세",1618830,1494041
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","5 - 9세",2231797,2142084
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","10 - 14세",2297714,2311839
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","15 - 19세",2345886,2287873
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","20 - 24세",3278327,3105237
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","25 - 29세",3675202,3628784
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","30 - 34세",3306451,3390434
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","35 - 39세",3683026,3482511
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","40 - 44세",3944406,4035019
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","45 - 49세",4213912,4061992
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","50 - 54세",4425748,4489552
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","55 - 59세",4113626,4113957
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","60 - 64세",4064749,4148113
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","65 - 69세",2894911,3063850
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","70 - 74세",2090525,2164766
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","75 - 79세",1567444,1596539
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","80세이상",2016985,2155978
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","80 - 84세",1157812,1238755
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","85 - 89세",605532,646358
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","90 - 94세",203889,218926
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","95 - 99세",43381,45030
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","100세 이상",6371,6909
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","계",25870941,25818686
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","0 - 4세",830797,766227
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","5 - 9세",1143757,1097221
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","10 - 14세",1183139,1189663
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","15 - 19세",1216428,1183580
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","20 - 24세",1711404,1620461
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","25 - 29세",1962374,1933726
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","30 - 34세",1745107,1796779
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","35 - 39세",1907424,1808706
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","40 - 44세",2020470,2067075
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","45 - 49세",2138197,2061862
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","50 - 54세",2221205,2258061
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","55 - 59세",2068337,2068112
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","60 - 64세",1999375,2042614
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","65 - 69세",1394231,1478069
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","70 - 74세",975339,1012668
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","75 - 79세",675869,696606
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80세이상",677488,737256
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80 - 84세",438090,476263
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","85 - 89세",184329,201240
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","90 - 94세",45872,50323
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","95 - 99세",8158,8291
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","100세 이상",1039,1139
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","계",25898598,25853883
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","0 - 4세",788033,727814
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","5 - 9세",1088040,1044863
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","10 - 14세",1114575,1122176
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","15 - 19세",1129458,1104293
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","20 - 24세",1566923,1484776
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","25 - 29세",1712828,1695058
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","30 - 34세",1561344,1593655
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","35 - 39세",1775602,1673805
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","40 - 44세",1923936,1967944
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","45 - 49세",2075715,2000130
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","50 - 54세",2204543,2231491
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","55 - 59세",2045289,2045845
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","60 - 64세",2065374,2105499
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","65 - 69세",1500680,1585781
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","70 - 74세",1115186,1152098
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","75 - 79세",891575,899933
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","80세이상",1339497,1418722
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","80 - 84세",719722,762492
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","85 - 89세",421203,445118
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","90 - 94세",158017,168603
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","95 - 99세",35223,36739
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","100세 이상",5332,5770
