"시점","성별","사망원인별(237항목)",계,0세,1 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90세 이상,연령미상
"시점","성별","사망원인별(237항목)",사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명)
"2021","계","계",317680,626,151,136,237,536,1138,1640,1770,2771,4217,7005,10660,14753,20960,23497,28106,40713,57523,55126,46090,25
"2021","계","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",14978,10,2,4,3,1,7,19,18,64,89,179,323,497,823,1076,1396,2031,2989,3056,2391,0
"2021","계","신생물 (C00-D48)",84363,4,22,38,58,53,108,136,241,544,1086,2076,3500,5592,8681,9998,11061,13290,14230,9550,4092,3
"2021","계","혈액 및 조혈기관의 질환과 면역메커니즘을 침범하는 특정장애  (D50-D89) (명)",848,5,1,1,2,3,3,6,4,4,14,18,24,27,49,62,67,88,151,166,153,0
"2021","계","내분비, 영양 및 대사질환 (E00-E88)",10524,4,5,6,2,6,11,15,34,49,93,174,277,496,698,848,998,1517,2220,1909,1162,0
"2021","계","정신 및 행동장애 (F01-F99)",3501,0,0,1,0,0,3,9,5,32,56,124,173,225,248,170,188,313,541,678,734,1
"2021","계","신경계통의 질환 (G00-G98)",14831,10,20,17,26,38,35,37,32,59,70,115,197,317,533,713,985,1845,3034,3341,3406,1
"2021","계","눈 및 눈부속기의 질환 (H00-H57)",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2021","계","귀 및 유돌의 질환 (H60-H93)",6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0
"2021","계","순환계통 질환 (I00-I99)",62370,10,11,10,17,26,41,85,143,332,537,1050,1564,2163,3183,3718,4923,7945,12580,12971,11054,7
"2021","계","호흡계통의 질환 (J00-J98,U04)",36831,4,7,3,3,3,13,7,22,37,74,150,306,534,1053,1745,2825,5173,8607,8958,7302,5
"2021","계","소화계통의 질환 (K00-K92)",13144,7,3,1,3,2,13,31,73,183,393,723,1080,1271,1314,1094,1023,1359,1780,1610,1181,0
"2021","계","피부 및 피하조직의 질환 (L00-L98)",533,1,0,0,0,0,0,1,1,2,1,11,7,9,23,21,42,62,122,115,115,0
"2021","계","근골격계통 및 결합조직의 질환 (M00-M99)",1377,0,0,1,0,3,2,2,8,11,13,19,35,57,59,100,129,202,252,255,229,0
"2021","계","비뇨생식계통의 질환 (N00-N98)",9779,2,0,0,0,0,3,10,9,19,38,70,127,223,425,536,790,1374,2199,2234,1720,0
"2021","계","임신, 출산 및 산후기 (O00-O99)",24,0,0,0,0,0,1,4,9,6,4,0,0,0,0,0,0,0,0,0,0,0
"2021","계","출생전후기에 기원한 특정 병태 (P00-P96)",309,306,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","계","선천 기형, 변형 및 염색체 이상 (Q00-Q99)",280,96,15,4,6,5,12,10,12,9,6,7,26,9,11,14,10,10,7,8,3,0
"2021","계","달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상소견 (R00-R99)",37833,112,8,8,6,26,63,72,90,183,311,586,981,1111,1500,1493,1741,3253,6410,8579,11293,7
"2021","계","질병이환 및 사망의 외인  (V01-Y89, U12)",26147,55,55,41,111,370,823,1194,1069,1237,1432,1703,2040,2222,2360,1908,1927,2251,2397,1696,1255,1
