"행정구역별(1)","년",월 01,월 01,월 02,월 02,월 03,월 03,월 04,월 04,월 05,월 05,월 06,월 06,월 07,월 07,월 08,월 08,월 09,월 09,월 10,월 10,월 11,월 11,월 12,월 12
"행정구역별(1)","년",출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명),출생아수(명),사망자수(명)
"전국","2021",24894,27223,21306,23787,23925,26559,22703,25071,21922,25567,21504,24381,22364,25732,22282,25918,21905,25662,20749,27750,19829,28366,17179,31664
"서울특별시","2021",4395,4095,3666,3613,4206,3938,3995,3701,3996,3977,3795,3643,3787,3958,3858,3944,3753,3921,3533,4159,3513,4488,3034,5361
"부산광역시","2021",1351,2094,1115,1804,1343,1928,1293,1826,1203,1912,1265,1735,1222,1919,1302,1960,1238,1892,1183,2024,1043,2140,888,2297
"대구광역시","2021",1001,1289,857,1032,942,1245,906,1208,944,1113,880,1093,921,1185,950,1221,893,1203,890,1317,792,1310,685,1344
"인천광역시","2021",1470,1419,1226,1210,1304,1325,1286,1318,1242,1380,1172,1297,1267,1386,1272,1306,1320,1318,1240,1421,1189,1430,959,1683
"광주광역시","2021",734,674,677,602,689,698,664,627,682,615,683,623,710,681,671,652,707,645,604,722,661,709,474,733
"대전광역시","2021",670,643,587,620,721,644,657,631,629,593,638,630,632,617,593,721,626,608,592,666,560,684,509,832
"울산광역시","2021",570,492,504,425,551,444,540,448,527,460,518,443,517,446,527,470,513,434,505,478,451,456,404,497
"세종특별자치시","2021",342,105,293,111,363,117,307,103,269,109,280,93,313,107,290,115,305,99,319,131,263,135,226,129
"경기도","2021",7209,5774,6291,5055,6962,5629,6699,5267,6268,5434,6226,5207,6583,5554,6473,5370,6347,5362,6105,5830,5766,6013,5210,6904
"강원특별자치도","2021",736,1071,585,967,684,1096,588,1048,566,980,593,988,675,1011,649,1043,594,1072,618,1164,587,1111,482,1198
"충청북도","2021",771,1018,661,966,734,1016,731,968,694,1001,684,947,660,924,747,962,649,930,668,1041,631,1048,560,1120
"충청남도","2021",1032,1430,898,1170,1066,1370,952,1260,901,1294,897,1291,974,1320,943,1287,949,1303,815,1456,840,1495,717,1650
"전북특별자치도","2021",737,1314,629,1128,651,1277,675,1278,616,1221,623,1185,651,1152,610,1215,628,1207,588,1355,543,1303,524,1414
"전라남도","2021",884,1564,683,1300,744,1517,699,1421,735,1359,676,1407,749,1365,738,1450,708,1431,632,1582,640,1554,542,1618
"경상북도","2021",1126,1867,1011,1711,1126,1977,1068,1814,992,1866,991,1727,1040,1858,1065,1891,1001,1926,889,1989,961,2024,775,2278
"경상남도","2021",1509,2037,1316,1754,1442,1948,1317,1805,1339,1910,1264,1769,1371,1928,1322,1955,1334,1929,1238,2040,1135,2096,975,2221
"제주특별자치도","2021",357,337,307,319,397,390,326,348,319,343,319,303,292,321,272,356,340,382,330,375,254,370,215,385
