"연령별(1)","성별(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)","성별(1)",계,계,계,계,계,암질환,암질환,암질환,암질환,암질환,뇌혈관,뇌혈관,뇌혈관,뇌혈관,뇌혈관,심장질환,심장질환,심장질환,심장질환,심장질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,중증화상,중증화상,중증화상,중증화상,중증화상,중증외상,중증외상,중증외상,중증외상,중증외상,중증치매,중증치매,중증치매,중증치매,중증치매,결핵,결핵,결핵,결핵,결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵
"연령별(1)","성별(1)",진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"계","계",2569669,67044120,617580504,20955584856,19026420452,1370510,33663687,288731422,11129558422,10186795351,70364,1116768,2131199,982028976,906211712,109832,804185,2463158,1753050175,1618955378,985843,29481846,301424826,6670619099,5927852099,2675,82447,128961,36681533,31692979,4409,66581,103924,89715098,82359421,62677,1027570,15973053,143255398,125859969,28567,577508,4046379,141808388,137867480,33639,223528,2577582,8867768,8826062
"계","남자",1213016,32266545,278510470,11274973918,10269419580,633417,15917584,127206540,5656724418,5198224933,35806,580397,1076238,486283046,448518209,76175,530660,1709207,1193196796,1105186506,473330,14449552,141087258,3717241863,3311792280,1462,45104,68775,21746471,18884830,3365,51235,79853,69201472,63492904,15904,271645,3902236,39131783,34275663,17230,342010,2443988,88233760,85842208,11988,78358,936375,3214308,3202047
"계","여자",1356653,34777575,339070034,9680610939,8757000874,737093,17746103,161524882,5472834004,4988570418,34558,536371,1054961,495745930,457693503,33657,273525,753951,559853378,513768872,512513,15032294,160337568,2953377236,2616059820,1213,37343,60186,14935061,12808149,1044,15346,24071,20513626,18866517,46773,755925,12070817,104123616,91584306,11337,235498,1602391,53574627,52025272,21651,145170,1641207,5653460,5624015
"0세","계",2490,19856,95527,8051096,7457185,40,1344,3212,470368,424704,4,48,108,53396,49989,135,2033,3455,5489149,5149585,2260,13116,78049,1874184,1674401,6,40,43,10121,8623,3,18,27,37190,34503,-,-,-,-,-,1,86,86,87931,86682,108,3171,10547,28757,28699
"0세","남자",1431,10387,50772,3959615,3657134,20,804,1454,364848,327070,4,48,108,53396,49989,61,961,1690,2395754,2244494,1317,6984,41987,1006083,900322,4,18,20,6733,6091,2,17,26,31720,29392,-,-,-,-,-,1,86,86,87931,86682,55,1469,5401,13149,13094
"0세","여자",1059,9469,44755,4091481,3800051,20,540,1758,105520,97634,-,-,-,-,-,74,1072,1765,3093395,2905091,943,6132,36062,868101,774079,2,22,23,3388,2531,1,1,1,5470,5110,-,-,-,-,-,-,-,-,-,-,53,1702,5146,15608,15606
"1 - 4세","계",10569,214455,1234406,44073489,40073728,882,38854,121139,12760638,11694620,9,89,129,84979,77107,273,3842,7498,8175073,7638166,8871,165193,1051477,22463089,20139393,131,1594,2337,384547,325801,6,75,106,92414,86810,-,-,-,-,-,8,134,1301,12764,12129,568,4674,50419,99985,99703
"1 - 4세","남자",5800,115678,651838,25020111,22676661,456,19006,60669,6050999,5534183,5,46,78,58611,53380,137,2030,3875,4032168,3757985,4903,90796,558217,14475349,12977649,89,1203,1832,276901,231953,5,47,78,62741,58920,-,-,-,-,-,5,103,969,10156,9546,298,2447,26120,53187,53045
"1 - 4세","여자",4769,98777,582568,19053378,17397067,426,19848,60470,6709639,6160436,4,43,51,26368,23727,136,1812,3623,4142905,3880181,3968,74397,493260,7987740,7161744,42,391,505,107646,93848,1,28,28,29673,27890,-,-,-,-,-,3,31,332,2608,2582,270,2227,24299,46798,46659
"5 - 9세","계",14465,285489,2284126,60129427,54597856,1863,59101,268987,16083632,14863383,30,448,917,434059,400066,116,926,2861,1830800,1707207,11992,220354,1955880,41438377,37311333,69,934,1534,180429,157415,7,61,115,66243,62828,-,-,-,-,-,4,23,195,1362,1359,548,3642,53637,94526,94267
"5 - 9세","남자",7859,158904,1251906,38212406,34652437,1032,32923,151877,9211070,8522584,17,288,558,294694,273696,47,326,1119,698067,652770,6520,122886,1068891,27804807,25018066,33,551,789,124788,108583,3,15,45,31226,29119,-,-,-,-,-,2,20,192,1215,1212,282,1895,28435,46540,46407
"5 - 9세","여자",6606,126585,1032220,21917021,19945420,831,26178,117110,6872562,6340799,13,160,359,139365,126370,69,600,1742,1132733,1054437,5472,97468,886989,13633570,12293266,36,383,745,55640,48832,4,46,70,35017,33709,-,-,-,-,-,2,3,3,147,147,266,1747,25202,47986,47860
"10 - 14세","계",14853,250201,2718310,79018602,71776826,2124,65742,335673,20406918,18796767,37,491,1206,480032,443241,114,947,2149,2128793,1986363,12235,179256,2334669,55322732,49940389,69,926,1316,257499,215726,23,290,509,301481,275842,-,-,-,-,-,23,266,2822,60594,58188,383,2283,39966,60554,60311
"10 - 14세","남자",8081,137275,1502564,52201115,47438356,1117,36007,179058,11710432,10809477,16,202,452,197083,183144,48,343,617,744832,696971,6734,98990,1300115,39264508,35489007,26,268,537,52623,43560,16,189,390,151927,138681,-,-,-,-,-,17,212,2416,50986,48931,183,1064,18979,28723,28586
"10 - 14세","여자",6772,112926,1215746,26817487,24338470,1007,29735,156615,8696486,7987291,21,289,754,282949,260097,66,604,1532,1383961,1289393,5501,80266,1034554,16058223,14451382,43,658,779,204876,172166,7,101,119,149555,137161,-,-,-,-,-,6,54,406,9607,9257,200,1219,20987,31830,31724
"15 - 19세","계",19941,337923,4168336,149361209,135159796,3032,89245,544734,36020154,33129432,127,1961,3642,2256576,2078343,393,2596,5569,7028380,6573568,15272,232099,3500590,100271172,89887957,46,831,1117,298896,239094,112,1814,2712,2826094,2597185,-,-,-,-,-,172,2361,24804,414070,409327,1045,7016,85168,245868,244890
