진료년도,희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
2022,D66,1718,30492,31616,140000000000,155000000000
2022,D67,395,5977,6200,54740079160,60505539180
2022,D70,16914,36070,56966,13696287940,15919579930
2022,D71,107,973,1786,528293110,591926350
2022,G10,347,1874,13123,1111407030,1335467120
2022,G35,2700,20548,34769,13941798230,15703625810
2022,A319,5869,23877,27674,1840215800,3089941250
2022,A810,125,1044,8365,1321104270,1535268340
2022,D126,296218,486487,520419,63168459700,101021000000
2022,D550,35,77,88,6856310,7990540
2022,D552,27,183,174,25094450,29784520
2022,D560,18,81,81,3614440,4562440
2022,D561,176,555,596,67218180,78468950
2022,D562,1,7,8,1747480,1871320
2022,D563,44,134,134,11609810,13870710
2022,D564,3,6,6,144430,192930
2022,D593,231,1145,2822,5434478070,6047858750
2022,D595,486,3622,4230,32385778030,35965199050
2022,D600,132,1465,1681,400509180,447562350
2022,D610,532,2066,2969,1028644930,1221801750
2022,D613,2330,18313,27974,12998084030,14428649420
2022,D619,7292,32900,48334,16838650140,19778924010
2022,D644,19,87,136,68837310,77693390
2022,D680,334,1056,1481,640405260,727542380
2022,D681,66,144,184,37980190,43192100
2022,D682,223,1800,1849,3036763360,3361013420
2022,D685,702,2814,2947,300261140,369099650
2022,D686,3502,15307,16912,1433121740,1764745200
2022,D691,1633,4621,4960,775928680,960859830
2022,D693,9759,45246,55777,9809019850,13767405500
2022,D694,1824,4855,5075,337382110,590828320
2022,D761,670,4594,11527,6225599890,6948341430
2022,D763,755,2405,3196,513780780,631632750
2022,D800,103,1267,1315,425974240,475155000
2022,D801,122,1016,1437,540639010,589361210
2022,D802,43,122,127,12216290,14598660
2022,D803,309,1671,2109,353198110,405990400
2022,D804,15,61,67,3023610,3512860
2022,D805,17,212,238,65181920,71613980
2022,D806,6,71,71,1392540,1559190
2022,D808,4,24,24,13347990,14874890
2022,D810,3,3,3,47610,67810
2022,D811,3,45,461,170579230,181947840
2022,D812,6,158,326,111640600,127924720
2022,D813,1,5,5,1311670,1380680
2022,D814,1,1,1,28800,32000
2022,D818,52,149,149,5719750,6809850
2022,D819,148,767,891,138988890,156260880
2022,D820,26,177,304,149267060,162203320
2022,D821,300,2502,2558,177595100,198305550
2022,D823,5,64,184,145144060,156044340
2022,D824,43,273,329,40566520,47024900
2022,D830,16,275,337,91031040,100888590
2022,D831,5,61,65,27598930,30695110
2022,D832,3,12,12,2018050,2276450
2022,D840,2,11,48,9455560,10805530
2022,D841,152,816,838,640361950,714790320
2022,D860,1732,7585,8452,1089640860,1255853140
2022,D861,693,2626,2941,434519450,503011560
2022,D862,598,2625,2810,314850600,362639100
2022,D863,210,972,1000,56197770,68571270
2022,D868,371,2036,2640,449749790,515381930
2022,D891,38,108,156,13829460,18493950
2022,E201,280,1353,1467,93109400,125533250
2022,E220,1590,10712,11062,7673728620,8550939790
2022,E230,23786,170226,174838,21057693010,40018074830
2022,E240,368,1970,2458,489537540,571921030
2022,E241,4,15,15,726400,806000
2022,E243,44,197,283,61663000,70171920
2022,E250,1123,6602,6912,702483760,779769600
2022,E259,117,397,400,22278040,25996040
2022,E268,194,812,1218,171535640,203430840
2022,E271,537,2220,2527,171297890,208355250
2022,E272,90,303,631,130301290,156765790
2022,E274,10178,37050,54510,4594524240,6127650460
2022,E348,445,903,1245,109876560,165270840
2022,E550,428,1408,1500,128874260,153529960
2022,E700,91,557,578,455216250,503036520
2022,E701,163,1015,1110,2044603260,2267849750
2022,E702,45,165,193,281344270,313283510
2022,E703,231,586,614,60191870,70421870
2022,E708,9,16,16,297620,635020
2022,E710,39,348,433,124940760,138941870
2022,E711,162,1214,2067,721979360,796635600
2022,E713,383,3004,4442,809208220,895685800
2022,E720,145,1487,1950,330505380,364595920
2022,E721,208,634,674,162887510,188877140
2022,E722,320,1850,3050,2129968260,2337885540
2022,E723,21,421,471,66772530,75142620
2022,E724,29,276,326,166204770,186060280
2022,E725,64,257,432,57670650,74599610
2022,E728,118,667,778,136440360,149362890
2022,E730,3,3,3,282030,449530
2022,E740,314,2520,3289,9620690730,10644062790
2022,E742,238,514,506,68298770,79428990
2022,E744,22,591,639,77532580,83225170
2022,E748,83,429,467,46477230,56715360
2022,E750,13,196,215,33907100,36969750
2022,E751,60,447,1057,319844320,349104200
2022,E752,613,11274,12752,51707865120,57404102200
2022,E754,24,306,407,87826180,96205750
2022,E755,349,858,929,57870550,89740230
2022,E760,27,1286,1725,6713868520,7448628570
2022,E761,88,5115,5789,28688206190,31614813280
2022,E762,67,2134,2252,13574299740,14996839460
2022,E770,22,558,568,36222070,40086410
2022,E771,5,156,156,7195260,7987060
2022,E791,34,1012,1066,71359600,78538360
2022,E802,44,488,507,24438030,27929210
2022,E830,1513,8546,11023,2633600070,2981104120
2022,E831,564,1633,1794,168300410,221856390
2022,E832,33,53,53,2517600,3807600
2022,E833,734,2280,2419,988885090,1118912560
2022,E840,34,236,379,73345370,83212880
2022,E841,32,101,210,31035210,36079110
2022,E850,19,64,191,25240000,29377930
2022,E851,47,295,487,106829060,118103630
2022,E852,59,374,417,79325400,89703500
