진료년도,희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
2021,D66,1671,31653,33590,134364000000,148528000000
2021,D67,389,6066,6461,50277576220,55536599090
2021,D70,14960,32471,56526,14622808620,16707794010
2021,D71,119,910,1839,638847540,690840100
2021,G10,324,1800,12292,991135350,1193086390
2021,G35,2627,19618,33339,12375310690,13940830400
2021,A319,5892,24368,29052,2072539680,3347744600
2021,A810,117,1101,9573,1358544870,1597951880
2021,D126,273917,459835,497843,59888499060,95588778310
2021,D550,30,65,66,3112840,3671430
2021,D552,25,142,197,36990200,42705880
2021,D560,23,61,61,3326530,3757930
2021,D561,165,544,601,82083580,92438360
2021,D562,1,1,1,43770,87370
2021,D563,35,101,101,6678510,8756640
2021,D564,2,5,5,186820,215720
2021,D593,257,1176,2811,5276944230,5835250720
2021,D595,463,4653,5137,34062125460,37816160270
2021,D600,111,1222,1391,347968220,392484090
2021,D610,478,2146,2703,673761610,833326010
2021,D613,2149,17624,26914,12284075720,13688434370
2021,D619,6969,34671,48656,16925692380,19728573110
2021,D644,23,61,60,4049050,4952050
2021,D680,342,1174,1414,604401720,683385370
2021,D681,58,144,180,24172300,28451530
2021,D682,225,1708,1716,2818189500,3116999920
2021,D685,678,2470,2771,426244910,512330550
2021,D686,3653,15236,16604,1485391950,1839922650
2021,D691,1821,4801,5527,870247480,1059394540
2021,D693,10430,44633,55118,9360792810,13047006990
2021,D694,2411,6275,6705,492223180,835212880
2021,D761,656,4527,11887,5558848180,6239416480
2021,D763,734,2190,2628,407820750,501069850
2021,D800,106,1155,1198,394838960,440753320
2021,D801,105,924,1305,417143180,461781360
2021,D802,47,175,185,18398760,21959350
2021,D803,203,1215,1630,260160730,293576980
2021,D804,9,66,66,4411690,4948290
2021,D805,19,175,222,73933820,79730630
2021,D806,3,69,69,1143890,1265410
2021,D808,4,33,41,12836890,14347110
2021,D810,4,10,10,165440,222740
2021,D811,2,63,386,252637670,279073760
2021,D812,6,83,663,290370950,323614290
2021,D818,35,103,115,10247140,11511170
2021,D819,81,289,451,254243490,270214510
2021,D820,33,112,232,179417910,191017670
2021,D821,260,2555,2593,187921500,209067470
2021,D823,6,45,64,20375300,23182070
2021,D824,34,229,254,24278370,28048040
2021,D830,18,313,480,126741440,140948000
2021,D831,3,40,40,10502770,11667770
2021,D840,4,9,33,5033790,5811390
2021,D841,153,613,643,396302010,442787290
2021,D860,1605,6852,7912,968467320,1116956100
2021,D861,623,2485,2679,333930050,380464490
2021,D862,562,2414,2580,296571520,341627230
2021,D863,210,907,916,47768810,59710900
2021,D868,299,1680,2375,436288560,492149460
2021,D891,44,171,183,12919830,21168090
2021,E201,283,1321,1341,71370140,101539810
2021,E220,1678,11189,12164,7894178420,8809709140
2021,E230,21668,155050,160837,17434228770,33317846360
2021,E240,370,2039,2609,390683000,460532120
2021,E241,7,26,50,15586810,18854350
2021,E243,37,198,296,80489780,99233060
2021,E250,1091,6359,6739,706238270,781749880
2021,E259,130,471,492,29192970,34348820
2021,E268,196,854,1243,146165300,175768980
2021,E271,524,2275,2653,163350610,199132300
2021,E272,83,312,507,95020090,113895730
2021,E274,9966,37232,57245,4631405160,6068411770
2021,E348,604,1292,1416,90692270,157642320
2021,E550,423,1526,1554,89842380,111843820
2021,E700,100,508,522,289124940,316406920
2021,E701,134,677,694,1567354300,1726793520
2021,E702,55,173,190,148654900,164533160
