reply,reply_clean_mecab,positive,topic
근데 외국에서는 당일 예약하시는거 아무렇지않았는데 국내 여행은 항상 예약하고 움직이다보니 이상하면서 어색한데 그럴수도 있네 생각들면서 저도   아무렇게나 가보고싶어지네요\n친구들과 함께하시니까 너무 즐거워보이셔서 좋으네요^^,외국 당일 예약 아무렇 국내 여행 항상 예약 움직이 이상 어색 있 생각 들 아무렇 친구 함께 하 너무 보이 좋,1,
서울  상암동이나  연희동  연남동 성산동  쪽이좋은데 쫌  자연이  보이는 곳으로가지   담영상에  예약한집  나오겠죠?,좋 자연 보이 곳 가지 영상 예약 집 나오,1,
와우! 원래 어제 오늘 부산 갈라고 예약했다가 일이 있어서 취소했는데 대신 다녀오셨네요. 대만족,원래 어제 오늘 갈라고 예약 일 있 취소 대신 다녀오 족,0,
제이님\n저랑 아산병원 같은과 동창이네요^^\n또한 그 호떡 \n좋은결과 듣고\n하나씩 사먹으면\n세상 넘 넘 행복~^^\n좋은 결과에~\n해외여행예약에~\n저도 기대되고 설렙니다,병원 같 과 동창 호떡 좋 결과 듣 먹 세상 넘 넘 행복 좋 결과 해외여행 예약 기대 설 렙 니,1,
시댁친정이 보령인데 딸아이 방학하고 두번\n다녀와 놓고선 21일에 또 대천에 예약했는데 취소하고 동해에 가고싶은마음 커져서 댓글보다 알려주신 숙소 예약했네요^^일정은 거기있는숙소에서 다녀도 괜찮은 동선인거죠?2박으로 가려하는데 동선이랑 일정을 잘못짜서요ㅜㅜ,시댁 친정 보령 딸아이 방학 또 대천 예약 취소 동해 가 마음 댓글 숙소 예약 일정 있 숙소 괜찮 동선 하 동선 일정 잘못 짜,0,
주말에 srt 공주 예약 ㅎㅎㅎ 애하고 다닐건데 srt위주로 여행두 많이있으면 좋겠어요.,주말 공주 예약 애 위주 여행 많이 있 좋,1,
"1~2월, 봄, 가을마다 몇코스씩 걸으며 완주하고, 두번째로 돌고있는 올레꾼이예요^^ 올봄에는 코로나로 예약과 취소를 반복하다, 이번주말 내려갔다 막 올라왔는데 여름올레는 봄,가을에 비해 2~3배는 힘들더라고요! 습하고 덥고ㅠㅠ 2박3일간 3코스를 걸었는데, 봄에 꺄악 너무예뻐! 너무좋아! 하던 곳들도, 힘듦에 눈에 덜들어와서 슬펐어요ㅠㅠ 앞으로는 봄,가을,겨울(바람만 조심하면 1~2월도 너무좋은^^) 에는 풀코스로 걷고, 여름에는 반만걷고 물놀이해야겠다 다짐했어요! (요며칠간 계속 하루의마무리는 물놀이ㅎㅎ) 이날씨에 백패킹까지하며 걷다니 대단하십니다!! 응원하는 의미로 구독 누르고갈께요^^",봄 가을 코스 완주 돌 올레 봄 예약 취소 반복 이번 주말 내려갔 올라왔 여름 올레 봄 가을 배 힘들 습하 덥 간 코스 걸 봄 너무 너무 좋 하 곳 힘 눈 덜 앞 봄 가을 겨울 바람 조심 너무 좋 에 풀코스 걷 여름 반 걷 물놀 다 짐 며칠 계속 하루 마무리 물놀 날씨 패킹 하 걷 대단 응원 의미 구독 누르,0,
오~~~메이양! \n오랜만이네요.  메이양 영상방에 가끔식 들어와 봅니다.\n영상이 몇일 지나도 안올라 올때는 안부가 궁금 하기도 한답니다....\n\n한라산 하면 역시 겨울 한라산이죠.\n나는 2월 15일 한라산 예약 했습니다.\n몇십년 전부터 한라산 사계를 카메라에 담고있죠.\n그런데 아직 쓸만한 사진을 얻지못해서 계속 가고 있습니다.\n아니면 일년을 시작하는 일종의 의식 이라고 해야 하나...\n2월 15일까지 제주에 계시면 동문시장 에서 저녁 같이 하면 좋겠습니다....,오랜만 이양 영상 방 가끔 식 영상 안 때 안부 궁금 하 겨울 예약 전 사계 카메라 담 아직 사진 얻 계속 가 시작 일종 의식 계시 동문 시장 저녁 같이 하 좋,1,
"잘보고있어요\n나이는 53살이구요 애들키운다고 집사람과둘이 어디여행못갔어요 큰애 이번에 대학가고 22년만에 처음집사람과 제주여행 1박2일갑니다  5월14,15일\n집사람이 꽃을좋아해서 꼬구경 두군데 카페두군데 맛집두군데 갈려구요 근데 아는게없어서요 추천 또는 스케줄짜주시면감사할것같아요 숙소도모르고 비행기만예약했네요 ㅎ ㅎ",잘 보 나이 애 집사람 여행 못 갔 애 이번 대학 가 처음 집사람 여행 집사람 꽃 구경 맛집 아 없 추천 스케줄 감사 같 숙소 모르 비행기 예약,1,
울릉도가 시댁인데 자주 못가서 이리 풍경으로 보니 반갑네요~ 울릉도 좁고 교통이 나빠서 서로서로 잘 도와주려고 하시는데 시즌에는 외국인이나 외지인이 잠시 일하러 많이 들어와서 사건사고나 많이 생기니 다음에는 꼭 숙소는 예약하셔요ㅠㅠ,시댁 자주 못 가 이리 풍경 보 반갑 좁 교통 서로 서로 잘 시즌 외국인 외지인 잠시 일 많이 사건 사고 많이 생기 다음 꼭 숙소 예약,1,
우와...ㅎㅎㅎ 캠핑을 하셨군요!!! 저도 드디어 월요일에 울릉도로 떠나요!!!! 저는 최대한 숙박비아끼려구 그냥 게스트하우스 예약했어요ㅠㅠ 독도영상 기대할게용 ㅎㅎㅎ,캠핑 하 드디어 월요일 떠나 최대한 숙박비 아끼 그냥 예약 영상 기대,1,
와!!!!!! 저 몇일 전에 울릉도 배편이랑 숙소 예약했어요~~ 혼자가는거라 걱정했는데 쏘이님 가시는거 보고 걱정이 설렘으로 바뀌었네요~~~!!!!!! 울릉도편 너무너무 기대된다~~~,전 배편 숙소 예약 혼자 가 걱정 가시 보 걱정 바뀌 도편 너무너무 기대,1,
농어촌 민박예약은 어디서 하셨는지요?,농어촌 민박 예약 하,1,
프리미엄 버스는 예약 하는거에요?,프리미엄 버스 예약,1,
와 숙소예약 안하고 간게 신의 한수였네요!!,숙소 예약 안 하 신 한수,1,
어머님 동반운전자 지정안하면 (그린카 가입해야됨) 사고시에 보험처리안되고 그린카측에서 벌금 20만원정도 청구될 수도있어요  예약한 본인만 운전해야된답니다,어머님 동반 운전자 지정 안 하 가입 사고 보험 처리 안 되 벌금 정도 청구 있 본인 운전,0,
안그래도 부산갈려고 했는데 딱 올라오네요!!!ㅠㅠ 쏘이님이 가신곳 다가고싶어요ㅠㅠ! 명란파스타... 대박...!!! 너무맛있어보여서 꼭 예약해서 다녀와야겠습니다\n 몸조심하시고 또 다른재밌는여행 기대할께요!,안 딱 올라오 다 가 명란 파스타 대박 너무 맛있 꼭 예약 몸조심 또 재밌 여행 기대,1,
여자 세분이서 재밌게 노시는 모습 보며 힐링하고 갑니다.  모나파크 용평리조트도 엄청 좋은거 같아서 예약전 유튜브 영상 감상하고 갑니다. 늘 응원합니다,여자 세분 재밌 모습 보 힐링 파크 리조트 엄청 좋 같 약전 영상 감상 늘 응원,1,
호텔 예약은 어떻게 하나요???\n저도 혼자 여행다니는데 호텔예약은 생각보다 번거러워서요...,호텔 예약 어떻게 하 혼자 여행 다니 호텔 예약 생각 워,1,
대박 ㅠㅠ 저 다음주에 순천가는 케이티엑스 예약해놨는데ㅋㅋㅋㅋㅋ 참고할게요!!,대박 다음 주 순천 가 케이티엑스 예약 참고,1,
저도 덕수궁 석조전 예약해서 두 번이나 갔다 왔어요ㅎㅎ역사 좋아하시는 분들은 심화해설 듣는거 강추드려요,덕수궁 석조전 예약 갔 역사 좋 심화 해설 듣 강추,1,
해운대 암소 갈비집 시그니처인 생갈비는 예약 안하면 못 먹어요 ㅎㅎ,해운대 암소 갈비 집 처 갈비 예약 안 하 못 먹,1,
무의도 소무의도 가려면 미리 예약 안해도 갈수 있나요?,무의 소무 가 미리 예약 안 있,1,
"엊그제 일요일에 한탄강 물윗길 트레킹 한바퀴 돌고 왔네요. ㅋ 태봉대교부터 해서 승일교까지 찍고 절벽 위로 해서 은하수교 건너서 언덕 위에까지 올라갔다가 다시 태봉대교, 그리고 주차장 밑으로 해서 직탕폭포까지 보고 왔네요..ㅋ 1인당 5천원이지만 상품권으로 돌려줘서 그걸로 점심 사먹을때 썼네요...사전예약하고 갔더니 블랙야크 스카프도 1인당 하나씩 주고, 장바구니 같은 빨간 가방도 주더라구요..ㅋ1인당 5천원이지만 상품권으로 다 돌려주는데 선물까지 주고, 거기다 한바퀴 걸어보니 상품권 안줘도 돈이 아깝지 않을 것 같더군요...",엊그제 일요일 탄강 물 윗길 돌 태봉 대교 찍 절벽 위 은하 수교 건너 언덕 위 올라갔 다시 태봉 대교 주차장 밑 직 탕 폭포 보 인 상품권 점심 먹 때 썼 사전 예약 갔 블랙 야크 스카프 인 주 장바구니 같 가방 인 상품권 다 돌려주 선물 걸 상품권 안 돈 아깝 같,1,
"송대소 물윗길 지금은 코로나로 이용이 안된다고 하네요.. ㅠㅠ  10월 중순경에 다시 전화해보라는 안내 받았고, 정식으로 11월말 8km구간 개방예정이라 합니다. 예약제는 하지 않고 당일 현장 발매제로 할것 같다고 합니다.",대소 물 윗길 지금 이용 안 순경 다시 전화 안내 받 정식 말 구간 개방 예정 약제 하 당일 현장 발매 같,0,
4월에ㅡ예약하고 기다리는데 가슴이\n두근거릴 정도로 아름답네요,예약 기다리 가슴 정도 아름답,1,
7월달에 한달살기예약은어떻게하나요,달 살 예약 어떻게,1,
저도 9월 추석 다음날로 4명 예약 했답니다.~\n기대 됩니다.~,추석 다음 날로 예약 기대,1,
내일군산가는데 가보고싶네요 지금은늦어서예약이 안되겠죠 영상잘봤습니다 많이올려주세요,내일 군산 가 지금 늦 예약 안 되 영상 잘 봤 많이,1,
와~\n감사합니다\n아직\n휴가 전 인데\n여기가\n어디인지\n어떻게 예약 해야되는지\n알려주세요,감사 아직 휴가 전 어떻게 예약 되,1,
