질병298분류별(1),진료형태별,2012,2012.1,2012.2,2012.3,2012.4,2012.5,2012.6,2012.7,2012.8,2012.9,2012.10,2012.11,2012.12,2012.13,2012.14,2012.15,2012.16,2012.17,2012.18,2012.19
질병298분류별(1),진료형태별,합계,합계,합계,합계,합계,65 - 69세,65 - 69세,65 - 69세,65 - 69세,65 - 69세,70 - 74세,70 - 74세,70 - 74세,70 - 74세,70 - 74세,75세 이상,75세 이상,75세 이상,75세 이상,75세 이상
질병298분류별(1),진료형태별,진료실인원 (명),내원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),진료실인원 (명),내원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),진료실인원 (명),내원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원),진료실인원 (명),내원일수 (일),급여일수 (일),진료비 (천원),급여비 (천원)
총계,계,45764919,849575212,6728478238,46322753832,34616590233,1776243,62010149,700897257,4062795302,3096778597,1649440,69412237,750567587,4585953473,3527981238,2097303,105523130,965982636,7360439376,5591148731
총계,입원,6225566,114744004,171757062,16535654429,13541130327,352100,8180123,13157511,1443894285,1194011097,397777,11208460,16700242,1825150636,1493582003,664211,36376379,44592038,4034574468,3170809264
총계,외래,45626482,734831208,6556721176,29787099403,21075459906,1772019,53830026,687739746,2618901017,1902767500,1641955,58203777,733867345,2760802837,2034399236,2052688,69146751,921390598,3325864908,2420339467
중추신경계의염증성질환,계,28829,221877,975722,37881955,29004011,682,13951,78779,3247132,2476553,702,15786,80211,2888651,2195735,806,20549,84805,3646117,2749725
중추신경계의염증성질환,입원,15419,179430,261305,34249846,26822539,288,12070,15124,3009195,2326691,330,14173,17383,2645752,2042700,429,18512,22513,3383029,2582931
중추신경계의염증성질환,외래,19815,42447,714417,3632109,2181472,522,1881,63655,237937,149861,507,1613,62828,242899,153035,508,2037,62292,263088,166794
파킨슨병,계,74627,2342122,19301157,242136708,202434524,9058,171676,2455595,22532691,19360275,16934,428493,4512159,48138281,40794607,35557,1547541,8688799,140258832,115020775
파킨슨병,입원,17641,1881665,2045805,154327224,124919864,1499,112444,133321,10356337,8591195,3557,317114,353083,26602945,21745768,10642,1341903,1416732,104931920,84001241
파킨슨병,외래,67610,460457,17255352,87809483,77514659,8676,59232,2322274,12176353,10769080,15835,111379,4159076,21535337,19048839,30398,205638,7272067,35326912,31019534
알쯔하이머병,계,24358,308064,3889454,30488183,21356177,1809,12982,268022,1592787,1085700,4355,36954,705402,4321259,2969355,16525,245485,2690603,23018422,16254714
알쯔하이머병,입원,2244,220787,231885,15316221,11313484,69,6619,7140,483519,364756,244,20666,21932,1433376,1062360,1828,186045,194360,12847814,9478691
알쯔하이머병,외래,22543,87277,3657569,15171962,10042692,1760,6363,260882,1109268,720943,4170,16288,683470,2887883,1906994,15021,59440,2496243,10170608,6776022
다발성경화증,계,2360,40762,466514,12383337,10949932,126,3114,29661,542481,468468,85,2061,17268,328270,283296,80,900,12486,115953,95108
다발성경화증,입원,554,23020,32203,3251109,2763199,20,2015,2279,274629,231698,18,1586,1762,147323,122301,14,534,672,55895,43977
