행정구역,지역구,소계,용도지역기준(도시인구),용도지역기준(비도시인구),행정구역기준(도시인구),행정구역기준(농촌인구),용도지역 인구기준(도시지역 인구비율(%)),행정구역 인구기준(도시지역 인구비율(%))
전국,소계,51638809,47402647,4236162,47180828,4457981,91.8,91.37
서울특별시,소계,9509458,9509458,0,9509458,0,100.0,100.0
서울특별시,종로구,144683,144683,0,144683,0,100.0,100.0
서울특별시,중구,122499,122499,0,122499,0,100.0,100.0
서울특별시,용산구,222953,222953,0,222953,0,100.0,100.0
서울특별시,성동구,285990,285990,0,285990,0,100.0,100.0
서울특별시,광진구,339996,339996,0,339996,0,100.0,100.0
서울특별시,동대문구,337400,337400,0,337400,0,100.0,100.0
서울특별시,중랑구,387350,387350,0,387350,0,100.0,100.0
서울특별시,성북구,430528,430528,0,430528,0,100.0,100.0
서울특별시,강북구,299182,299182,0,299182,0,100.0,100.0
서울특별시,도봉구,317366,317366,0,317366,0,100.0,100.0
서울특별시,노원구,510956,510956,0,510956,0,100.0,100.0
서울특별시,은평구,473307,473307,0,473307,0,100.0,100.0
서울특별시,서대문구,304819,304819,0,304819,0,100.0,100.0
서울특별시,마포구,368905,368905,0,368905,0,100.0,100.0
서울특별시,양천구,447302,447302,0,447302,0,100.0,100.0
서울특별시,강서구,574315,574315,0,574315,0,100.0,100.0
서울특별시,구로구,396754,396754,0,396754,0,100.0,100.0
서울특별시,금천구,230811,230811,0,230811,0,100.0,100.0
서울특별시,영등포구,376837,376837,0,376837,0,100.0,100.0
서울특별시,동작구,385483,385483,0,385483,0,100.0,100.0
서울특별시,관악구,485699,485699,0,485699,0,100.0,100.0
서울특별시,서초구,412279,412279,0,412279,0,100.0,100.0
서울특별시,강남구,533042,533042,0,533042,0,100.0,100.0
서울특별시,송파구,658338,658338,0,658338,0,100.0,100.0
서울특별시,강동구,462664,462664,0,462664,0,100.0,100.0
부산광역시,소계,3350380,3350380,0,3316641,33739,100.0,98.99
부산광역시,중구,40524,40524,0,40524,0,100.0,100.0
부산광역시,서구,105164,105164,0,105164,0,100.0,100.0
부산광역시,동구,87679,87679,0,87679,0,100.0,100.0
부산광역시,영도구,110638,110638,0,110638,0,100.0,100.0
부산광역시,부산진구,353159,353159,0,353159,0,100.0,100.0
부산광역시,동래구,266866,266866,0,266866,0,100.0,100.0
부산광역시,남구,262069,262069,0,262069,0,100.0,100.0
부산광역시,북구,283211,283211,0,283211,0,100.0,100.0
부산광역시,해운대구,396438,396438,0,396438,0,100.0,100.0
부산광역시,사하구,306003,306003,0,306003,0,100.0,100.0
부산광역시,금정구,228049,228049,0,228049,0,100.0,100.0
부산광역시,강서구,142918,142918,0,142918,0,100.0,100.0
부산광역시,연제구,207144,207144,0,207144,0,100.0,100.0
부산광역시,수영구,175095,175095,0,175095,0,100.0,100.0
부산광역시,사상구,208298,208298,0,208298,0,100.0,100.0
부산광역시,기장군,177125,177125,0,143386,33739,100.0,80.95
대구광역시,소계,2385412,2380498,4914,2355083,30329,99.79,98.73
대구광역시,중구,74791,74791,0,74791,0,100.0,100.0
대구광역시,동구,341436,336553,4883,341436,0,98.57,100.0
대구광역시,서구,164528,164528,0,164528,0,100.0,100.0
대구광역시,남구,143175,143175,0,143175,0,100.0,100.0
대구광역시,북구,437008,437008,0,437008,0,100.0,100.0
대구광역시,수성구,417097,417097,0,417097,0,100.0,100.0
대구광역시,달서구,544926,544926,0,544926,0,100.0,100.0
대구광역시,달성군,262451,262420,31,232122,30329,99.99,88.44
인천광역시,소계,2948375,2881117,67258,2882962,65413,97.72,97.78
인천광역시,중구,143633,143633,0,143633,0,100.0,100.0
인천광역시,동구,61486,61486,0,61486,0,100.0,100.0
인천광역시,미추홀구,407464,407464,0,407464,0,100.0,100.0
인천광역시,연수구,389644,389644,0,389644,0,100.0,100.0
인천광역시,남동구,518272,518272,0,518272,0,100.0,100.0
인천광역시,부평구,486765,486765,0,486765,0,100.0,100.0
인천광역시,계양구,295696,295696,0,295696,0,100.0,100.0
인천광역시,서구,555380,555380,0,555380,0,100.0,100.0
인천광역시,강화군,69693,22777,46916,23044,46649,32.68,33.07
인천광역시,옹진군,20342,0,20342,1578,18764,0.0,7.76
광주광역시,소계,1441611,1441611,0,1441611,0,100.0,100.0
광주광역시,동구,103470,103470,0,103470,0,100.0,100.0
광주광역시,서구,291231,291231,0,291231,0,100.0,100.0
광주광역시,남구,215575,215575,0,215575,0,100.0,100.0
광주광역시,북구,427114,427114,0,427114,0,100.0,100.0
광주광역시,광산구,404221,404221,0,404221,0,100.0,100.0
대전광역시,소계,1452251,1452251,0,1452251,0,100.0,100.0
대전광역시,동구,222222,222222,0,222222,0,100.0,100.0
대전광역시,중구,230341,230341,0,230341,0,100.0,100.0
대전광역시,서구,473365,473365,0,473365,0,100.0,100.0
대전광역시,유성구,351277,351277,0,351277,0,100.0,100.0
대전광역시,대덕구,175046,175046,0,175046,0,100.0,100.0
울산광역시,소계,1121592,1119594,1998,1088376,33216,99.82,97.04
울산광역시,중구,212883,212883,0,212883,0,100.0,100.0
울산광역시,남구,313819,313819,0,313819,0,100.0,100.0
울산광역시,동구,154096,154096,0,154096,0,100.0,100.0
울산광역시,북구,218735,218735,0,218735,0,100.0,100.0
울산광역시,울주군,222059,220061,1998,188843,33216,99.1,85.04
세종특별자치시,소계,371895,338424,33471,325309,46586,91.0,87.47
세종특별자치시,세종특별자치시,371895,338424,33471,325309,46586,91.0,87.47
경기도,소계,13565450,12489790,1075660,12849184,716266,92.07,94.72
경기도,수원시,1183714,1183714,0,1183714,0,100.0,100.0
경기도,성남시,930948,930948,0,930948,0,100.0,100.0
경기도,고양시,1079353,1018715,60638,1079353,0,94.38,100.0
경기도,용인시,1077508,1030536,46972,1041343,36165,95.64,96.64
경기도,부천시,806067,806067,0,806067,0,100.0,100.0
경기도,안산시,652726,652726,0,652726,0,100.0,100.0
경기도,안양시,547178,547178,0,547178,0,100.0,100.0
경기도,남양주시,733798,669224,64574,701244,32554,91.2,95.56
경기도,화성시,887015,647521,239494,812367,74648,73.0,91.58
경기도,평택시,564288,530431,33857,524157,40131,94.0,92.89
경기도,의정부시,463661,463661,0,463661,0,100.0,100.0
경기도,시흥시,512030,512030,0,512030,0,100.0,100.0
경기도,파주시,483245,432726,50519,437097,46148,89.55,90.45
경기도,광명시,292893,292893,0,292893,0,100.0,100.0
경기도,김포시,486508,449144,37364,462988,23520,92.32,95.17
경기도,군포시,268535,268535,0,268535,0,100.0,100.0
경기도,광주시,387289,204907,182382,357904,29385,52.91,92.41
경기도,이천시,223177,151818,71359,150220,72957,68.03,67.31
경기도,양주시,236368,177276,59092,200833,35535,75.0,84.97
경기도,오산시,229983,229983,0,229983,0,100.0,100.0
경기도,구리시,191948,191948,0,191948,0,100.0,100.0
경기도,안성시,189534,150780,38754,120657,68877,79.55,63.66
경기도,포천시,148939,79674,69265,79347,69592,53.49,53.27
경기도,의왕시,163356,163356,0,163356,0,100.0,100.0
경기도,하남시,320087,320087,0,320087,0,100.0,100.0
경기도,여주시,112150,73851,38299,74373,37777,65.85,66.32
경기도,양평군,121230,83677,37553,30966,90264,69.02,25.54
경기도,동두천시,93592,88912,4680,93592,0,95.0,100.0
경기도,과천시,73345,73345,0,73345,0,100.0,100.0
경기도,가평군,62264,36344,25920,19478,42786,58.37,31.28
경기도,연천군,42721,27783,14938,26794,15927,65.03,62.72
강원도,소계,1538492,1276023,262469,1185555,352937,82.94,77.06
강원도,춘천시,284594,259923,24671,231940,52654,91.33,81.5
강원도,원주시,357757,329137,28620,292042,65715,92.0,81.63
강원도,강릉시,212965,188487,24478,184992,27973,88.51,86.86
강원도,동해시,90081,89744,337,90081,0,99.63,100.0
강원도,태백시,40844,39904,940,40844,0,97.7,100.0
강원도,속초시,82791,82791,0,82791,0,100.0,100.0
강원도,삼척시,63429,50172,13257,53215,10214,79.1,83.9
강원도,홍천군,68365,33634,34731,34186,34179,49.2,50.01
강원도,횡성군,46481,19017,27464,20967,25514,40.91,45.11
강원도,영월군,37904,23500,14404,23482,14422,62.0,61.95
강원도,평창군,40996,16398,24598,10128,30868,40.0,24.7
강원도,정선군,35675,23545,12130,22931,12744,66.0,64.28
강원도,철원군,43340,38420,4920,39205,4135,88.65,90.46
강원도,화천군,24195,13331,10864,8335,15860,55.1,34.45
강원도,양구군,21748,12001,9747,13802,7946,55.18,63.46
강원도,인제군,32165,28949,3216,10828,21337,90.0,33.66
강원도,고성군,27249,14772,12477,13099,14150,54.21,48.07
강원도,양양군,27913,12298,15615,12687,15226,44.06,45.45
충청북도,소계,1597427,1270768,326659,1273813,323614,79.55,79.74
충청북도,청주시,848482,772967,75515,780235,68247,91.1,91.96
충청북도,충주시,209358,174727,34631,158036,51322,83.46,75.49
충청북도,제천시,131591,115647,15944,115619,15972,87.88,87.86
충청북도,보은군,31878,13662,18216,14757,17121,42.86,46.29
충청북도,옥천군,50093,28780,21313,29064,21029,57.45,58.02
충청북도,영동군,45773,23930,21843,20163,25610,52.28,44.05
충청북도,진천군,85176,47843,37333,59782,25394,56.17,70.19
충청북도,괴산군,38122,12313,25809,9753,28369,32.3,25.58
충청북도,음성군,92197,36888,55309,36235,55962,40.01,39.3
충청북도,단양군,28331,13439,14892,15552,12779,47.44,54.89
충청북도,증평군,36426,30572,5854,34617,1809,83.93,95.03
충청남도,소계,2119257,1573861,545396,1500120,619137,74.26,70.79
충청남도,천안시,658486,588876,69610,623796,34690,89.43,94.73
충청남도,공주시,103145,70850,32295,67022,36123,68.69,64.98
충청남도,보령시,98408,55577,42831,68251,30157,56.48,69.36
충청남도,아산시,324580,252245,72335,213569,111011,77.71,65.8
충청남도,서산시,176645,123120,53525,109508,67137,69.7,61.99
충청남도,논산시,114483,67558,46925,72240,42243,59.01,63.1
충청남도,계룡시,43331,43331,0,8573,34758,100.0,19.78
충청남도,당진시,167092,107314,59778,105164,61928,64.22,62.94
충청남도,금산군,50477,28347,22130,22381,28096,56.16,44.34
충청남도,부여군,63774,37553,26221,19575,44199,58.88,30.69
충청남도,서천군,50745,24129,26616,24420,26325,47.55,48.12
충청남도,청양군,30440,8741,21699,9914,20526,28.72,32.57
충청남도,홍성군,99324,79460,19864,75060,24264,80.0,75.57
충청남도,예산군,76801,49211,27590,42837,33964,64.08,55.78
충청남도,태안군,61526,37549,23977,37810,23716,61.03,61.45
전라북도,소계,1786855,1459758,327097,1421490,365365,81.69,79.55
전라북도,전주시,657269,656391,878,657269,0,99.87,100.0
전라북도,군산시,265304,231610,33694,233095,32209,87.3,87.86
전라북도,익산시,278113,250875,27238,227945,50168,90.21,81.96
전라북도,정읍시,106487,74540,31947,73269,33218,70.0,68.81
전라북도,남원시,79431,54518,24913,51812,27619,68.64,65.23
전라북도,김제시,80913,41567,39346,44302,36611,51.37,54.75
전라북도,완주군,91142,54685,36457,47772,43370,60.0,52.41
전라북도,진안군,24987,6034,18953,9974,15013,24.15,39.92
전라북도,무주군,23748,10737,13011,9426,14322,45.21,39.69
전라북도,장수군,21695,5505,16190,7259,14436,25.37,33.46
전라북도,임실군,26730,14968,11762,7334,19396,56.0,27.44
전라북도,순창군,26855,9682,17173,10086,16769,36.05,37.56
전라북도,고창군,53386,21787,31599,21110,32276,40.81,39.54
전라북도,부안군,50795,26859,23936,20837,29958,52.88,41.02
전라남도,소계,1832803,1325445,507358,1294457,538346,72.32,70.63
전라남도,목포시,218589,218589,0,218589,0,100.0,100.0
전라남도,여수시,276762,237237,39525,236602,40160,85.72,85.49
전라남도,순천시,281436,253656,27780,242455,38981,90.13,86.15
전라남도,나주시,116726,78553,38173,81806,34920,67.3,70.08
전라남도,광양시,150531,135973,14558,133133,17398,90.33,88.44
전라남도,담양군,46180,28824,17356,15164,31016,62.42,32.84
전라남도,곡성군,27535,10248,17287,7788,19747,37.22,28.28
전라남도,구례군,25235,13344,11891,10730,14505,52.88,42.52
전라남도,고흥군,62762,32992,29770,22893,39869,52.57,36.48
전라남도,보성군,39375,18361,21014,21566,17809,46.63,54.77
전라남도,화순군,62624,50200,12424,40131,22493,80.16,64.08
전라남도,장흥군,36547,22949,13598,23039,13508,62.79,63.04
전라남도,강진군,33753,12685,21068,13256,20497,37.58,39.27
전라남도,해남군,67166,23643,43523,24523,42643,35.2,36.51
전라남도,영암군,52937,29137,23800,29512,23425,55.04,55.75
전라남도,무안군,91107,61260,29847,67597,23510,67.24,74.2
전라남도,함평군,31274,8243,23031,8274,23000,26.36,26.46
전라남도,영광군,51985,32655,19330,33068,18917,62.82,63.61
전라남도,장성군,43365,22936,20429,13334,30031,52.89,30.75
전라남도,완도군,48631,19039,29592,26875,21756,39.15,55.26
전라남도,진도군,30066,10717,19349,11392,18674,35.64,37.89
전라남도,신안군,38217,4204,34013,12730,25487,11.0,33.31
경상북도,소계,2626609,2053158,573451,2021708,604901,78.17,76.97
경상북도,포항시,503852,458742,45110,466179,37673,91.05,92.52
경상북도,경주시,251889,213004,38885,196914,54975,84.56,78.17
경상북도,김천시,140239,97340,42899,105003,35236,69.41,74.87
경상북도,안동시,156972,117259,39713,120776,36196,74.7,76.94
경상북도,구미시,412581,389064,23517,399864,12717,94.3,96.92
경상북도,영주시,101942,82588,19354,81673,20269,81.01,80.12
경상북도,영천시,101888,65922,35966,66924,34964,64.7,65.68
경상북도,상주시,95566,49571,45995,58561,37005,51.87,61.28
경상북도,문경시,71154,52651,18503,52231,18923,74.0,73.41
경상북도,경산시,268369,238948,29421,247284,21085,89.04,92.14
경상북도,군위군,22945,4388,18557,8161,14784,19.12,35.57
경상북도,의성군,50632,25557,25075,12971,37661,50.48,25.62
경상북도,청송군,24539,11370,13169,5108,19431,46.33,20.82
경상북도,영양군,16320,7248,9072,7125,9195,44.41,43.66
경상북도,영덕군,35314,16963,18351,12913,22401,48.03,36.57
경상북도,청도군,41891,15401,26490,20053,21838,36.76,47.87
경상북도,고령군,30626,18069,12557,9886,20740,59.0,32.28
경상북도,성주군,42842,13551,29291,13518,29324,31.63,31.55
경상북도,칠곡군,113822,94472,19350,88316,25506,83.0,77.59
경상북도,예천군,55739,31578,24161,14548,41191,56.65,26.1
경상북도,봉화군,30762,9795,20967,9701,21061,31.84,31.54
경상북도,울진군,47858,33459,14399,17278,30580,69.91,36.1
경상북도,울릉군,8867,6218,2649,6721,2146,70.13,75.8
경상남도,소계,3314183,2867756,446427,2623245,690938,86.53,79.15
경상남도,창원시,1032741,1013015,19726,958644,74097,98.09,92.83
경상남도,진주시,347097,316783,30314,285692,61405,91.27,82.31
경상남도,통영시,125383,87768,37615,73829,51554,70.0,58.88
경상남도,사천시,109953,94356,15597,62428,47525,85.81,56.78
경상남도,김해시,537673,523080,14593,492713,44960,97.29,91.64
경상남도,밀양시,103525,68067,35458,66240,37285,65.75,63.98
경상남도,거제시,241216,195892,45324,191867,49349,81.21,79.54
경상남도,양산시,354726,351355,3371,293219,61507,99.05,82.66
경상남도,의령군,26322,12225,14097,9458,16864,46.44,35.93
경상남도,함안군,62547,37259,25288,37205,25342,59.57,59.48
경상남도,창녕군,60129,33866,26263,28659,31470,56.32,47.66
경상남도,고성군,50478,24063,26415,23986,26492,47.67,47.52
경상남도,남해군,42266,12955,29311,13087,29179,30.65,30.96
경상남도,하동군,43449,8261,35188,9724,33725,19.01,22.38
경상남도,산청군,34360,5316,29044,6736,27624,15.47,19.6
경상남도,함양군,38310,18090,20220,18109,20201,47.22,47.27
경상남도,거창군,61073,40677,20396,40541,20532,66.6,66.38
경상남도,합천군,42935,24728,18207,11108,31827,57.59,25.87
제주특별자치도,소계,676759,612755,64004,639565,37194,90.54,94.5
제주특별자치도,제주시,493096,453648,39448,480523,12573,92.0,97.45
제주특별자치도,서귀포시,183663,159107,24556,159042,24621,86.63,86.59
