,연령별,계,계,0세,0세,1 - 4세,1 - 4세,5 - 9세,5 - 9세,10 - 14세,10 - 14세,15 - 19세,15 - 19세,20 - 24세,20 - 24세,25 - 29세,25 - 29세,30 - 34세,30 - 34세,35 - 39세,35 - 39세,40 - 44세,40 - 44세,45 - 49세,45 - 49세,50 - 54세,50 - 54세,55 - 59세,55 - 59세,60 - 64세,60 - 64세,65 - 69세,65 - 69세,70 - 74세,70 - 74세,75 - 79세,75 - 79세,80 - 84세,80 - 84세,85세 이상,85세 이상
,성별(1),남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
총진료실인원수 (명),진료실인원수 (명),1213016,1356653,1431,1059,5800,4769,7859,6606,8081,6772,11799,8142,19359,15922,27530,30354,32717,43505,36486,56343,52081,87893,61344,110237,85370,138685,105079,136013,152634,162073,163000,141911,149917,117167,128932,104301,104267,101556,59330,83345
총입내원일수 (일),입내원일수 (일),32266545,34777575,10387,9469,115678,98777,158904,126585,137275,112926,205312,132611,312323,244528,453671,448344,551745,631057,649537,914429,985997,1604784,1319041,2345438,2068755,3194918,2700427,3304189,4137204,4127473,4660729,3786218,4423727,3366065,3905416,3286616,3399994,3682860,2070423,3360288
총요양급여일수 (일),요양급여일수 (일),278510470,339070034,50772,44755,651838,582568,1251906,1032220,1502564,1215746,2420395,1747941,4113652,3332158,6198581,6161409,7528417,8766779,8255251,12143843,11700273,20567554,14065352,28268263,18986937,36273397,23095068,35880401,34386916,43591423,38452237,38743400,35904715,31360021,31038806,26834960,25402178,24341370,13504612,18181826
총진료비 (천원),진료비 (천원),11274973918,9680610939,3959615,4091481,25020111,19053378,38212406,21917021,52201115,26817487,102560626,46800583,149861991,84894885,201964777,138678678,235052504,184458321,265494081,275893576,386315335,490275875,506694837,702287482,798853158,926133369,1030990542,966352391,1531012927,1220522203,1663988849,1137320401,1516391375,996661993,1264084214,908244883,985578735,881444933,516736720,648761999
총급여비 (천원),급여비 (천원),10269419580,8757000874,3657134,3800051,22676661,17397067,34652437,19945420,47438356,24338470,92930891,42228906,135122156,76326312,181863127,124349252,211664729,165202195,239724010,246796329,349897967,439221341,460670448,632098213,728513765,837231856,941279111,876888425,1398367272,1109651952,1521311788,1036253596,1385238212,907017808,1151486644,823010502,896321142,794965754,466603730,580277425
암질환진료실인원수 (명),진료실인원수 (명),633417,737093,20,20,456,426,1032,831,1117,1007,1551,1481,2542,4526,4677,12796,8187,23797,12180,33867,20683,57193,25371,73818,39817,90625,55364,83959,88493,95590,99792,79408,94412,61093,81340,49007,62877,40658,33506,26991
암질환입내원일수 (일),입내원일수 (일),15917584,17746103,804,540,19006,19848,32923,26178,36007,29735,54826,34419,59630,69027,85041,151834,118313,287149,177815,501324,330258,1030662,479186,1604210,898029,2142612,1336058,2069549,2239899,2427405,2605554,2012406,2459203,1575564,2141007,1334211,1777921,1288607,1066104,1140823
암질환요양급여일수 (일),요양급여일수 (일),127206540,161524882,1454,1758,60669,60470,151877,117110,179058,156615,284387,260347,459571,757901,783931,2065340,1445054,3993600,2184829,6346540,3554496,12201432,4391621,17699093,6838759,21829466,9818841,19617154,16675992,22102137,20295003,18111572,20051294,13414118,17978636,10365007,14483962,7827682,7567106,4597540
암질환진료비 (천원),진료비 (천원),5656724418,5472834004,364848,105520,6050999,6709639,9211070,6872562,11710432,8696486,22618013,13402140,27292813,26174007,38252300,48087954,50955359,89279638,74728655,162042803,132439712,338799357,193161878,504477760,357404883,652314838,522237083,644177749,840533593,769836530,962290372,668568683,889761026,530503049,730027467,427257862,532254632,350230886,255429284,225296542
암질환급여비 (천원),급여비 (천원),5198224933,4988570418,327070,97634,5534183,6160436,8522584,6340799,10809477,7987291,20850579,12278852,25128639,23823903,35102522,43360138,46575956,80137772,68222686,144931739,121032615,303344779,177174048,454433051,328200069,591193259,479928113,587380523,772575014,704459627,885693385,614305954,819209199,488195960,671580738,393590232,488942572,321611766,232815484,204936702
