_id,num,raredisease_title_KO,raredisease_title_ENG,KCD_code,special_calculation,support_text[0]
6630acb312d98428f3f81600,1272,(무한성) 외배엽형성이상,Ectodermal dysplasia (anhidrotic),Q82.4,V900,의료비(급여부분)
6630acb412d98428f3f81601,1271,(승모판 협착 또는 폐쇄와 함께) 상행대동맥의 형성저하와 좌심실의 결손발육을 동반하는 대동맥구멍 및 판막의 폐쇄 또는 현저한 발육부전,"Atresia, or marked hypoplasia of aortic orifice or valve, with hypoplasia of ascending aorta and defective development of left ventricle (with mitral valve stenosis or atresia)",Q23.4,V147,의료비(급여부분)
6630acb512d98428f3f81602,1270,"(외)이도의 선천성 결여, 폐쇄, 협착","Congenital absence, atresia and stricture of auditory canal(external)",Q16.1,V291,의료비(급여부분)
6630acb612d98428f3f81603,1269,(이상형태성) 태아알코올증후군,Fetal alcohol syndrome (dysmorphic),Q86.0,V157,의료비(급여부분)
6630acb712d98428f3f81604,1268,(하)(상)대정맥의 선천성 협착,Congenital stenosis of vena cava (inferior)(superior),Q26.0,V150,의료비(급여부분)
6630acb812d98428f3f81605,1267,(혈청검사음성인) 연소성 다발관절염,Juvenile polyarthritis (seronegative),M08.3,V133,의료비(급여부분)
6630acb912d98428f3f81606,1266,10단완 11-12 결손 증후군,10p11-12 deletion syndrome,없음,V901,의료비(급여부분)
6630acbb12d98428f3f81607,1265,10단완삼염색체증,Trisomy 10p,Q92.2,V900,의료비(급여부분)
6630acbc12d98428f3f81608,1264,10번 염색체 장완 말단부의 단일염색체증,Distal monosomy 10q,없음,V901,의료비(급여부분)
6630acbd12d98428f3f81609,1263,10번 염색체 장완의 22-23 부분의 미세결손 증후군,10q22q23 microdeletion syndrome,없음,V901,의료비(급여부분)
6630acbe12d98428f3f8160a,1262,10번 염색체 장완의 결손 증후군,10q deletion syndrome,없음,V901,의료비(급여부분)
6630acbf12d98428f3f8160b,1261,10번 염색체 장완의 중복 증후군,10q duplication syndrome,없음,V901,의료비(급여부분)
6630acc012d98428f3f8160c,1260,10장완 말단 삼염색체 증후군,Distal 10q trisomy syndrome,없음,V900,의료비(급여부분)
6630acc112d98428f3f8160d,1259,11번 염색체 장완의 말단부 삼염색체증,Distal trisomy 11q,없음,V901,의료비(급여부분)
6630acc212d98428f3f8160e,1258,11번 염색체 장완의 중복 증후군,11q duplication syndrome,없음,V901,의료비(급여부분)
6630acc312d98428f3f8160f,1257,12번 염색체 단완 13 부분의 미세중복,12p13 microduplication,없음,V901,의료비(급여부분)
6630acc412d98428f3f81610,1256,12번 염색체 단완의 중복 증후군,12p duplication syndrome,없음,V901,의료비(급여부분)
6630acc512d98428f3f81611,1255,12번 염색체 장완 13 부분의 미세중복,12q13 microduplication,없음,V901,의료비(급여부분)
6630acc612d98428f3f81612,1254,12번 염색체 장완의 결손 증후군,12q deletion syndrome,없음,V901,의료비(급여부분)
6630acc812d98428f3f81613,1253,12번 염색체 장완의 중복 증후군,12q duplication syndrome,없음,V901,의료비(급여부분)
6630acc912d98428f3f81614,1252,13번 염색체 장완 12.3 부분의 미세결손 증후군,13q12.3 microdeletion syndrome,없음,V901,의료비(급여부분)
6630acca12d98428f3f81615,1251,13번 염색체 장완 21-22 부분의 결손,13q21-22 deletion,없음,V901,의료비(급여부분)
6630accb12d98428f3f81616,1250,13번 염색체 장완의 말단부 단일염색체증,Distal monosomy 13q,없음,V901,의료비(급여부분)
6630accc12d98428f3f81617,1249,13번 염색체 장완의 부분 결손,Partial deletion of the long arm of chromosome 13,없음,V901,의료비(급여부분)
6630accd12d98428f3f81618,1248,"13삼염색체증, 감수분열비분리","Trisomy 13, meiotic nondisjunction",Q91.4,V160,의료비(급여부분)
6630acce12d98428f3f81619,1247,"13삼염색체증, 섞임증형(유사분열비분리)","Trisomy 13, mosaicism (mitotic nondisjunction)",Q91.5,V160,의료비(급여부분)
6630accf12d98428f3f8161a,1246,"13삼염색체증, 전위","Trisomy 13, translocation",Q91.6,V160,의료비(급여부분)
6630acd012d98428f3f8161b,1245,13삼염색체증후군,Trisomy 13 Syndrome,Q91.7,V160,의료비(급여부분)
6630acd112d98428f3f8161c,1244,14번 염색체 장완 24.2-31.1 부분의 미세결손,14q24.2q31.1 microdeletion,없음,V901,의료비(급여부분)
6630acd212d98428f3f8161d,1243,14번 염색체 장완 말단부의 단일염색체증,Distal monosomy 14q,없음,V901,의료비(급여부분)
6630acd412d98428f3f8161e,1242,14번 염색체 장완의 결손 증후군,14q deletion syndrome,없음,V901,의료비(급여부분)
6630acd512d98428f3f8161f,1241,15 장완13.3 미세결손 증후군,15q13.3 microdeletion syndrome,Q93.5,V900,의료비(급여부분)
6630acd612d98428f3f81620,1240,15번 고리모양 염색체,Ring chromosome 15,없음,V901,의료비(급여부분)
6630acd712d98428f3f81621,1239,15번 염색체 장완의 결손 증후군,15q deletion syndrome,없음,V901,의료비(급여부분)
6630acd812d98428f3f81622,1238,15번 염색체 장완의 중복 증후군,15q duplication syndrome,없음,V901,의료비(급여부분)
6630acd912d98428f3f81623,1237,15장완 사염색체(증)(쌍중심절 15번 염색체 증후군),Tetrasomy 15q (isodicentric 15 chromosome syndrome),Q93.2,V900,의료비(급여부분)
6630acda12d98428f3f81624,1236,15장완11-13 미세중복 증후군,15q11q13 microduplication syndrome,Q92.3,V900,의료비(급여부분)
6630acdb12d98428f3f81625,1235,15장완11.2 미세결손 증후군,15q11.2 microdeletion syndrome,없음,V900,의료비(급여부분)
6630acdc12d98428f3f81626,1234,16단완11.2 미세중복,16p 11.2 microduplication,없음,V901,의료비(급여부분)
6630acdd12d98428f3f81627,1233,16번 염색체 단완의 11-12 부분의 미세결손 증후군,16p11p12 microdeletion syndrome,없음,V901,의료비(급여부분)
6630acde12d98428f3f81628,1232,16번 염색체 단완의 결손,Deletion of short arm of chromosome 16,없음,V901,의료비(급여부분)
6630acdf12d98428f3f81629,1231,16번 염색체 단완의 결손 증후군,16p deletion syndrome,없음,V901,의료비(급여부분)
6630ace012d98428f3f8162a,1230,16번 염색체 단완의 중복 증후군,16p duplication syndrome,없음,V901,의료비(급여부분)
6630ace212d98428f3f8162b,1229,16번 염색체 장완의 결손 증후군,16q deletion syndrome,없음,V901,의료비(급여부분)
6630ace312d98428f3f8162c,1228,16번 염색체 장완의 중복,16q duplication,없음,V901,의료비(급여부분)
6630ace412d98428f3f8162d,1227,17단완13.3 미세중복,17p 13.3 microduplication,없음,V901,의료비(급여부분)
6630ace512d98428f3f8162e,1226,17번 염색체 단완 13.1 부분의 미세결손 증후군,Distal 17p13.1 microdeletion syndrome,없음,V901,의료비(급여부분)
6630ace612d98428f3f8162f,1225,17번 염색체 단완 13.3 부분의 미세결손 증후군,Distal 17p13.3 microdeletion syndrome,없음,V901,의료비(급여부분)
6630ace712d98428f3f81630,1224,17번 염색체 장완 21.31 부분의 미세중복 증후군,17q21.31 microduplication syndrome,없음,V901,의료비(급여부분)
6630ace812d98428f3f81631,1223,17번 염색체 장완 25.1 부분의 중복 증후군,17q25.1 duplication syndrome,없음,V901,의료비(급여부분)
6630ace912d98428f3f81632,1222,17번 염색체 장완의 결손 증후군,17q deletion syndrome,없음,V901,의료비(급여부분)
6630acea12d98428f3f81633,1221,17번 염색체 장완의 중복 증후군,17q duplication syndrome,없음,V901,의료비(급여부분)
6630aceb12d98428f3f81634,1220,18 단완 염색체 결손,18 short arm chromosome Deletion,Q93.5,V900,의료비(급여부분)
6630acec12d98428f3f81635,1219,18번 고리모양 염색체,Ring chromosome 18,없음,V901,의료비(급여부분)
6630aced12d98428f3f81636,1218,18번 염색체 단완의 사염색체증,Tetrasomy 18p,없음,V901,의료비(급여부분)
6630acee12d98428f3f81637,1217,18번 염색체 장완의 결손 증후군,18q deletion syndrome,없음,V901,의료비(급여부분)
6630acef12d98428f3f81638,1216,18번 염색체 장완의 중복 증후군,18q duplication syndrome,없음,V901,의료비(급여부분)
6630acf112d98428f3f81639,1215,"18삼염색체증, 감수분열비분리","Trisomy 18, meiotic nondisjunction",Q91.0,V160,의료비(급여부분)
6630acf212d98428f3f8163a,1214,"18삼염색체증, 섞임증형(유사분열비분리)","Trisomy 18, mosaicism (mitotic nondisjunction)",Q91.1,V160,의료비(급여부분)
6630acf312d98428f3f8163b,1213,"18삼염색체증, 전위","Trisomy 18, translocation",Q91.2,V160,의료비(급여부분)
6630acf412d98428f3f8163c,1212,18장완 말단부 결손 증후군,18q distal deletion syndrome,Q93.5,V900,의료비(급여부분)
6630acf512d98428f3f8163d,1211,18장완단일염색체증,18q monosomy,Q93.5,V900,의료비(급여부분)
6630acf612d98428f3f8163e,1210,19번 염색체 단완 13.3 부분의 중복,19p13.3 duplication,없음,V901,의료비(급여부분)
6630acf712d98428f3f8163f,1209,19번 염색체 단완의 결손 증후군,19p deletion syndrome,없음,V901,의료비(급여부분)
6630acf812d98428f3f81640,1208,1단완36 미세결손증후군,1p36 Microdeletion Syndrome,Q93.5,V900,의료비(급여부분)
6630acf912d98428f3f81641,1207,1번 염색체 단완 31-32 부분의 미세결손,1p31-1p32 microdeletion,없음,V901,의료비(급여부분)
6630acfa12d98428f3f81642,1206,1번 염색체 단완의 결손 증후군,1p deletion syndrome,없음,V901,의료비(급여부분)
6630acfb12d98428f3f81643,1205,1번 염색체 단완의 중복 증후군,1p duplication syndrome,없음,V901,의료비(급여부분)
6630acfc12d98428f3f81644,1204,1번 염색체 장완 21.1 부분의 중복 증후군,1q21.1 duplication syndrome,없음,V901,의료비(급여부분)
6630acfd12d98428f3f81645,1203,1번 염색체 장완 21.3 부분의 미세결손 증후군,1q21.3 microdeletion syndrome,없음,V901,의료비(급여부분)
6630acff12d98428f3f81646,1202,1번 염색체 장완 44부분의 미세결손 증후군,1q44 microdeletion syndrome,없음,V901,의료비(급여부분)
6630ad0012d98428f3f81647,1201,1번 염색체 장완의 21.1 부분의 미세결손 증후군,1q21.1 microdeletion syndrome,없음,V901,의료비(급여부분)
6630ad0112d98428f3f81648,1200,20번 염색체 단완의 결손 증후군,20p deletion syndrome,없음,V901,의료비(급여부분)
6630ad0212d98428f3f81649,1199,20번 염색체 단완의 삼염색체증,Trisomy 20p,Q92.8,V900,의료비(급여부분)
6630ad0312d98428f3f8164a,1198,20번 염색체 장완의 말단부 삼염색체증,Distal trisomy 20q,없음,V901,의료비(급여부분)
6630ad0412d98428f3f8164b,1197,21-수산화효소결핍,21-Hydroxylase deficiency,E25.0,V115,의료비(급여부분)
