상병코드,24년 국문 질환명,24년 영문 질환명,신규여부,산정특례 종류,"산정특례
특정기호"
A31.9,"비정형마이코박테륨증, 가족형, X연관","Atypical mycobacteriosis, familial, x-linked",,극희귀,V900
A81.0,아급성 해면모양뇌병증,Subacute spongiform encephalopathy,,희귀,V102
A81.0,크로이츠펠트-야콥병,Creutzfeldt-Jakob disease,,희귀,V102
"D12.6,  M8220/0",가족성선종성폴립증,Familial adenomatous polyposis,,희귀,V281
D55.0,G6PD결핍빈혈,G6PD deficiency anaemia,,희귀,V163
D55.0,잠두중독,Favism,,희귀,V163
D55.0,포도당-6-인산탈수소효소결핍에 의한 빈혈,Anaemia due to glucose-6- phosphate dehydrogenase [G6PD] deficiency,,희귀,V163
D55.2,삼탄당인산염이성화효소결핍빈혈,Triose-phosphate isomerase deficiency anaemia,,희귀,V164
D55.2,용혈성 비구상적혈구성 (유전성) Ⅱ형 빈혈,"Haemolytic nonspherocytic (hereditary), type Ⅱ anaemia",,희귀,V164
D55.2,피루브산염카이네이스결핍빈혈,Pyruvate kinase[PK] deficiency anaemia,,희귀,V164
D55.2,해당효소의 장애에 의한 빈혈,Anaemia due to disorders of glycolytic enzymes,,희귀,V164
D55.2,헥소카이네이스결핍빈혈,Hexokinase deficiency anaemia,,희귀,V164
D56.0,알파지중해빈혈,Alpha thalassaemia,,희귀,V232
D56.1,베타지중해빈혈,Beta thalassaemia,,희귀,V232
D56.1,중간형 지중해빈혈,Intermedia thalassaemia,,희귀,V232
D56.1,중증 베타지중해빈혈,Severe beta thalassaemia,,희귀,V232
D56.1,중증 지중해빈혈,Major thalassaemia,,희귀,V232
D56.1,쿠울리빈혈,Cooley’s anaemia,,희귀,V232
D56.2,델타-베타지중해빈혈,Delta-beta thalassaemia,,희귀,V232
D56.3,지중해빈혈 소질,Thalassaemia trait,,희귀,V232
D56.4,태아헤모글로빈의 유전적 존속,Hereditary persistence of fetal haemoglobin [HPFH],,희귀,V232
D59.3,비정형 용혈-요독증후군,Atypical haemolytic-uraemic syndrome,,희귀,V219
D59.5,발작성 야간헤모글로빈뇨,Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli],,희귀,V187
D60.0,만성 후천성 순수적혈구무형성,Chronic acquired pure red cell aplasia,,희귀,V023
D61.0,가족성 저형성빈혈,Familial hypoplastic anaemia,,희귀,V023
D61.0,기형을 동반한 범혈구감소증,Pancytopenia with malformations,,희귀,V023
D61.0,블랙판-다이아몬드증후군,Blackfan-Diamond syndrome,,희귀,V023
D61.0,선천성 무형성(순수)적혈구,"Aplasia, (pure) red cell (of) congenital",,희귀,V023
D61.0,영아 무형성(순수)적혈구,"Aplasia, (pure) red cell (of) infants",,희귀,V023
D61.0,원발성 무형성(순수)적혈구,"Aplasia, (pure) red cell (of) primary",,희귀,V023
D61.0,체질성 무형성빈혈,Constitutional aplastic anaemia,,희귀,V023
D61.0,판코니빈혈,Fanconi’s anaemia,,희귀,V023
D61.3,특발성 무형성빈혈,Idiopathic aplastic anaemia,,희귀,V023
D61.9,골수형성저하,Medullary hypoplasia,,희귀,V023
D61.9,범골수황폐,Panmyelophthisis,,희귀,V023
D61.9,저형성빈혈 NOS,Hypoplastic anaemia NOS,,희귀,V023
D64.4,선천성 적혈구조혈이상빈혈,Congenital dyserythropoietic anaemia,,희귀,V220
D64.4,이상조혈성 빈혈(선천성),Dyshaematopoietic anaemia(congenital),,희귀,V220
D66,A형혈우병,Haemophilia A,,희귀,V009
D66,고전적 혈우병,Classical haemophilia,,희귀,V009
D66,유전성 제8인자결핍,Hereditary factor Ⅷ deficiency,,희귀,V009
D66,제8인자결핍(기능적 결함을 동반),Deficiency factor Ⅷ (with functional defect),,희귀,V009
D66,혈우병 NOS,Haemophilia NOS,,희귀,V009
D67,B형혈우병,Haemophilia B,,희귀,V009
D67,유전성 제9인자결핍,Hereditary factor Ⅸ deficiency,,희귀,V009
D67,제9인자결핍(기능적 결함을 동반),Factor Ⅸ deficiency (with functional defect),,희귀,V009
D67,크리스마스병,Christmas disease,,희귀,V009
D67,혈장트롬보플라스틴성분결핍,Plasma thromboplastin component[PTC] deficiency,,희귀,V009
D68.0,폰빌레브란트병,Von Willebrand’s disease,,희귀,V009
D68.0,혈관결손이 있는 제8인자결핍,Factor Ⅷ deficiency with vascular defect,,희귀,V009
D68.0,혈관혈우병(Angiohaemophilia),Angiohaemophilia,,희귀,V009
D68.0,혈관혈우병(Vascular haemophilia),Vascular haemophilia,,희귀,V009
D68.1,C형혈우병,Haemophilia C,,희귀,V009
D68.1,유전성 제11인자결핍,Hereditary factor Ⅺ deficiency,,희귀,V009
D68.1,혈장트롬보플라스틴전구물질결핍,Plasma thromboplastin antecedent [PTA] deficiency,,희귀,V009
D68.2,AC글로불린결핍,AC globulin deficiency,,희귀,V009
D68.2,기타 응고인자의 유전성 결핍,Hereditary deficiency of other clotting factors,,희귀,V009
D68.2,선천성 무피브리노젠혈증,Congenital afibrinogenaemia,,희귀,V009
D68.2,오우렌병,Owren’s disease,,희귀,V009
D68.2,이상피브리노젠혈증(선천성),Dysfibrinogenaemia (congenital),,희귀,V009
D68.2,저프로콘버틴혈증,Hypoproconvertinaemia,,희귀,V009
D68.2,제10인자[스튜어트-프라워]의 결핍,Ⅹ[Stuart-Prower] deficiency of factor,,희귀,V009
D68.2,제12인자[하게만]의 결핍,ⅩⅡ[Hageman] deficiency of factor,,희귀,V009
D68.2,제13인자[피브린안정화]의 결핍,ⅩⅢ[Fibrin-stabilizing] deficiency of factor,,희귀,V009
D68.2,제1인자[피브리노젠]의 결핍,Ⅰ[Fibrinogen] deficiency of factor,,희귀,V009
D68.2,제2인자[프로트롬빈]의 결핍,Ⅱ[Prothrombin] deficiency of factor,,희귀,V009
D68.2,제5인자[불안정]의 결핍,Ⅴ[Labile] deficiency of factor,,희귀,V009
D68.2,제7인자[안정]의 결핍,Ⅶ[Stable] deficiency of factor,,희귀,V009
D68.2,프로악셀레린결핍,Proaccelerin deficiency,,희귀,V009
D68.5,단백질C결핍,Protein C deficiency,,극희귀,V900
D68.5,단백질S결핍,Protein S deficiency,,극희귀,V900
D68.5,항트롬빈결핍,Antithrombin deficiency,,극희귀,V900
D68.6,항인지질증후군,Antiphospholipid syndrome,,희귀,V253
D69.1,그레이혈소판증후군,Grey platelet syndrome,,희귀,V106
D69.1,글란즈만병,Glanzmann’s disease,,희귀,V106
D69.1,베르나르-술리에[거대혈소판]증후군,Bernard-Soulier[giant platelet] syndrome,,희귀,V106
D69.1,정성적 혈소판결손,Qualitative platelet defects,,희귀,V106
D69.1,혈소판무력증(출혈성)(유전성),Thromboasthenia (haemorrhagic)(hereditary),,희귀,V106
D69.1,혈소판병증,Thrombocytopathy,,희귀,V106
D69.3,에반스증후군,Evans’ syndrome,,희귀,V188
