"질병22대분류별(1)","진료형태별(1)",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"질병22대분류별(1)","진료형태별(1)",진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명)
"계","계",45764919,46103325,46672313,46934004,47404141,47597533,47928961,48085942,46945141,47539838
"계","입원",6225566,6254327,6438061,6633027,7410602,7225308,7336921,7419172,6607543,6968102
"계","외래",45626482,45962010,46531494,46763829,47213202,47401156,47732400,47891721,46725368,47321571
"특정감염성 및 기생충성 질환(A00-B99)","계",10672018,10939676,10890132,11141445,11776149,11605133,11740749,11598532,9639679,9682481
"특정감염성 및 기생충성 질환(A00-B99)","입원",379858,399573,405684,430320,578898,568793,557013,567606,392189,416006
"특정감염성 및 기생충성 질환(A00-B99)","외래",10541664,10801727,10750892,10992938,11561444,11389931,11528758,11394327,9464417,9502371
"신생물(C00-D48)","계",2826170,2927900,2985975,3070928,3308019,3471560,3651853,3886861,3936593,4363598
"신생물(C00-D48)","입원",560181,567352,562805,560195,600386,615232,633381,655616,640723,685943
"신생물(C00-D48)","외래",2762268,2864520,2922782,3006769,3240307,3405025,3585638,3820804,3876361,4304976
"혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애(D50-D89)","계",572846,582289,586375,590538,606137,592391,599806,624986,584585,715292
"혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애(D50-D89)","입원",18807,20431,21847,22596,24697,25666,26864,28055,25076,26049
"혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애(D50-D89)","외래",566030,574573,578053,581679,595896,581933,588790,613277,573552,704329
"내분비, 영양 및 대사질환(E00-E90)","계",4784734,5000202,5167151,5402280,5923862,6265886,6699829,7168989,7370173,8196479
"내분비, 영양 및 대사질환(E00-E90)","입원",128731,128797,130984,131504,145395,147572,151859,156978,146085,157911
"내분비, 영양 및 대사질환(E00-E90)","외래",4754380,4969561,5134867,5368829,5886503,6228612,6662503,7131348,7334812,8156868
"정신 및 행동장애(F00-F99)","계",2318492,2353244,2407369,2510599,2665660,2802177,3021012,3223863,3317242,3622695
"정신 및 행동장애(F00-F99)","입원",182730,188456,196907,206198,221691,226639,233945,230933,206771,205680
"정신 및 행동장애(F00-F99)","외래",2230348,2259030,2306646,2401715,2545845,2677908,2893859,3099093,3200247,3509058
