"질병22대분류별(1)","진료형태별(1)",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"질병22대분류별(1)","진료형태별(1)",진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원)
"계","계",46322753832,48708494214,52581305879,56358255846,62650434488,68109461292,75083107915,82990568999,83732461199,92308501084
"계","입원",16535654429,17490104498,19055197713,20903730099,23479513202,25662987085,28510854274,31731665711,32443676672,34902328938
"계","외래",29787099403,31218389716,33526108166,35454525747,39170921286,42446474207,46572253640,51258903287,51288784527,57406172147
"특정감염성 및 기생충성 질환(A00-B99)","계",1577658908,1567084421,1776206340,1908986043,2188649119,2277142512,2401196030,2569131257,2348260048,2487206932
"특정감염성 및 기생충성 질환(A00-B99)","입원",434278079,460824591,491809697,549536450,636130324,690449364,767295794,885596688,799212580,871485400
"특정감염성 및 기생충성 질환(A00-B99)","외래",1143380829,1106259830,1284396643,1359449593,1552518795,1586693148,1633900237,1683534569,1549047468,1615721533
"신생물(C00-D48)","계",4888745444,4922956073,5356910885,5762415786,6594359125,7362141061,8323360597,9300283364,9895506399,10951938668
"신생물(C00-D48)","입원",2898326741,2937342050,3102739307,3416363265,3901468071,4347139009,4849349516,5361309106,5523576728,5934552880
"신생물(C00-D48)","외래",1990418703,1985614023,2254171578,2346052521,2692891054,3015002052,3474011081,3938974258,4371929671,5017385788
"혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애(D50-D89)","계",246428311,273321959,309537501,335638886,364744362,396288703,415610860,462865707,459258509,502249512
"혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애(D50-D89)","입원",57402742,64703107,70905753,78265516,86120721,98093609,100793042,115421966,113961643,118644351
"혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애(D50-D89)","외래",189025569,208618851,238631748,257373370,278623641,298195094,314817818,347443741,345296866,383605161
"내분비, 영양 및 대사질환(E00-E90)","계",2055507178,1991392828,2436166480,2635241325,3012413248,3299111675,3650097286,4123244342,4509021655,5066452618
"내분비, 영양 및 대사질환(E00-E90)","입원",253401035,271145754,293391558,311342845,341271216,358621935,385445539,426023041,423510831,433340051
"내분비, 영양 및 대사질환(E00-E90)","외래",1802106143,1720247073,2142774922,2323898480,2671142033,2940489740,3264651747,3697221302,4085510823,4633112567
"정신 및 행동장애(F00-F99)","계",2211737423,2371008450,2691957188,2932637367,3248399782,3530691568,3911501088,4233722406,4468721853,4754660280
"정신 및 행동장애(F00-F99)","입원",1396829464,1575653460,1771672915,1959029689,2174585079,2343779780,2517846220,2590051841,2650708623,2638569095
"정신 및 행동장애(F00-F99)","외래",814907959,795354989,920284273,973607678,1073814703,1186911788,1393654868,1643670565,1818013230,2116091184
"신경계의 질환(G00-G99)","계",1480241670,1526725009,1762076028,1919984089,2245709312,2576786292,2884581631,3296110467,3375795821,3486731771
"신경계의 질환(G00-G99)","입원",839035687,951243528,1063428771,1176710458,1440942896,1717898214,1938810703,2184952165,2244051002,2224262265
"신경계의 질환(G00-G99)","외래",641205983,575481480,698647257,743273631,804766416,858888078,945770928,1111158302,1131744819,1262469506
"눈 및 눈부속기의 질환(H00-H59)","계",1611905572,1607077432,1809423283,2032244748,2259058322,2483222013,2787862024,3266443370,3445001792,3936002442
"눈 및 눈부속기의 질환(H00-H59)","입원",410842457,404308767,449015673,498606834,539772332,582653411,656752211,773355882,875672294,991982735
"눈 및 눈부속기의 질환(H00-H59)","외래",1201063116,1202768664,1360407611,1533637915,1719285989,1900568602,2131109813,2493087488,2569329499,2944019708
"귀 및 유양돌기의 질환(H60-H95)","계",613876211,592268993,625043954,644177379,707356190,738254850,803395998,901841001,820331819,899895601
"귀 및 유양돌기의 질환(H60-H95)","입원",89423265,93566826,98905163,104910978,126825029,136402621,152214018,176466404,168242516,164815648
"귀 및 유양돌기의 질환(H60-H95)","외래",524452946,498702167,526138791,539266401,580531161,601852229,651181980,725374597,652089303,735079953
"순환기계의 질환(I00-I99)","계",6375298139,6106856044,7111705431,7615456974,7987054540,8707541609,9443607018,10516109101,11149684088,12145714224
"순환기계의 질환(I00-I99)","입원",2718390371,2877272884,3119970968,3439323700,3585297892,4003192152,4345468011,4808347244,4972373052,5337380442
"순환기계의 질환(I00-I99)","외래",3656907768,3229583160,3991734463,4176133274,4401756648,4704349457,5098139006,5707761857,6177311036,6808333782
"호흡기계의 질환(J00-J99)","계",5340789014,5096529159,5886005470,6019677878,6677151482,6596754680,7311658876,7543325909,4943844395,4648126690
"호흡기계의 질환(J00-J99)","입원",1115158068,1114398332,1260206757,1444674829,1649782355,1681971607,2007167093,2146517272,1643213370,1600012544
"호흡기계의 질환(J00-J99)","외래",4225630946,3982130827,4625798713,4575003049,5027369127,4914783073,5304491784,5396808637,3300631026,3048114146
"소화기계의 질환(K00-K93)","계",4461028862,4737256212,5478166764,6131888719,7299469750,7784515342,8506299618,9697837282,9895287156,10869749911
"소화기계의 질환(K00-K93)","입원",1001115597,1056899767,1122223337,1235114264,1547748139,1532033207,1734915716,1967867059,2084284769,2262188493
