"사망원인별(104항목)","시도별","연령","성별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"사망원인별(104항목)","시도별","연령","성별",사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명)
"계","서울특별시","계","계",41514,42063,42153,43053,43540,42932,45219,43829,45522,48798
"계","부산광역시","계","계",20534,20096,20230,20820,21074,21434,22570,22260,22950,23531
"계","대구광역시","계","계",12352,12531,12642,13081,13502,13629,14070,13752,14460,14560
"계","인천광역시","계","계",12881,13039,13409,13452,14119,14290,15316,15131,15689,16493
"계","광주광역시","계","계",6874,6891,6935,7443,7247,7560,7781,7635,7785,7981
"계","대전광역시","계","계",6580,6634,6564,6961,6958,7029,7403,7502,7572,7889
"계","울산광역시","계","계",4567,4871,4695,4915,4947,4886,5349,5268,5302,5493
"계","세종특별자치시","계","계",820,812,853,979,1065,1159,1259,1221,1317,1354
"계","경기도","계","계",50830,50959,51425,53005,55215,56852,60050,60568,62794,67399
"계","강원도","계","계",11030,10756,11004,11301,11437,11545,11976,11906,12182,12749
"계","충청북도","계","계",10478,10371,10174,10638,10787,11104,11334,11363,11594,11941
"계","충청남도","계","계",13994,13854,14149,14469,14600,15321,15802,15596,16022,16326
"계","전라북도","계","계",13700,13492,13563,13721,14062,14295,14552,14525,14691,15049
"계","전라남도","계","계",16766,16332,16053,16543,16561,16848,17219,16787,17436,17568
"계","경상북도","계","계",20644,20245,20304,20862,20978,21278,22289,21703,22799,22928
"계","경상남도","계","계",20419,19994,20239,21313,21193,21634,22719,22105,22881,23392
"계","제주도","계","계",3238,3317,3300,3339,3542,3738,3912,3959,3952,4229
