"성별(1)","시점","질병별(1)",계,0세,1 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85세 이상
"성별(1)","시점","질병별(1)",진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명)
"계","2012","희귀난치성질환",589455,3171,8170,6079,7018,12245,18561,24294,33380,38427,46601,45800,57574,56597,50834,48340,55158,42903,23120,11183
"계","2013","희귀난치성질환",631417,3541,9789,6389,7246,12611,19615,24208,34704,38112,48604,49386,60316,62318,54192,52819,58771,48464,26980,13352
"계","2014","희귀난치성질환",680712,4328,11698,7318,7775,13152,21252,25290,34620,39016,50580,52760,62184,69143,59728,57923,61511,54568,31594,16272
"계","2015","희귀난치성질환",707926,5045,13126,7478,7409,13157,21867,25463,33131,39262,49591,54177,61747,72504,66243,62534,62853,57597,36214,18528
"계","2016","희귀난치성질환",743082,5621,15410,8939,8136,13758,22360,26371,31913,40331,47997,56803,60922,76938,73048,66173,64348,62253,41020,20741
"계","2017","희귀난치성질환",767969,4764,16428,9669,8552,13239,21863,26436,29988,40172,46811,57391,60006,77773,76635,69621,65711,70164,46811,25935
"계","2018","희귀난치성질환",833219,4415,16066,10459,8834,13382,22594,28258,30118,42630,46178,59391,64356,80707,84752,74567,72976,78759,58189,36588
"계","2019","희귀난치성질환",884261,3866,15597,11123,9395,13705,23019,30690,31682,42624,47600,60979,67425,81853,92064,80781,78976,82476,65819,44587
"계","2020","희귀난치성질환",868801,2282,10013,11122,9590,13157,23092,32588,33034,41754,48782,60868,69237,80606,95901,87784,81812,75991,57170,34018
"계","2021","희귀난치성질환",931621,2355,8996,11885,11228,14139,25153,35698,37365,42970,52792,61712,74537,81242,103272,98513,86961,79779,63746,39278
