"항목","시점",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
"남자인구수 (명)","2012",25504060,5041336,1754479,1249320,1431593,728406,763671,590424,57633,6091035,774273,789286,1026812,933386,954354,1355294,1670545,292213
"남자인구수 (명)","2013",25588336,5007869,1747000,1246071,1448835,730216,767309,595319,62205,6159193,776498,792862,1037421,932894,952597,1355951,1678592,297504
"남자인구수 (명)","2014",25669296,4979768,1740417,1241119,1459074,731339,766497,600904,78862,6219813,778007,796141,1045892,931536,951975,1356182,1687114,304656
"남자인구수 (명)","2015",25758186,4930943,1735570,1237291,1469869,729662,759778,604889,105752,6299812,781434,798896,1054439,930255,953881,1357306,1694981,313428
"남자인구수 (명)","2016",25827594,4876789,1725607,1234169,1477671,728137,757289,603797,121505,6395453,781146,803240,1064765,927505,951889,1356868,1699219,322545
"남자인구수 (명)","2017",25855919,4830206,1709508,1227814,1479597,725295,750969,599480,139734,6475323,780635,805091,1076270,922307,948290,1353164,1701413,330823
"남자인구수 (명)","2018",25866129,4773899,1692421,1219342,1481844,722581,744338,593819,156831,6577501,776456,808971,1082009,913297,943000,1346689,1697412,335719
"남자인구수 (명)","2019",25864816,4744059,1675417,1205286,1482249,720740,736607,589712,169845,6659995,775386,810384,1081938,904110,937674,1342037,1692032,337345
"남자인구수 (명)","2020",25841029,4701723,1661000,1193109,1473943,717348,730699,583708,177568,6754469,776505,811591,1082634,896874,930615,1329211,1681423,338609
"남자인구수 (명)","2021",25746684,4618040,1639044,1175632,1476373,713015,724626,576217,185678,6827298,774332,810672,1083366,888994,922221,1323661,1668338,339177
