"시점",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
"시점",사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명),사망자수(명)
"2011",257396,40320,19643,12355,12504,6593,6336,4462,-,48394,10521,10176,14025,13126,16090,20237,19593,3021
"2012",267221,41514,20534,12352,12881,6874,6580,4567,820,50830,11030,10478,13994,13700,16766,20644,20419,3238
"2013",266257,42063,20096,12531,13039,6891,6634,4871,812,50959,10756,10371,13854,13492,16332,20245,19994,3317
"2014",267692,42153,20230,12642,13409,6935,6564,4695,853,51425,11004,10174,14149,13563,16053,20304,20239,3300
"2015",275895,43053,20820,13081,13452,7443,6961,4915,979,53005,11301,10638,14469,13721,16543,20862,21313,3339
"2016",280827,43540,21074,13502,14119,7247,6958,4947,1065,55215,11437,10787,14600,14062,16561,20978,21193,3542
"2017",285534,42932,21434,13629,14290,7560,7029,4886,1159,56852,11545,11104,15321,14295,16848,21278,21634,3738
"2018",298820,45219,22570,14070,15316,7781,7403,5349,1259,60050,11976,11334,15802,14552,17219,22289,22719,3912
"2019",295110,43829,22260,13752,15131,7635,7502,5268,1221,60568,11906,11363,15596,14525,16787,21703,22105,3959
"2020",304948,45522,22950,14460,15689,7785,7572,5302,1317,62794,12182,11594,16022,14691,17436,22799,22881,3952
"2021",317680,48798,23531,14560,16493,7981,7889,5493,1354,67399,12749,11941,16326,15049,17568,22928,23392,4229
