"시점",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
"시점",출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명),출생아수(명)
"2011",471265,91526,27759,20758,26118,13916,14808,11542,-,122027,12408,14804,20398,16175,16612,24250,32536,5628
"2012",484550,93914,28673,21472,27781,14392,15279,12160,1054,124746,12426,15139,20448,16238,16990,24635,33211,5992
"2013",436455,84066,25831,19340,25560,12729,14099,11330,1111,112129,10980,13658,18628,14555,15401,22206,29504,5328
"2014",435435,83711,26190,19361,25786,12729,13962,11556,1344,112169,10662,13366,18200,14231,14817,22062,29763,5526
"2015",438420,83005,26645,19438,25491,12441,13774,11732,2708,113495,10929,13563,18604,14087,15061,22310,29537,5600
"2016",406243,75536,24906,18298,23609,11580,12436,10910,3297,105643,10058,12742,17302,12698,13980,20616,27138,5494
"2017",357771,65389,21480,15946,20445,10120,10851,9381,3504,94088,8958,11394,15670,11348,12354,17957,23849,5037
"2018",326822,58074,19152,14400,20087,9105,9337,8149,3703,88175,8351,10586,14380,10001,11238,16079,21224,4781
"2019",302676,53673,17049,13233,18522,8364,8410,7539,3819,83198,8283,9333,13228,8971,10832,14472,19250,4500
"2020",272337,47445,15058,11193,16040,7318,7481,6617,3468,77737,7835,8607,11950,8165,9738,12873,16823,3989
"2021",260562,45531,14446,10661,14947,7956,7414,6127,3570,76139,7357,8190,10984,7475,8430,12045,15562,3728
