"연령별(1)","시점","성별(1)",계,암질환,뇌혈관,심장질환,희귀난치성질환,중증화상,중증외상,중증치매,결핵,잠복결핵
"연령별(1)","시점","성별(1)",진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명),진료실인원수 (명)
"계","2012","계",1553478,889378,29603,73287,589455,8947,-,-,-,-
"계","2013","계",1658480,952806,30612,75773,631417,9813,-,-,-,-
"계","2014","계",1754674,997286,32015,81990,680712,9234,-,-,-,-
"계","2015","계",1825700,1027828,46711,84330,707926,10368,-,-,-,-
"계","2016","계",1902581,1062943,48389,90727,743082,12530,-,-,-,-
"계","2017","계",1981994,1096825,63559,96593,767969,15185,-,-,-,-
"계","2018","계",2091680,1140367,65210,98867,833219,17612,-,-,-,-
"계","2019","계",2237132,1192675,68365,103144,884261,20669,3637,-,42474,-
"계","2020","계",2316274,1252528,67482,100534,868801,22496,4067,48858,35792,-
"계","2021","계",2446706,1313325,69259,107759,931621,4895,4156,56274,31773,19058
