"연령별(1)","시점","성별(1)",계,암질환,뇌혈관,심장질환,희귀난치성질환,중증화상,중증외상,중증치매,결핵,잠복결핵
"연령별(1)","시점","성별(1)",진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원),진료비 (천원)
"계","2012","계",8286105168,4387049179,292036752,679860988,2898693741,28464508,-,-,-,-
"계","2013","계",8771765364,4564488971,304422357,708866495,3163867233,30120308,-,-,-,-
"계","2014","계",9599245223,4953774811,334341491,769313767,3509785831,32029323,-,-,-,-
"계","2015","계",10616797284,5399762803,451604907,872154497,3854154730,39120346,-,-,-,-
"계","2016","계",12028136413,6202588641,517839941,1023477138,4241001146,43229546,-,-,-,-
"계","2017","계",13466915883,7001178354,658829089,1154739548,4608370888,50719651,-,-,-,-
"계","2018","계",15038225950,7978851663,726916353,1276510021,5057752874,54235333,-,-,-,-
"계","2019","계",17258710898,9056945892,844319729,1444028880,5605294002,51784252,66836284,-,189501859,-
"계","2020","계",18344952471,9719420209,889100871,1481801604,5834215392,68334274,78555438,106138788,167385895,-
"계","2021","계",20002021514,10665127303,945873749,1651390513,6320328957,34374216,85242823,130382791,165147782,4153380
