"시점","사망원인별(104항목)","성별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
"시점","사망원인별(104항목)","성별",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"시점","사망원인별(104항목)","성별",사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명)
"2012","계","계",41514,20534,12352,12881,6874,6580,4567,820,50830,11030,10478,13994,13700,16766,20644,20419,3238
"2012","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1090,575,328,301,183,156,130,21,1206,280,263,391,402,503,594,598,85
"2012","신생물 (C00-D48)","계",12664,6069,3505,3535,1980,1876,1294,218,14369,2917,2733,3729,3598,4428,5424,5740,911
"2012","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",83,67,31,37,17,20,13,2,103,18,18,30,24,35,52,67,9
"2012","내분비, 영양 및 대사 질환 (E00-E88)","계",2080,871,555,725,301,269,188,31,2929,588,347,559,548,891,727,795,139
"2012","정신 및 행동장애 (F01-F99)","계",772,414,188,211,198,148,109,10,1224,246,185,270,295,447,408,387,62
"2012","신경계통의 질환 (G00-G98)","계",1485,571,430,265,263,227,184,24,1394,219,179,354,561,656,642,578,106
"2012","눈 및 눈부속기의 질환 (H00-H57)","계",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2012","귀 및 유돌의 질환 (H60-H93)","계",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2012","순환계통 질환 (I00-I99)","계",7779,5610,2919,3018,1376,1354,1066,178,10733,2438,2205,2841,2990,3682,4923,5236,612
"2012","호흡계통의 질환 (J00-J98,U04)","계",2894,1832,1030,1033,632,498,355,118,3736,1106,1146,1378,1364,1601,1997,1778,272
"2012","소화계통의 질환 (K00-K92)","계",1539,974,612,506,255,229,206,29,2088,492,440,592,540,641,991,996,146
"2012","피부 및 피하조직의 질환 (L00-L98)","계",59,33,16,21,16,8,12,4,75,33,18,22,18,36,23,43,6
"2012","근골격계통 및 결합 조직의 질환 (M00-M99)","계",237,93,74,70,45,51,25,8,424,109,44,68,87,130,139,144,19
"2012","비뇨생식계통의 질환 (N00-N98)","계",846,450,256,274,145,175,96,10,1071,229,196,191,293,257,452,446,51
"2012","임신, 출산 및 산후기 (O00-O99)","계",9,4,3,7,1,1,2,0,13,4,1,2,1,1,4,2,1
"2012","출생전후기에 기원한 특정병태 (P00-P96)","계",128,44,47,51,15,28,17,0,164,38,29,35,30,21,58,46,13
"2012","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",91,20,30,34,16,17,18,2,103,26,15,27,28,17,26,25,4
"2012","달리 분류되지 않은 증상, 징후 (R00-R99)","계",5284,827,988,1184,578,687,286,56,4801,924,1391,1709,1376,1476,1936,1236,376
"2012","질병이환 및 사망의 외인 (V01-Y89, U12)","계",4474,2080,1339,1609,853,836,566,109,6397,1363,1268,1796,1545,1943,2248,2301,426
"2013","계","계",42063,20096,12531,13039,6891,6634,4871,812,50959,10756,10371,13854,13492,16332,20245,19994,3317
"2013","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1091,495,313,292,184,152,115,27,1117,297,252,340,366,433,562,544,103
"2013","신생물 (C00-D48)","계",13270,6020,3762,3695,2068,1938,1401,225,14778,2885,2771,3702,3696,4403,5427,5659,921
"2013","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",86,69,36,42,21,24,16,2,102,34,19,39,37,38,65,57,3
"2013","내분비, 영양 및 대사 질환 (E00-E88)","계",1807,855,607,736,267,276,211,21,2769,435,402,527,529,812,722,757,111
"2013","정신 및 행동장애 (F01-F99)","계",638,370,165,266,152,144,89,14,1171,216,204,251,275,351,425,411,48
"2013","신경계통의 질환 (G00-G98)","계",1534,881,624,419,365,253,177,29,1698,227,246,419,697,842,615,677,111
"2013","눈 및 눈부속기의 질환 (H00-H57)","계",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013","귀 및 유돌의 질환 (H60-H93)","계",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013","순환계통 질환 (I00-I99)","계",7774,5208,3026,2895,1268,1300,1135,178,10430,2289,2161,2783,2777,3446,4844,5042,625
"2013","호흡계통의 질환 (J00-J98,U04)","계",2952,1605,980,987,678,503,378,107,3717,1173,1091,1351,1324,1457,2115,1784,288
"2013","소화계통의 질환 (K00-K92)","계",1547,915,591,563,245,225,234,30,2174,522,414,554,443,700,863,988,163
"2013","피부 및 피하조직의 질환 (L00-L98)","계",62,38,13,14,9,6,8,0,61,26,26,25,10,31,39,43,17
"2013","근골격계통 및 결합 조직의 질환 (M00-M99)","계",257,92,83,75,34,43,31,3,407,51,57,66,80,135,109,125,12
"2013","비뇨생식계통의 질환 (N00-N98)","계",882,500,272,281,129,173,116,16,990,261,205,261,294,251,487,459,75
"2013","임신, 출산 및 산후기 (O00-O99)","계",5,3,3,4,0,3,1,0,14,3,2,4,1,0,3,4,1
"2013","출생전후기에 기원한 특정병태 (P00-P96)","계",108,47,50,57,19,20,21,1,171,27,15,25,25,24,37,32,10
"2013","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",97,26,24,27,13,11,8,2,134,14,20,20,26,15,34,29,9
"2013","달리 분류되지 않은 증상, 징후 (R00-R99)","계",5475,833,624,1127,644,761,317,72,4735,992,1255,1755,1275,1478,1703,1150,370
"2013","질병이환 및 사망의 외인 (V01-Y89, U12)","계",4478,2137,1357,1559,795,802,613,85,6491,1304,1231,1732,1637,1916,2195,2233,450
"2014","계","계",42153,20230,12642,13409,6935,6564,4695,853,51425,11004,10174,14149,13563,16053,20304,20239,3300
"2014","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1117,525,348,357,145,161,99,30,1056,299,284,375,385,449,597,601,84
"2014","신생물 (C00-D48)","계",13186,6208,3656,3846,2079,1866,1362,245,15178,3054,2787,3982,3716,4521,5502,5785,929
"2014","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",111,55,27,41,7,14,9,2,89,25,18,42,34,27,77,52,7
"2014","내분비, 영양 및 대사 질환 (E00-E88)","계",1534,901,569,714,379,320,204,30,2800,543,382,484,532,782,661,684,92
"2014","정신 및 행동장애 (F01-F99)","계",576,326,228,277,182,168,65,19,1194,230,192,242,277,317,376,372,55
"2014","신경계통의 질환 (G00-G98)","계",1479,873,453,411,487,220,195,21,1907,232,225,391,533,929,689,826,96
"2014","눈 및 눈부속기의 질환 (H00-H57)","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014","귀 및 유돌의 질환 (H60-H93)","계",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014","순환계통 질환 (I00-I99)","계",7703,5093,3156,2998,1473,1279,1104,164,10706,2395,2067,2829,2895,3343,4883,5143,583
"2014","호흡계통의 질환 (J00-J98,U04)","계",3376,1743,1253,1147,527,522,426,117,3932,1236,1180,1425,1485,1450,2201,1789,350
"2014","소화계통의 질환 (K00-K92)","계",1606,949,564,526,281,267,239,29,2129,479,411,602,500,697,893,1029,151
"2014","피부 및 피하조직의 질환 (L00-L98)","계",49,52,27,22,5,12,5,1,86,28,30,31,27,26,44,29,10
"2014","근골격계통 및 결합 조직의 질환 (M00-M99)","계",227,110,67,61,41,45,30,3,365,89,53,68,61,112,112,103,12
"2014","비뇨생식계통의 질환 (N00-N98)","계",973,519,253,258,118,150,98,15,1105,237,208,258,282,267,503,517,73
"2014","임신, 출산 및 산후기 (O00-O99)","계",8,1,3,4,2,1,2,0,7,1,1,3,2,2,6,3,2
"2014","출생전후기에 기원한 특정병태 (P00-P96)","계",110,50,50,44,10,26,12,4,142,32,15,35,23,14,54,70,5
"2014","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",97,31,19,27,10,22,10,1,107,19,20,12,22,20,22,24,8
"2014","달리 분류되지 않은 증상, 징후 (R00-R99)","계",5569,832,733,1153,408,652,241,74,4504,875,1206,1686,1345,1304,1684,1099,435
"2014","질병이환 및 사망의 외인 (V01-Y89, U12)","계",4432,1962,1236,1523,781,839,594,98,6117,1230,1095,1684,1444,1793,2000,2113,408
"2015","계","계",43053,20820,13081,13452,7443,6961,4915,979,53005,11301,10638,14469,13721,16543,20862,21313,3339
"2015","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1107,591,394,352,153,165,110,17,1223,282,298,412,407,468,581,648,87
"2015","신생물 (C00-D48)","계",13530,6129,3661,3817,2092,1992,1432,275,15487,3022,2815,3850,3668,4286,5395,5818,1012
"2015","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",96,90,41,40,24,13,13,3,130,27,26,39,43,39,49,41,10
"2015","내분비, 영양 및 대사 질환 (E00-E88)","계",1431,864,605,713,407,350,200,31,2803,592,359,487,516,740,737,756,68
"2015","정신 및 행동장애 (F01-F99)","계",644,327,167,266,228,214,114,16,1349,280,160,239,239,313,340,399,54
"2015","신경계통의 질환 (G00-G98)","계",1590,916,470,451,581,301,222,30,2038,271,248,443,679,933,663,806,91
"2015","눈 및 눈부속기의 질환 (H00-H57)","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","귀 및 유돌의 질환 (H60-H93)","계",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"2015","순환계통 질환 (I00-I99)","계",8458,5062,3308,2798,1608,1281,1226,222,10930,2465,2110,2884,2792,3511,4974,5334,580
"2015","호흡계통의 질환 (J00-J98,U04)","계",3750,2057,1326,1231,723,613,457,139,4273,1353,1354,1671,1610,1892,2669,2336,352
"2015","소화계통의 질환 (K00-K92)","계",1733,943,608,550,271,255,221,28,2234,548,431,549,485,680,908,1094,171
"2015","피부 및 피하조직의 질환 (L00-L98)","계",42,53,23,22,12,11,3,1,88,36,26,27,26,32,25,37,6
"2015","근골격계통 및 결합 조직의 질환 (M00-M99)","계",196,103,53,66,51,49,20,1,373,82,51,55,48,99,119,109,16
"2015","비뇨생식계통의 질환 (N00-N98)","계",1013,574,250,251,142,209,96,21,1261,298,254,304,316,344,589,534,90
"2015","임신, 출산 및 산후기 (O00-O99)","계",6,3,1,2,2,1,1,1,7,2,2,3,4,1,3,2,1
"2015","출생전후기에 기원한 특정병태 (P00-P96)","계",99,55,47,47,11,18,9,5,167,9,24,22,23,16,34,33,12
"2015","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",78,30,20,26,14,17,12,3,112,16,10,20,13,12,18,24,8
"2015","달리 분류되지 않은 증상, 징후 (R00-R99)","계",5029,1073,851,1347,395,685,229,89,4467,816,1348,1813,1503,1397,1746,1218,390
"2015","질병이환 및 사망의 외인 (V01-Y89, U12)","계",4251,1950,1256,1471,729,787,550,97,6062,1202,1122,1651,1349,1780,2012,2124,391
"2016","계","계",43540,21074,13502,14119,7247,6958,4947,1065,55215,11437,10787,14600,14062,16561,20978,21193,3542
"2016","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1157,645,336,365,226,160,118,16,1405,340,297,451,466,520,626,724,94
"2016","신생물 (C00-D48)","계",13335,6316,3917,4065,2115,1999,1460,300,15700,3162,2881,3795,3734,4263,5732,5958,997
"2016","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",117,73,34,27,14,15,13,3,129,29,25,34,28,38,46,73,5
"2016","내분비, 영양 및 대사 질환 (E00-E88)","계",1342,910,669,726,262,383,233,39,2284,358,375,446,487,797,913,747,92
"2016","정신 및 행동장애 (F01-F99)","계",675,360,136,257,123,191,106,18,1251,206,228,300,242,535,291,346,34
"2016","신경계통의 질환 (G00-G98)","계",1735,864,696,449,349,280,238,57,1761,231,289,417,721,613,1088,932,121
"2016","눈 및 눈부속기의 질환 (H00-H57)","계",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016","귀 및 유돌의 질환 (H60-H93)","계",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
